"Año","Mes","Comunidad autónoma","Provincia","Número de casos","Número de casos con protección policial"
"Año 2013","Julio","Castilla-La Mancha","Toledo","1355.0","152.0"
"Año 2013","Julio","Cataluña","Barcelona","0.0","0.0"
"Año 2013","Julio","Cataluña","Girona","0.0","0.0"
"Año 2013","Julio","Cataluña","Lleida","0.0","0.0"
"Año 2013","Julio","Cataluña","Tarragona","0.0","0.0"
"Año 2013","Julio","Comunitat Valenciana","Alicante/Alacant","4925.0","1322.0"
"Año 2013","Julio","Comunitat Valenciana","Castellón/Castelló","881.0","150.0"
"Año 2013","Julio","Comunitat Valenciana","Valencia/València","3933.0","786.0"
"Año 2013","Julio","Extremadura","Badajoz","1075.0","321.0"
"Año 2013","Julio","Extremadura","Cáceres","654.0","163.0"
"Año 2013","Julio","Galicia","A Coruña","1428.0","434.0"
"Año 2013","Julio","Galicia","Lugo","587.0","127.0"
"Año 2013","Julio","Galicia","Ourense","351.0","79.0"
"Año 2013","Julio","Galicia","Pontevedra","928.0","296.0"
"Año 2013","Julio","Comunidad de Madrid","Madrid","13755.0","1741.0"
"Año 2013","Julio","Región de Murcia","Murcia","2645.0","992.0"
"Año 2013","Julio","Comunidad Foral de Navarra","Navarra","766.0","162.0"
"Año 2013","Julio","País Vasco","Araba/Álava","0.0","0.0"
"Año 2013","Julio","País Vasco","Bizkaia","0.0","0.0"
"Año 2013","Julio","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2013","Julio","La Rioja","La Rioja","326.0","131.0"
"Año 2013","Julio","Ceuta","Ceuta","123.0","33.0"
"Año 2013","Julio","Melilla","Melilla","102.0","73.0"
