"Año","Mes","Comunidad autónoma","Provincia","Altas","Bajas","Usuarias activas"
"Año 2008","Noviembre","Comunitat Valenciana","Valencia/València","42.0","13.0","1084.0"
"Año 2008","Noviembre","Extremadura","Badajoz","3.0","1.0","118.0"
"Año 2008","Noviembre","Extremadura","Cáceres","2.0","0.0","79.0"
"Año 2008","Noviembre","Galicia","A Coruña","1.0","0.0","205.0"
"Año 2008","Noviembre","Galicia","Lugo","2.0","0.0","29.0"
"Año 2008","Noviembre","Galicia","Ourense","2.0","0.0","63.0"
"Año 2008","Noviembre","Galicia","Pontevedra","2.0","0.0","113.0"
"Año 2008","Noviembre","Comunidad de Madrid","Madrid","15.0","12.0","2143.0"
"Año 2008","Noviembre","Región de Murcia","Murcia","3.0","0.0","136.0"
"Año 2008","Noviembre","Comunidad Foral de Navarra","Navarra","0.0","0.0","8.0"
"Año 2008","Noviembre","País Vasco","Araba/Álava","0.0","0.0","23.0"
"Año 2008","Noviembre","País Vasco","Bizkaia","0.0","0.0","92.0"
"Año 2008","Noviembre","País Vasco","Gipuzkoa","0.0","0.0","4.0"
"Año 2008","Noviembre","La Rioja","La Rioja","0.0","0.0","2.0"
"Año 2008","Noviembre","Ceuta","Ceuta","0.0","0.0","6.0"
"Año 2008","Noviembre","Melilla","Melilla","2.0","0.0","33.0"
"Año 2008","Diciembre","Andalucía","Almería","5.0","3.0","54.0"
"Año 2008","Diciembre","Andalucía","Cádiz","26.0","7.0","351.0"
"Año 2008","Diciembre","Andalucía","Córdoba","20.0","11.0","192.0"
"Año 2008","Diciembre","Andalucía","Granada","28.0","16.0","269.0"
"Año 2008","Diciembre","Andalucía","Huelva","9.0","4.0","103.0"
"Año 2008","Diciembre","Andalucía","Jaén","15.0","10.0","162.0"
"Año 2008","Diciembre","Andalucía","Málaga","22.0","16.0","392.0"
"Año 2008","Diciembre","Andalucía","Sevilla","51.0","65.0","663.0"
"Año 2008","Diciembre","Aragón","Huesca","2.0","3.0","57.0"
"Año 2008","Diciembre","Aragón","Teruel","1.0","0.0","7.0"
"Año 2008","Diciembre","Aragón","Zaragoza","2.0","0.0","9.0"
"Año 2008","Diciembre","Principado de Asturias","Asturias","44.0","23.0","608.0"
"Año 2008","Diciembre","Illes Balears","Illes Balears","17.0","12.0","252.0"
"Año 2008","Diciembre","Canarias","Las Palmas","27.0","23.0","300.0"
"Año 2008","Diciembre","Canarias","Santa Cruz de Tenerife","58.0","34.0","569.0"
"Año 2008","Diciembre","Cantabria","Cantabria","15.0","8.0","281.0"
"Año 2008","Diciembre","Castilla y León","Ávila","3.0","0.0","19.0"
"Año 2008","Diciembre","Castilla y León","Burgos","5.0","0.0","37.0"
"Año 2008","Diciembre","Castilla y León","León","7.0","10.0","120.0"
"Año 2008","Diciembre","Castilla y León","Palencia","1.0","0.0","20.0"
"Año 2008","Diciembre","Castilla y León","Salamanca","0.0","1.0","19.0"
"Año 2008","Diciembre","Castilla y León","Segovia","2.0","1.0","21.0"
"Año 2008","Diciembre","Castilla y León","Soria","2.0","4.0","33.0"
"Año 2008","Diciembre","Castilla y León","Valladolid","5.0","1.0","32.0"
"Año 2008","Diciembre","Castilla y León","Zamora","1.0","1.0","25.0"
"Año 2008","Diciembre","Castilla-La Mancha","Albacete","17.0","7.0","94.0"
"Año 2008","Diciembre","Castilla-La Mancha","Ciudad Real","7.0","6.0","99.0"
"Año 2008","Diciembre","Castilla-La Mancha","Cuenca","6.0","4.0","36.0"
"Año 2008","Diciembre","Castilla-La Mancha","Guadalajara","4.0","2.0","47.0"
"Año 2008","Diciembre","Castilla-La Mancha","Toledo","8.0","10.0","177.0"
"Año 2008","Diciembre","Cataluña","Barcelona","106.0","35.0","1230.0"
"Año 2008","Diciembre","Cataluña","Girona","22.0","18.0","161.0"
"Año 2008","Diciembre","Cataluña","Lleida","5.0","2.0","90.0"
"Año 2008","Diciembre","Cataluña","Tarragona","25.0","10.0","332.0"
"Año 2008","Diciembre","Comunitat Valenciana","Alicante/Alacant","87.0","53.0","812.0"
"Año 2008","Diciembre","Comunitat Valenciana","Castellón/Castelló","37.0","20.0","304.0"
"Año 2008","Diciembre","Comunitat Valenciana","Valencia/València","166.0","113.0","1137.0"
"Año 2008","Diciembre","Extremadura","Badajoz","10.0","5.0","123.0"
"Año 2008","Diciembre","Extremadura","Cáceres","8.0","6.0","81.0"
"Año 2008","Diciembre","Galicia","A Coruña","15.0","2.0","218.0"
"Año 2008","Diciembre","Galicia","Lugo","3.0","0.0","32.0"
"Año 2008","Diciembre","Galicia","Ourense","2.0","1.0","64.0"
"Año 2008","Diciembre","Galicia","Pontevedra","3.0","6.0","110.0"
"Año 2008","Diciembre","Comunidad de Madrid","Madrid","130.0","55.0","2218.0"
"Año 2008","Diciembre","Región de Murcia","Murcia","17.0","18.0","135.0"
"Año 2008","Diciembre","Comunidad Foral de Navarra","Navarra","0.0","1.0","7.0"
"Año 2008","Diciembre","País Vasco","Araba/Álava","5.0","1.0","27.0"
"Año 2008","Diciembre","País Vasco","Bizkaia","6.0","4.0","94.0"
"Año 2008","Diciembre","País Vasco","Gipuzkoa","1.0","0.0","5.0"
"Año 2008","Diciembre","La Rioja","La Rioja","0.0","0.0","2.0"
"Año 2008","Diciembre","Ceuta","Ceuta","0.0","0.0","6.0"
"Año 2008","Diciembre","Melilla","Melilla","9.0","4.0","38.0"
"Año 2009","Enero","Andalucía","Almería","4.0","4.0","54.0"
"Año 2009","Enero","Andalucía","Cádiz","17.0","4.0","364.0"
"Año 2009","Enero","Andalucía","Córdoba","11.0","17.0","186.0"
"Año 2009","Enero","Andalucía","Granada","8.0","9.0","268.0"
"Año 2009","Enero","Andalucía","Huelva","2.0","5.0","100.0"
"Año 2009","Enero","Andalucía","Jaén","10.0","12.0","160.0"
"Año 2009","Enero","Andalucía","Málaga","30.0","22.0","400.0"
"Año 2009","Enero","Andalucía","Sevilla","29.0","26.0","666.0"
"Año 2009","Enero","Aragón","Huesca","3.0","3.0","57.0"
"Año 2009","Enero","Aragón","Teruel","1.0","2.0","6.0"
"Año 2009","Enero","Aragón","Zaragoza","0.0","0.0","9.0"
"Año 2009","Enero","Principado de Asturias","Asturias","28.0","12.0","624.0"
"Año 2009","Enero","Illes Balears","Illes Balears","8.0","2.0","258.0"
"Año 2009","Enero","Canarias","Las Palmas","15.0","28.0","287.0"
"Año 2009","Enero","Canarias","Santa Cruz de Tenerife","27.0","10.0","586.0"
"Año 2009","Enero","Cantabria","Cantabria","3.0","10.0","274.0"
"Año 2009","Enero","Castilla y León","Ávila","2.0","0.0","21.0"
"Año 2009","Enero","Castilla y León","Burgos","3.0","2.0","38.0"
"Año 2009","Enero","Castilla y León","León","3.0","1.0","122.0"
"Año 2009","Enero","Castilla y León","Palencia","0.0","0.0","20.0"
"Año 2009","Enero","Castilla y León","Salamanca","2.0","1.0","20.0"
"Año 2009","Enero","Castilla y León","Segovia","0.0","1.0","20.0"
"Año 2009","Enero","Castilla y León","Soria","0.0","1.0","32.0"
"Año 2009","Enero","Castilla y León","Valladolid","0.0","0.0","32.0"
"Año 2009","Enero","Castilla y León","Zamora","1.0","0.0","26.0"
"Año 2009","Enero","Castilla-La Mancha","Albacete","11.0","1.0","104.0"
"Año 2009","Enero","Castilla-La Mancha","Ciudad Real","2.0","4.0","97.0"
"Año 2009","Enero","Castilla-La Mancha","Cuenca","3.0","1.0","38.0"
"Año 2009","Enero","Castilla-La Mancha","Guadalajara","4.0","3.0","48.0"
"Año 2009","Enero","Castilla-La Mancha","Toledo","11.0","7.0","181.0"
"Año 2009","Enero","Cataluña","Barcelona","32.0","21.0","1241.0"
"Año 2009","Enero","Cataluña","Girona","6.0","1.0","166.0"
"Año 2009","Enero","Cataluña","Lleida","5.0","1.0","94.0"
"Año 2009","Enero","Cataluña","Tarragona","14.0","5.0","341.0"
"Año 2009","Enero","Comunitat Valenciana","Alicante/Alacant","52.0","34.0","830.0"
"Año 2009","Enero","Comunitat Valenciana","Castellón/Castelló","23.0","13.0","314.0"
"Año 2009","Enero","Comunitat Valenciana","Valencia/València","101.0","64.0","1174.0"
"Año 2009","Enero","Extremadura","Badajoz","7.0","4.0","126.0"
"Año 2009","Enero","Extremadura","Cáceres","3.0","6.0","78.0"
"Año 2009","Enero","Galicia","A Coruña","5.0","2.0","221.0"
"Año 2009","Enero","Galicia","Lugo","0.0","0.0","32.0"
"Año 2009","Enero","Galicia","Ourense","2.0","3.0","63.0"
"Año 2009","Enero","Galicia","Pontevedra","6.0","5.0","111.0"
"Año 2009","Enero","Comunidad de Madrid","Madrid","51.0","30.0","2239.0"
"Año 2009","Enero","Región de Murcia","Murcia","9.0","5.0","139.0"
"Año 2009","Enero","Comunidad Foral de Navarra","Navarra","0.0","0.0","7.0"
"Año 2009","Enero","País Vasco","Araba/Álava","0.0","0.0","27.0"
"Año 2009","Enero","País Vasco","Bizkaia","2.0","4.0","92.0"
"Año 2009","Enero","País Vasco","Gipuzkoa","0.0","0.0","5.0"
"Año 2009","Enero","La Rioja","La Rioja","0.0","0.0","2.0"
"Año 2009","Enero","Ceuta","Ceuta","0.0","0.0","6.0"
"Año 2009","Enero","Melilla","Melilla","1.0","3.0","36.0"
"Año 2009","Febrero","Andalucía","Almería","5.0","1.0","58.0"
"Año 2009","Febrero","Andalucía","Cádiz","12.0","9.0","367.0"
"Año 2009","Febrero","Andalucía","Córdoba","10.0","12.0","184.0"
"Año 2009","Febrero","Andalucía","Granada","7.0","13.0","262.0"
"Año 2009","Febrero","Andalucía","Huelva","7.0","4.0","103.0"
"Año 2009","Febrero","Andalucía","Jaén","6.0","5.0","161.0"
"Año 2009","Febrero","Andalucía","Málaga","16.0","25.0","391.0"
"Año 2009","Febrero","Andalucía","Sevilla","40.0","27.0","679.0"
"Año 2009","Febrero","Aragón","Huesca","1.0","3.0","55.0"
"Año 2009","Febrero","Aragón","Teruel","3.0","1.0","8.0"
"Año 2009","Febrero","Aragón","Zaragoza","0.0","0.0","9.0"
"Año 2009","Febrero","Principado de Asturias","Asturias","35.0","25.0","634.0"
"Año 2009","Febrero","Illes Balears","Illes Balears","14.0","8.0","264.0"
"Año 2009","Febrero","Canarias","Las Palmas","26.0","23.0","290.0"
"Año 2009","Febrero","Canarias","Santa Cruz de Tenerife","25.0","26.0","585.0"
"Año 2009","Febrero","Cantabria","Cantabria","16.0","3.0","287.0"
"Año 2009","Febrero","Castilla y León","Ávila","2.0","1.0","22.0"
"Año 2009","Febrero","Castilla y León","Burgos","3.0","3.0","38.0"
"Año 2009","Febrero","Castilla y León","León","3.0","1.0","124.0"
"Año 2009","Febrero","Castilla y León","Palencia","1.0","0.0","21.0"
"Año 2009","Febrero","Castilla y León","Salamanca","3.0","0.0","23.0"
"Año 2009","Febrero","Castilla y León","Segovia","0.0","1.0","19.0"
"Año 2009","Febrero","Castilla y León","Soria","1.0","3.0","30.0"
"Año 2009","Febrero","Castilla y León","Valladolid","1.0","2.0","31.0"
"Año 2009","Febrero","Castilla y León","Zamora","2.0","2.0","26.0"
"Año 2009","Febrero","Castilla-La Mancha","Albacete","13.0","1.0","116.0"
"Año 2009","Febrero","Castilla-La Mancha","Ciudad Real","3.0","6.0","94.0"
"Año 2009","Febrero","Castilla-La Mancha","Cuenca","4.0","2.0","40.0"
"Año 2009","Febrero","Castilla-La Mancha","Guadalajara","5.0","6.0","47.0"
"Año 2009","Febrero","Castilla-La Mancha","Toledo","10.0","1.0","190.0"
"Año 2009","Febrero","Cataluña","Barcelona","80.0","26.0","1295.0"
"Año 2009","Febrero","Cataluña","Girona","17.0","7.0","176.0"
"Año 2009","Febrero","Cataluña","Lleida","9.0","3.0","100.0"
"Año 2009","Febrero","Cataluña","Tarragona","22.0","0.0","363.0"
"Año 2009","Febrero","Comunitat Valenciana","Alicante/Alacant","42.0","34.0","838.0"
"Año 2009","Febrero","Comunitat Valenciana","Castellón/Castelló","26.0","16.0","324.0"
"Año 2009","Febrero","Comunitat Valenciana","Valencia/València","108.0","76.0","1206.0"
"Año 2009","Febrero","Extremadura","Badajoz","6.0","2.0","130.0"
"Año 2009","Febrero","Extremadura","Cáceres","4.0","6.0","76.0"
"Año 2009","Febrero","Galicia","A Coruña","18.0","8.0","231.0"
"Año 2009","Febrero","Galicia","Lugo","0.0","0.0","32.0"
"Año 2009","Febrero","Galicia","Ourense","4.0","2.0","65.0"
"Año 2009","Febrero","Galicia","Pontevedra","11.0","4.0","118.0"
"Año 2009","Febrero","Comunidad de Madrid","Madrid","99.0","182.0","2156.0"
"Año 2009","Febrero","Región de Murcia","Murcia","11.0","8.0","142.0"
"Año 2009","Febrero","Comunidad Foral de Navarra","Navarra","0.0","0.0","7.0"
"Año 2009","Febrero","País Vasco","Araba/Álava","3.0","3.0","27.0"
"Año 2009","Febrero","País Vasco","Bizkaia","5.0","3.0","94.0"
"Año 2009","Febrero","País Vasco","Gipuzkoa","0.0","1.0","4.0"
"Año 2009","Febrero","La Rioja","La Rioja","0.0","0.0","2.0"
"Año 2009","Febrero","Ceuta","Ceuta","0.0","1.0","5.0"
"Año 2009","Febrero","Melilla","Melilla","2.0","1.0","37.0"
"Año 2009","Marzo","Andalucía","Almería","9.0","0.0","67.0"
"Año 2009","Marzo","Andalucía","Cádiz","25.0","32.0","360.0"
"Año 2009","Marzo","Andalucía","Córdoba","13.0","5.0","192.0"
"Año 2009","Marzo","Andalucía","Granada","15.0","19.0","258.0"
"Año 2009","Marzo","Andalucía","Huelva","4.0","9.0","98.0"
"Año 2009","Marzo","Andalucía","Jaén","7.0","6.0","162.0"
"Año 2009","Marzo","Andalucía","Málaga","21.0","21.0","391.0"
"Año 2009","Marzo","Andalucía","Sevilla","32.0","43.0","668.0"
"Año 2009","Marzo","Aragón","Huesca","0.0","3.0","52.0"
"Año 2009","Marzo","Aragón","Teruel","0.0","0.0","8.0"
"Año 2009","Marzo","Aragón","Zaragoza","0.0","0.0","9.0"
"Año 2009","Marzo","Principado de Asturias","Asturias","15.0","30.0","619.0"
"Año 2009","Marzo","Illes Balears","Illes Balears","9.0","6.0","267.0"
"Año 2009","Marzo","Canarias","Las Palmas","15.0","17.0","288.0"
"Año 2009","Marzo","Canarias","Santa Cruz de Tenerife","44.0","14.0","615.0"
"Año 2009","Marzo","Cantabria","Cantabria","11.0","8.0","290.0"
"Año 2009","Marzo","Castilla y León","Ávila","1.0","0.0","23.0"
"Año 2009","Marzo","Castilla y León","Burgos","2.0","4.0","36.0"
"Año 2009","Marzo","Castilla y León","León","6.0","3.0","127.0"
"Año 2009","Marzo","Castilla y León","Palencia","0.0","0.0","21.0"
"Año 2009","Marzo","Castilla y León","Salamanca","2.0","1.0","24.0"
"Año 2009","Marzo","Castilla y León","Segovia","0.0","0.0","19.0"
"Año 2009","Marzo","Castilla y León","Soria","1.0","4.0","27.0"
"Año 2009","Marzo","Castilla y León","Valladolid","2.0","0.0","33.0"
"Año 2009","Marzo","Castilla y León","Zamora","1.0","0.0","27.0"
"Año 2009","Marzo","Castilla-La Mancha","Albacete","7.0","4.0","119.0"
"Año 2009","Marzo","Castilla-La Mancha","Ciudad Real","4.0","7.0","91.0"
"Año 2009","Marzo","Castilla-La Mancha","Cuenca","2.0","3.0","39.0"
"Año 2009","Marzo","Castilla-La Mancha","Guadalajara","6.0","4.0","49.0"
"Año 2009","Marzo","Castilla-La Mancha","Toledo","4.0","0.0","194.0"
"Año 2009","Marzo","Cataluña","Barcelona","59.0","21.0","1333.0"
"Año 2009","Marzo","Cataluña","Girona","10.0","9.0","177.0"
"Año 2009","Marzo","Cataluña","Lleida","-98.0","-30.0","32.0"
"Año 2009","Marzo","Cataluña","Tarragona","25.0","7.0","381.0"
"Año 2009","Marzo","Comunitat Valenciana","Alicante/Alacant","53.0","23.0","868.0"
"Año 2009","Marzo","Comunitat Valenciana","Castellón/Castelló","18.0","12.0","330.0"
"Año 2009","Marzo","Comunitat Valenciana","Valencia/València","70.0","72.0","1204.0"
"Año 2009","Marzo","Extremadura","Badajoz","8.0","2.0","136.0"
"Año 2009","Marzo","Extremadura","Cáceres","5.0","5.0","76.0"
"Año 2009","Marzo","Galicia","A Coruña","8.0","10.0","229.0"
"Año 2009","Marzo","Galicia","Lugo","101.0","32.0","101.0"
"Año 2009","Marzo","Galicia","Ourense","2.0","2.0","65.0"
"Año 2009","Marzo","Galicia","Pontevedra","7.0","3.0","122.0"
"Año 2009","Marzo","Comunidad de Madrid","Madrid","97.0","71.0","2182.0"
"Año 2009","Marzo","Región de Murcia","Murcia","8.0","5.0","145.0"
"Año 2009","Marzo","Comunidad Foral de Navarra","Navarra","0.0","0.0","7.0"
"Año 2009","Marzo","País Vasco","Araba/Álava","1.0","0.0","28.0"
"Año 2009","Marzo","País Vasco","Bizkaia","1.0","3.0","92.0"
"Año 2009","Marzo","País Vasco","Gipuzkoa","0.0","0.0","4.0"
"Año 2009","Marzo","La Rioja","La Rioja","0.0","0.0","2.0"
"Año 2009","Marzo","Ceuta","Ceuta","1.0","0.0","6.0"
"Año 2009","Marzo","Melilla","Melilla","2.0","3.0","36.0"
"Año 2009","Abril","Andalucía","Almería","3.0","5.0","65.0"
"Año 2009","Abril","Andalucía","Cádiz","20.0","17.0","363.0"
"Año 2009","Abril","Andalucía","Córdoba","9.0","11.0","190.0"
"Año 2009","Abril","Andalucía","Granada","19.0","16.0","261.0"
"Año 2009","Abril","Andalucía","Huelva","9.0","4.0","103.0"
"Año 2009","Abril","Andalucía","Jaén","13.0","8.0","167.0"
"Año 2009","Abril","Andalucía","Málaga","30.0","32.0","389.0"
"Año 2009","Abril","Andalucía","Sevilla","29.0","34.0","663.0"
"Año 2009","Abril","Aragón","Huesca","1.0","1.0","52.0"
"Año 2009","Abril","Aragón","Teruel","2.0","0.0","10.0"
"Año 2009","Abril","Aragón","Zaragoza","0.0","0.0","9.0"
"Año 2009","Abril","Principado de Asturias","Asturias","24.0","24.0","619.0"
"Año 2009","Abril","Illes Balears","Illes Balears","13.0","2.0","278.0"
"Año 2009","Abril","Canarias","Las Palmas","24.0","12.0","300.0"
"Año 2009","Abril","Canarias","Santa Cruz de Tenerife","25.0","43.0","597.0"
"Año 2009","Abril","Cantabria","Cantabria","10.0","2.0","298.0"
"Año 2009","Abril","Castilla y León","Ávila","1.0","1.0","23.0"
"Año 2009","Abril","Castilla y León","Burgos","2.0","4.0","34.0"
"Año 2009","Abril","Castilla y León","León","5.0","11.0","121.0"
"Año 2009","Abril","Castilla y León","Palencia","1.0","0.0","22.0"
"Año 2009","Abril","Castilla y León","Salamanca","2.0","2.0","24.0"
"Año 2009","Abril","Castilla y León","Segovia","3.0","1.0","21.0"
"Año 2009","Abril","Castilla y León","Soria","0.0","1.0","26.0"
"Año 2009","Abril","Castilla y León","Valladolid","2.0","4.0","31.0"
"Año 2009","Abril","Castilla y León","Zamora","0.0","0.0","27.0"
"Año 2009","Abril","Castilla-La Mancha","Albacete","15.0","3.0","131.0"
"Año 2009","Abril","Castilla-La Mancha","Ciudad Real","6.0","5.0","92.0"
"Año 2009","Abril","Castilla-La Mancha","Cuenca","4.0","3.0","40.0"
"Año 2009","Abril","Castilla-La Mancha","Guadalajara","4.0","4.0","49.0"
"Año 2009","Abril","Castilla-La Mancha","Toledo","11.0","6.0","199.0"
"Año 2009","Abril","Cataluña","Barcelona","59.0","29.0","1363.0"
"Año 2009","Abril","Cataluña","Girona","6.0","8.0","175.0"
"Año 2009","Abril","Cataluña","Lleida","110.0","36.0","106.0"
"Año 2009","Abril","Cataluña","Tarragona","21.0","3.0","399.0"
"Año 2009","Abril","Comunitat Valenciana","Alicante/Alacant","52.0","35.0","885.0"
"Año 2009","Abril","Comunitat Valenciana","Castellón/Castelló","14.0","21.0","323.0"
"Año 2009","Abril","Comunitat Valenciana","Valencia/València","88.0","93.0","1199.0"
"Año 2009","Abril","Extremadura","Badajoz","6.0","6.0","136.0"
"Año 2009","Abril","Extremadura","Cáceres","7.0","6.0","77.0"
"Año 2009","Abril","Galicia","A Coruña","11.0","16.0","224.0"
"Año 2009","Abril","Galicia","Lugo","-99.0","-30.0","32.0"
"Año 2009","Abril","Galicia","Ourense","3.0","0.0","68.0"
"Año 2009","Abril","Galicia","Pontevedra","8.0","11.0","119.0"
"Año 2009","Abril","Comunidad de Madrid","Madrid","85.0","115.0","2152.0"
"Año 2009","Abril","Región de Murcia","Murcia","4.0","9.0","140.0"
"Año 2009","Abril","Comunidad Foral de Navarra","Navarra","0.0","0.0","7.0"
"Año 2009","Abril","País Vasco","Araba/Álava","2.0","1.0","29.0"
"Año 2009","Abril","País Vasco","Bizkaia","7.0","4.0","95.0"
"Año 2009","Abril","País Vasco","Gipuzkoa","0.0","0.0","4.0"
"Año 2009","Abril","La Rioja","La Rioja","0.0","0.0","2.0"
"Año 2009","Abril","Ceuta","Ceuta","1.0","0.0","7.0"
"Año 2009","Abril","Melilla","Melilla","5.0","2.0","39.0"
"Año 2009","Mayo","Andalucía","Almería","4.0","7.0","62.0"
"Año 2009","Mayo","Andalucía","Cádiz","19.0","10.0","372.0"
"Año 2009","Mayo","Andalucía","Córdoba","10.0","8.0","192.0"
"Año 2009","Mayo","Andalucía","Granada","6.0","16.0","251.0"
"Año 2009","Mayo","Andalucía","Huelva","4.0","6.0","101.0"
"Año 2009","Mayo","Andalucía","Jaén","13.0","11.0","169.0"
"Año 2009","Mayo","Andalucía","Málaga","22.0","51.0","360.0"
"Año 2009","Mayo","Andalucía","Sevilla","31.0","26.0","668.0"
"Año 2009","Mayo","Aragón","Huesca","4.0","3.0","53.0"
"Año 2009","Mayo","Aragón","Teruel","1.0","1.0","10.0"
"Año 2009","Mayo","Aragón","Zaragoza","0.0","0.0","9.0"
"Año 2009","Mayo","Principado de Asturias","Asturias","30.0","33.0","616.0"
"Año 2009","Mayo","Illes Balears","Illes Balears","10.0","10.0","278.0"
"Año 2009","Mayo","Canarias","Las Palmas","17.0","14.0","303.0"
"Año 2009","Mayo","Canarias","Santa Cruz de Tenerife","34.0","30.0","601.0"
"Año 2009","Mayo","Cantabria","Cantabria","16.0","7.0","307.0"
"Año 2009","Mayo","Castilla y León","Ávila","1.0","0.0","24.0"
"Año 2009","Mayo","Castilla y León","Burgos","4.0","1.0","37.0"
"Año 2009","Mayo","Castilla y León","León","4.0","13.0","112.0"
"Año 2009","Mayo","Castilla y León","Palencia","0.0","1.0","21.0"
"Año 2009","Mayo","Castilla y León","Salamanca","1.0","1.0","24.0"
"Año 2009","Mayo","Castilla y León","Segovia","1.0","1.0","21.0"
"Año 2009","Mayo","Castilla y León","Soria","2.0","1.0","27.0"
"Año 2009","Mayo","Castilla y León","Valladolid","5.0","2.0","34.0"
"Año 2009","Mayo","Castilla y León","Zamora","1.0","1.0","27.0"
"Año 2009","Mayo","Castilla-La Mancha","Albacete","5.0","10.0","126.0"
"Año 2009","Mayo","Castilla-La Mancha","Ciudad Real","8.0","1.0","99.0"
"Año 2009","Mayo","Castilla-La Mancha","Cuenca","4.0","1.0","43.0"
"Año 2009","Mayo","Castilla-La Mancha","Guadalajara","3.0","7.0","45.0"
"Año 2009","Mayo","Castilla-La Mancha","Toledo","10.0","11.0","198.0"
"Año 2009","Mayo","Cataluña","Barcelona","51.0","29.0","1385.0"
"Año 2009","Mayo","Cataluña","Girona","11.0","8.0","178.0"
"Año 2009","Mayo","Cataluña","Lleida","2.0","4.0","104.0"
"Año 2009","Mayo","Cataluña","Tarragona","16.0","17.0","398.0"
"Año 2009","Mayo","Comunitat Valenciana","Alicante/Alacant","47.0","37.0","895.0"
"Año 2009","Mayo","Comunitat Valenciana","Castellón/Castelló","20.0","15.0","328.0"
"Año 2009","Mayo","Comunitat Valenciana","Valencia/València","94.0","77.0","1216.0"
"Año 2009","Mayo","Extremadura","Badajoz","4.0","6.0","134.0"
"Año 2009","Mayo","Extremadura","Cáceres","8.0","3.0","82.0"
"Año 2009","Mayo","Galicia","A Coruña","13.0","18.0","219.0"
"Año 2009","Mayo","Galicia","Lugo","0.0","0.0","32.0"
"Año 2009","Mayo","Galicia","Ourense","2.0","3.0","67.0"
"Año 2009","Mayo","Galicia","Pontevedra","4.0","2.0","121.0"
"Año 2009","Mayo","Comunidad de Madrid","Madrid","83.0","61.0","2174.0"
"Año 2009","Mayo","Región de Murcia","Murcia","10.0","11.0","139.0"
"Año 2009","Mayo","Comunidad Foral de Navarra","Navarra","0.0","0.0","7.0"
"Año 2009","Mayo","País Vasco","Araba/Álava","1.0","2.0","28.0"
"Año 2009","Mayo","País Vasco","Bizkaia","5.0","1.0","99.0"
"Año 2009","Mayo","País Vasco","Gipuzkoa","0.0","0.0","4.0"
"Año 2009","Mayo","La Rioja","La Rioja","0.0","0.0","2.0"
"Año 2009","Mayo","Ceuta","Ceuta","2.0","1.0","8.0"
"Año 2009","Mayo","Melilla","Melilla","1.0","5.0","35.0"
"Año 2009","Junio","Andalucía","Almería","2.0","3.0","61.0"
"Año 2009","Junio","Andalucía","Cádiz","14.0","12.0","374.0"
"Año 2009","Junio","Andalucía","Córdoba","6.0","9.0","189.0"
"Año 2009","Junio","Andalucía","Granada","9.0","12.0","248.0"
"Año 2009","Junio","Andalucía","Huelva","4.0","3.0","102.0"
"Año 2009","Junio","Andalucía","Jaén","4.0","4.0","169.0"
"Año 2009","Junio","Andalucía","Málaga","14.0","12.0","362.0"
"Año 2009","Junio","Andalucía","Sevilla","27.0","31.0","664.0"
"Año 2009","Junio","Aragón","Huesca","3.0","3.0","53.0"
"Año 2009","Junio","Aragón","Teruel","0.0","1.0","9.0"
"Año 2009","Junio","Aragón","Zaragoza","0.0","0.0","9.0"
"Año 2009","Junio","Principado de Asturias","Asturias","22.0","17.0","621.0"
"Año 2009","Junio","Illes Balears","Illes Balears","12.0","18.0","272.0"
"Año 2009","Junio","Canarias","Las Palmas","10.0","10.0","303.0"
"Año 2009","Junio","Canarias","Santa Cruz de Tenerife","49.0","22.0","628.0"
"Año 2009","Junio","Cantabria","Cantabria","15.0","10.0","312.0"
"Año 2009","Junio","Castilla y León","Ávila","0.0","0.0","24.0"
"Año 2009","Junio","Castilla y León","Burgos","3.0","2.0","38.0"
"Año 2009","Junio","Castilla y León","León","9.0","12.0","109.0"
"Año 2009","Junio","Castilla y León","Palencia","0.0","1.0","20.0"
"Año 2009","Junio","Castilla y León","Salamanca","3.0","2.0","25.0"
"Año 2009","Junio","Castilla y León","Segovia","1.0","3.0","19.0"
"Año 2009","Junio","Castilla y León","Soria","3.0","2.0","28.0"
"Año 2009","Junio","Castilla y León","Valladolid","2.0","0.0","36.0"
"Año 2009","Junio","Castilla y León","Zamora","0.0","2.0","25.0"
"Año 2009","Junio","Castilla-La Mancha","Albacete","6.0","4.0","128.0"
"Año 2009","Junio","Castilla-La Mancha","Ciudad Real","10.0","4.0","105.0"
"Año 2009","Junio","Castilla-La Mancha","Cuenca","6.0","1.0","48.0"
"Año 2009","Junio","Castilla-La Mancha","Guadalajara","5.0","0.0","50.0"
"Año 2009","Junio","Castilla-La Mancha","Toledo","18.0","3.0","213.0"
"Año 2009","Junio","Cataluña","Barcelona","46.0","28.0","1403.0"
"Año 2009","Junio","Cataluña","Girona","9.0","12.0","175.0"
"Año 2009","Junio","Cataluña","Lleida","10.0","5.0","109.0"
"Año 2009","Junio","Cataluña","Tarragona","20.0","3.0","415.0"
"Año 2009","Junio","Comunitat Valenciana","Alicante/Alacant","52.0","15.0","932.0"
"Año 2009","Junio","Comunitat Valenciana","Castellón/Castelló","30.0","7.0","351.0"
"Año 2009","Junio","Comunitat Valenciana","Valencia/València","70.0","82.0","1204.0"
"Año 2009","Junio","Extremadura","Badajoz","0.0","1.0","133.0"
"Año 2009","Junio","Extremadura","Cáceres","3.0","3.0","82.0"
