"Año","Mes","Comunidad autónoma","Provincia","Altas","Bajas","Usuarias activas"
"Año 2006","Diciembre","Castilla y León","Palencia","5.0","4.0","7.0"
"Año 2006","Diciembre","Castilla y León","Salamanca","7.0","2.0","9.0"
"Año 2006","Diciembre","Castilla y León","Segovia","-2.0","4.0","4.0"
"Año 2006","Diciembre","Castilla y León","Soria","-4.0","3.0","25.0"
"Año 2006","Diciembre","Castilla y León","Valladolid","4.0","3.0","15.0"
"Año 2006","Diciembre","Castilla y León","Zamora","14.0","5.0","17.0"
"Año 2006","Diciembre","Castilla-La Mancha","Albacete","9.0","9.0","20.0"
"Año 2006","Diciembre","Castilla-La Mancha","Ciudad Real","21.0","1.0","48.0"
"Año 2006","Diciembre","Castilla-La Mancha","Cuenca","12.0","3.0","9.0"
"Año 2006","Diciembre","Castilla-La Mancha","Guadalajara","2.0","3.0","11.0"
"Año 2006","Diciembre","Castilla-La Mancha","Toledo","24.0","15.0","47.0"
"Año 2006","Diciembre","Cataluña","Barcelona","173.0","63.0","390.0"
"Año 2006","Diciembre","Cataluña","Girona","42.0","16.0","64.0"
"Año 2006","Diciembre","Cataluña","Lleida","16.0","5.0","29.0"
"Año 2006","Diciembre","Cataluña","Tarragona","59.0","27.0","138.0"
"Año 2006","Diciembre","Comunitat Valenciana","Alicante/Alacant","163.0","55.0","352.0"
"Año 2006","Diciembre","Comunitat Valenciana","Castellón/Castelló","72.0","47.0","179.0"
"Año 2006","Diciembre","Comunitat Valenciana","Valencia/València","166.0","103.0","483.0"
"Año 2006","Diciembre","Extremadura","Badajoz","16.0","9.0","43.0"
"Año 2006","Diciembre","Extremadura","Cáceres","-5.0","2.0","37.0"
"Año 2006","Diciembre","Galicia","A Coruña","81.0","25.0","124.0"
"Año 2006","Diciembre","Galicia","Lugo","14.0","3.0","13.0"
"Año 2006","Diciembre","Galicia","Ourense","7.0","3.0","18.0"
"Año 2006","Diciembre","Galicia","Pontevedra","6.0","7.0","47.0"
"Año 2006","Diciembre","Comunidad de Madrid","Madrid","368.0","101.0","1151.0"
"Año 2006","Diciembre","Región de Murcia","Murcia","-4.0","3.0","45.0"
"Año 2006","Diciembre","Comunidad Foral de Navarra","Navarra","-2.0","2.0","4.0"
"Año 2006","Diciembre","País Vasco","Araba/Álava","0.0","0.0","0.0"
"Año 2006","Diciembre","País Vasco","Bizkaia","43.0","21.0","86.0"
"Año 2006","Diciembre","País Vasco","Gipuzkoa","-5.0","-1.0","4.0"
"Año 2006","Diciembre","La Rioja","La Rioja","-1.0","0.0","1.0"
"Año 2006","Diciembre","Ceuta","Ceuta","3.0","1.0","2.0"
"Año 2006","Diciembre","Melilla","Melilla","0.0","6.0","8.0"
"Año 2007","Enero","Andalucía","Almería","5.0","0.0","11.0"
"Año 2007","Enero","Andalucía","Cádiz","104.0","8.0","197.0"
"Año 2007","Enero","Andalucía","Córdoba","31.0","3.0","51.0"
"Año 2007","Enero","Andalucía","Granada","101.0","7.0","153.0"
"Año 2007","Enero","Andalucía","Huelva","29.0","1.0","60.0"
"Año 2007","Enero","Andalucía","Jaén","30.0","8.0","50.0"
"Año 2007","Enero","Andalucía","Málaga","121.0","19.0","251.0"
"Año 2007","Enero","Andalucía","Sevilla","267.0","33.0","391.0"
"Año 2007","Enero","Aragón","Huesca","2.0","-11.0","21.0"
"Año 2007","Enero","Aragón","Teruel","-3.0","-4.0","3.0"
"Año 2007","Enero","Aragón","Zaragoza","1.0","0.0","1.0"
"Año 2007","Enero","Principado de Asturias","Asturias","77.0","-105.0","317.0"
"Año 2007","Enero","Illes Balears","Illes Balears","7.0","-38.0","121.0"
"Año 2007","Enero","Canarias","Las Palmas","109.0","13.0","202.0"
"Año 2007","Enero","Canarias","Santa Cruz de Tenerife","107.0","20.0","303.0"
"Año 2007","Enero","Cantabria","Cantabria","21.0","-35.0","98.0"
"Año 2007","Enero","Castilla y León","Ávila","3.0","-2.0","8.0"
"Año 2007","Enero","Castilla y León","Burgos","-2.0","-16.0","30.0"
"Año 2007","Enero","Castilla y León","León","11.0","-10.0","57.0"
"Año 2007","Enero","Castilla y León","Palencia","-1.0","-5.0","8.0"
"Año 2007","Enero","Castilla y León","Salamanca","1.0","-1.0","9.0"
"Año 2007","Enero","Castilla y León","Segovia","-2.0","-7.0","4.0"
"Año 2007","Enero","Castilla y León","Soria","13.0","-6.0","28.0"
"Año 2007","Enero","Castilla y León","Valladolid","4.0","-3.0","15.0"
"Año 2007","Enero","Castilla y León","Zamora","-1.0","-5.0","17.0"
"Año 2007","Enero","Castilla-La Mancha","Albacete","12.0","0.0","22.0"
