"Año","Trimestre","Comunidad autónoma","Provincia","Número de órdenes de protección"
"Año 2012","Cuarto","Castilla y León","Zamora","16.0"
"Año 2012","Cuarto","Castilla-La Mancha","Albacete","68.0"
"Año 2012","Cuarto","Castilla-La Mancha","Ciudad Real","85.0"
"Año 2012","Cuarto","Castilla-La Mancha","Cuenca","52.0"
"Año 2012","Cuarto","Castilla-La Mancha","Guadalajara","78.0"
"Año 2012","Cuarto","Castilla-La Mancha","Toledo","110.0"
"Año 2012","Cuarto","Cataluña","Barcelona","904.0"
"Año 2012","Cuarto","Cataluña","Girona","186.0"
"Año 2012","Cuarto","Cataluña","Lleida","53.0"
"Año 2012","Cuarto","Cataluña","Tarragona","213.0"
"Año 2012","Cuarto","Comunitat Valenciana","Alicante/Alacant","448.0"
"Año 2012","Cuarto","Comunitat Valenciana","Castellón/Castelló","104.0"
"Año 2012","Cuarto","Comunitat Valenciana","Valencia/València","369.0"
"Año 2012","Cuarto","Extremadura","Badajoz","103.0"
"Año 2012","Cuarto","Extremadura","Cáceres","67.0"
"Año 2012","Cuarto","Galicia","A Coruña","71.0"
"Año 2012","Cuarto","Galicia","Lugo","43.0"
"Año 2012","Cuarto","Galicia","Ourense","77.0"
"Año 2012","Cuarto","Galicia","Pontevedra","125.0"
"Año 2012","Cuarto","Comunidad de Madrid","Madrid","1316.0"
"Año 2012","Cuarto","Región de Murcia","Murcia","252.0"
"Año 2012","Cuarto","Comunidad Foral de Navarra","Navarra","63.0"
"Año 2012","Cuarto","País Vasco","Araba/Álava","22.0"
"Año 2012","Cuarto","País Vasco","Gipuzkoa","74.0"
"Año 2012","Cuarto","País Vasco","Bizkaia","113.0"
"Año 2012","Cuarto","La Rioja","La Rioja","61.0"
"Año 2012","Cuarto","Ceuta","Ceuta","27.0"
"Año 2012","Cuarto","Melilla","Melilla","2.0"
"Año 2013","Primero","Andalucía","Almería","52.0"
"Año 2013","Primero","Andalucía","Cádiz","219.0"
"Año 2013","Primero","Andalucía","Córdoba","109.0"
"Año 2013","Primero","Andalucía","Granada","73.0"
"Año 2013","Primero","Andalucía","Huelva","95.0"
"Año 2013","Primero","Andalucía","Jaén","90.0"
"Año 2013","Primero","Andalucía","Málaga","244.0"
"Año 2013","Primero","Andalucía","Sevilla","400.0"
"Año 2013","Primero","Aragón","Huesca","16.0"
"Año 2013","Primero","Aragón","Teruel","7.0"
"Año 2013","Primero","Aragón","Zaragoza","106.0"
"Año 2013","Primero","Principado de Asturias","Asturias","167.0"
"Año 2013","Primero","Illes Balears","Illes Balears","185.0"
"Año 2013","Primero","Canarias","Las Palmas","270.0"
"Año 2013","Primero","Canarias","Santa Cruz de Tenerife","281.0"
"Año 2013","Primero","Cantabria","Cantabria","67.0"
"Año 2013","Primero","Castilla y León","Ávila","25.0"
"Año 2013","Primero","Castilla y León","Burgos","42.0"
"Año 2013","Primero","Castilla y León","León","58.0"
"Año 2013","Primero","Castilla y León","Palencia","15.0"
"Año 2013","Primero","Castilla y León","Salamanca","11.0"
"Año 2013","Primero","Castilla y León","Segovia","21.0"
"Año 2013","Primero","Castilla y León","Soria","13.0"
"Año 2013","Primero","Castilla y León","Valladolid","85.0"
"Año 2013","Primero","Castilla y León","Zamora","12.0"
"Año 2013","Primero","Castilla-La Mancha","Albacete","50.0"
"Año 2013","Primero","Castilla-La Mancha","Ciudad Real","85.0"
"Año 2013","Primero","Castilla-La Mancha","Cuenca","35.0"
"Año 2013","Primero","Castilla-La Mancha","Guadalajara","63.0"
"Año 2013","Primero","Castilla-La Mancha","Toledo","108.0"
"Año 2013","Primero","Cataluña","Barcelona","941.0"
"Año 2013","Primero","Cataluña","Girona","210.0"
"Año 2013","Primero","Cataluña","Lleida","64.0"
"Año 2013","Primero","Cataluña","Tarragona","200.0"
"Año 2013","Primero","Comunitat Valenciana","Alicante/Alacant","430.0"
"Año 2013","Primero","Comunitat Valenciana","Castellón/Castelló","102.0"
"Año 2013","Primero","Comunitat Valenciana","Valencia/València","370.0"
"Año 2013","Primero","Extremadura","Badajoz","125.0"
"Año 2013","Primero","Extremadura","Cáceres","68.0"
"Año 2013","Primero","Galicia","A Coruña","82.0"
"Año 2013","Primero","Galicia","Lugo","39.0"
"Año 2013","Primero","Galicia","Ourense","70.0"
"Año 2013","Primero","Galicia","Pontevedra","122.0"
"Año 2013","Primero","Comunidad de Madrid","Madrid","1259.0"
"Año 2013","Primero","Región de Murcia","Murcia","305.0"
"Año 2013","Primero","Comunidad Foral de Navarra","Navarra","78.0"
"Año 2013","Primero","País Vasco","Araba/Álava","26.0"
"Año 2013","Primero","País Vasco","Gipuzkoa","57.0"
"Año 2013","Primero","País Vasco","Bizkaia","117.0"
"Año 2013","Primero","La Rioja","La Rioja","57.0"
"Año 2013","Primero","Ceuta","Ceuta","23.0"
"Año 2013","Primero","Melilla","Melilla","1.0"
"Año 2013","Segundo","Andalucía","Almería","131.0"
"Año 2013","Segundo","Andalucía","Cádiz","247.0"
"Año 2013","Segundo","Andalucía","Córdoba","111.0"
"Año 2013","Segundo","Andalucía","Granada","95.0"
"Año 2013","Segundo","Andalucía","Huelva","98.0"
"Año 2013","Segundo","Andalucía","Jaén","74.0"
"Año 2013","Segundo","Andalucía","Málaga","284.0"
"Año 2013","Segundo","Andalucía","Sevilla","522.0"
"Año 2013","Segundo","Aragón","Huesca","27.0"
"Año 2013","Segundo","Aragón","Teruel","13.0"
"Año 2013","Segundo","Aragón","Zaragoza","118.0"
"Año 2013","Segundo","Principado de Asturias","Asturias","176.0"
"Año 2013","Segundo","Illes Balears","Illes Balears","167.0"
"Año 2013","Segundo","Canarias","Las Palmas","244.0"
"Año 2013","Segundo","Canarias","Santa Cruz de Tenerife","304.0"
"Año 2013","Segundo","Cantabria","Cantabria","85.0"
"Año 2013","Segundo","Castilla y León","Ávila","27.0"
"Año 2013","Segundo","Castilla y León","Burgos","47.0"
"Año 2013","Segundo","Castilla y León","León","55.0"
"Año 2013","Segundo","Castilla y León","Palencia","15.0"
"Año 2013","Segundo","Castilla y León","Salamanca","19.0"
"Año 2013","Segundo","Castilla y León","Segovia","24.0"
"Año 2013","Segundo","Castilla y León","Soria","16.0"
"Año 2013","Segundo","Castilla y León","Valladolid","98.0"
"Año 2013","Segundo","Castilla y León","Zamora","11.0"
"Año 2013","Segundo","Castilla-La Mancha","Albacete","100.0"
"Año 2013","Segundo","Castilla-La Mancha","Ciudad Real","103.0"
"Año 2013","Segundo","Castilla-La Mancha","Cuenca","91.0"
"Año 2013","Segundo","Castilla-La Mancha","Guadalajara","88.0"
"Año 2013","Segundo","Castilla-La Mancha","Toledo","94.0"
"Año 2013","Segundo","Cataluña","Barcelona","896.0"
"Año 2013","Segundo","Cataluña","Girona","194.0"
"Año 2013","Segundo","Cataluña","Lleida","49.0"
"Año 2013","Segundo","Cataluña","Tarragona","124.0"
"Año 2013","Segundo","Comunitat Valenciana","Alicante/Alacant","465.0"
"Año 2013","Segundo","Comunitat Valenciana","Castellón/Castelló","108.0"
"Año 2013","Segundo","Comunitat Valenciana","Valencia/València","460.0"
"Año 2013","Segundo","Extremadura","Badajoz","121.0"
"Año 2013","Segundo","Extremadura","Cáceres","73.0"
"Año 2013","Segundo","Galicia","A Coruña","110.0"
"Año 2013","Segundo","Galicia","Lugo","54.0"
"Año 2013","Segundo","Galicia","Ourense","87.0"
"Año 2013","Segundo","Galicia","Pontevedra","127.0"
"Año 2013","Segundo","Comunidad de Madrid","Madrid","1284.0"
"Año 2013","Segundo","Región de Murcia","Murcia","277.0"
"Año 2013","Segundo","Comunidad Foral de Navarra","Navarra","74.0"
"Año 2013","Segundo","País Vasco","Araba/Álava","38.0"
"Año 2013","Segundo","País Vasco","Gipuzkoa","81.0"
"Año 2013","Segundo","País Vasco","Bizkaia","110.0"
"Año 2013","Segundo","La Rioja","La Rioja","51.0"
"Año 2013","Segundo","Ceuta","Ceuta","35.0"
"Año 2013","Segundo","Melilla","Melilla","2.0"
"Año 2013","Tercero","Andalucía","Almería","149.0"
"Año 2013","Tercero","Andalucía","Cádiz","228.0"
"Año 2013","Tercero","Andalucía","Córdoba","130.0"
"Año 2013","Tercero","Andalucía","Granada","86.0"
"Año 2013","Tercero","Andalucía","Huelva","119.0"
"Año 2013","Tercero","Andalucía","Jaén","89.0"
"Año 2013","Tercero","Andalucía","Málaga","276.0"
"Año 2013","Tercero","Andalucía","Sevilla","512.0"
"Año 2013","Tercero","Aragón","Huesca","25.0"
"Año 2013","Tercero","Aragón","Teruel","6.0"
"Año 2013","Tercero","Aragón","Zaragoza","130.0"
"Año 2013","Tercero","Principado de Asturias","Asturias","205.0"
"Año 2013","Tercero","Illes Balears","Illes Balears","213.0"
"Año 2013","Tercero","Canarias","Las Palmas","284.0"
"Año 2013","Tercero","Canarias","Santa Cruz de Tenerife","268.0"
"Año 2013","Tercero","Cantabria","Cantabria","93.0"
"Año 2013","Tercero","Castilla y León","Ávila","27.0"
"Año 2013","Tercero","Castilla y León","Burgos","43.0"
"Año 2013","Tercero","Castilla y León","León","62.0"
"Año 2013","Tercero","Castilla y León","Palencia","37.0"
"Año 2013","Tercero","Castilla y León","Salamanca","28.0"
"Año 2013","Tercero","Castilla y León","Segovia","22.0"
"Año 2013","Tercero","Castilla y León","Soria","18.0"
"Año 2013","Tercero","Castilla y León","Valladolid","110.0"
"Año 2013","Tercero","Castilla y León","Zamora","12.0"
"Año 2013","Tercero","Castilla-La Mancha","Albacete","94.0"
"Año 2013","Tercero","Castilla-La Mancha","Ciudad Real","132.0"
"Año 2013","Tercero","Castilla-La Mancha","Cuenca","81.0"
"Año 2013","Tercero","Castilla-La Mancha","Guadalajara","45.0"
"Año 2013","Tercero","Castilla-La Mancha","Toledo","93.0"
"Año 2013","Tercero","Cataluña","Barcelona","929.0"
"Año 2013","Tercero","Cataluña","Girona","194.0"
"Año 2013","Tercero","Cataluña","Lleida","60.0"
"Año 2013","Tercero","Cataluña","Tarragona","161.0"
"Año 2013","Tercero","Comunitat Valenciana","Alicante/Alacant","534.0"
"Año 2013","Tercero","Comunitat Valenciana","Castellón/Castelló","88.0"
"Año 2013","Tercero","Comunitat Valenciana","Valencia/València","448.0"
"Año 2013","Tercero","Extremadura","Badajoz","160.0"
"Año 2013","Tercero","Extremadura","Cáceres","75.0"
"Año 2013","Tercero","Galicia","A Coruña","93.0"
"Año 2013","Tercero","Galicia","Lugo","49.0"
"Año 2013","Tercero","Galicia","Ourense","85.0"
"Año 2013","Tercero","Galicia","Pontevedra","149.0"
"Año 2013","Tercero","Comunidad de Madrid","Madrid","1261.0"
"Año 2013","Tercero","Región de Murcia","Murcia","283.0"
"Año 2013","Tercero","Comunidad Foral de Navarra","Navarra","78.0"
"Año 2013","Tercero","País Vasco","Araba/Álava","51.0"
"Año 2013","Tercero","País Vasco","Gipuzkoa","78.0"
"Año 2013","Tercero","País Vasco","Bizkaia","100.0"
"Año 2013","Tercero","La Rioja","La Rioja","34.0"
"Año 2013","Tercero","Ceuta","Ceuta","22.0"
"Año 2013","Tercero","Melilla","Melilla","0.0"
"Año 2013","Cuarto","Andalucía","Almería","145.0"
"Año 2013","Cuarto","Andalucía","Cádiz","254.0"
"Año 2013","Cuarto","Andalucía","Córdoba","105.0"
"Año 2013","Cuarto","Andalucía","Granada","79.0"
"Año 2013","Cuarto","Andalucía","Huelva","94.0"
"Año 2013","Cuarto","Andalucía","Jaén","71.0"
"Año 2013","Cuarto","Andalucía","Málaga","260.0"
"Año 2013","Cuarto","Andalucía","Sevilla","454.0"
"Año 2013","Cuarto","Aragón","Huesca","16.0"
"Año 2013","Cuarto","Aragón","Teruel","14.0"
"Año 2013","Cuarto","Aragón","Zaragoza","139.0"
"Año 2013","Cuarto","Principado de Asturias","Asturias","157.0"
"Año 2013","Cuarto","Illes Balears","Illes Balears","142.0"
"Año 2013","Cuarto","Canarias","Las Palmas","295.0"
"Año 2013","Cuarto","Canarias","Santa Cruz de Tenerife","272.0"
"Año 2013","Cuarto","Cantabria","Cantabria","84.0"
"Año 2013","Cuarto","Castilla y León","Ávila","33.0"
"Año 2013","Cuarto","Castilla y León","Burgos","41.0"
"Año 2013","Cuarto","Castilla y León","León","56.0"
"Año 2013","Cuarto","Castilla y León","Palencia","23.0"
"Año 2013","Cuarto","Castilla y León","Salamanca","26.0"
"Año 2013","Cuarto","Castilla y León","Segovia","13.0"
"Año 2013","Cuarto","Castilla y León","Soria","10.0"
"Año 2013","Cuarto","Castilla y León","Valladolid","86.0"
"Año 2013","Cuarto","Castilla y León","Zamora","11.0"
"Año 2013","Cuarto","Castilla-La Mancha","Albacete","97.0"
"Año 2013","Cuarto","Castilla-La Mancha","Ciudad Real","128.0"
"Año 2013","Cuarto","Castilla-La Mancha","Cuenca","40.0"
"Año 2013","Cuarto","Castilla-La Mancha","Guadalajara","82.0"
"Año 2013","Cuarto","Castilla-La Mancha","Toledo","107.0"
"Año 2013","Cuarto","Cataluña","Barcelona","905.0"
"Año 2013","Cuarto","Cataluña","Girona","224.0"
"Año 2013","Cuarto","Cataluña","Lleida","50.0"
"Año 2013","Cuarto","Cataluña","Tarragona","202.0"
"Año 2013","Cuarto","Comunitat Valenciana","Alicante/Alacant","517.0"
"Año 2013","Cuarto","Comunitat Valenciana","Castellón/Castelló","77.0"
"Año 2013","Cuarto","Comunitat Valenciana","Valencia/València","457.0"
"Año 2013","Cuarto","Extremadura","Badajoz","94.0"
"Año 2013","Cuarto","Extremadura","Cáceres","45.0"
"Año 2013","Cuarto","Galicia","A Coruña","129.0"
"Año 2013","Cuarto","Galicia","Lugo","60.0"
"Año 2013","Cuarto","Galicia","Ourense","83.0"
"Año 2013","Cuarto","Galicia","Pontevedra","151.0"
"Año 2013","Cuarto","Comunidad de Madrid","Madrid","1305.0"
"Año 2013","Cuarto","Región de Murcia","Murcia","301.0"
"Año 2013","Cuarto","Comunidad Foral de Navarra","Navarra","77.0"
"Año 2013","Cuarto","País Vasco","Araba/Álava","42.0"
"Año 2013","Cuarto","País Vasco","Gipuzkoa","52.0"
"Año 2013","Cuarto","País Vasco","Bizkaia","87.0"
"Año 2013","Cuarto","La Rioja","La Rioja","20.0"
"Año 2013","Cuarto","Ceuta","Ceuta","8.0"
"Año 2013","Cuarto","Melilla","Melilla","8.0"
"Año 2014","Primero","Andalucía","Almería","192.0"
"Año 2014","Primero","Andalucía","Cádiz","199.0"
"Año 2014","Primero","Andalucía","Córdoba","138.0"
"Año 2014","Primero","Andalucía","Granada","84.0"
"Año 2014","Primero","Andalucía","Huelva","110.0"
"Año 2014","Primero","Andalucía","Jaén","91.0"
"Año 2014","Primero","Andalucía","Málaga","257.0"
"Año 2014","Primero","Andalucía","Sevilla","436.0"
"Año 2014","Primero","Aragón","Huesca","22.0"
"Año 2014","Primero","Aragón","Teruel","6.0"
"Año 2014","Primero","Aragón","Zaragoza","127.0"
"Año 2014","Primero","Principado de Asturias","Asturias","164.0"
"Año 2014","Primero","Illes Balears","Illes Balears","137.0"
"Año 2014","Primero","Canarias","Las Palmas","314.0"
"Año 2014","Primero","Canarias","Santa Cruz de Tenerife","232.0"
"Año 2014","Primero","Cantabria","Cantabria","84.0"
"Año 2014","Primero","Castilla y León","Ávila","25.0"
"Año 2014","Primero","Castilla y León","Burgos","40.0"
"Año 2014","Primero","Castilla y León","León","40.0"
"Año 2014","Primero","Castilla y León","Palencia","26.0"
"Año 2014","Primero","Castilla y León","Salamanca","25.0"
"Año 2014","Primero","Castilla y León","Segovia","17.0"
"Año 2014","Primero","Castilla y León","Soria","17.0"
"Año 2014","Primero","Castilla y León","Valladolid","105.0"
"Año 2014","Primero","Castilla y León","Zamora","14.0"
"Año 2014","Primero","Castilla-La Mancha","Albacete","73.0"
"Año 2014","Primero","Castilla-La Mancha","Ciudad Real","117.0"
"Año 2014","Primero","Castilla-La Mancha","Cuenca","39.0"
"Año 2014","Primero","Castilla-La Mancha","Guadalajara","44.0"
"Año 2014","Primero","Castilla-La Mancha","Toledo","111.0"
"Año 2014","Primero","Cataluña","Barcelona","872.0"
"Año 2014","Primero","Cataluña","Girona","162.0"
"Año 2014","Primero","Cataluña","Lleida","63.0"
"Año 2014","Primero","Cataluña","Tarragona","211.0"
"Año 2014","Primero","Comunitat Valenciana","Alicante/Alacant","449.0"
"Año 2014","Primero","Comunitat Valenciana","Castellón/Castelló","100.0"
"Año 2014","Primero","Comunitat Valenciana","Valencia/València","424.0"
"Año 2014","Primero","Extremadura","Badajoz","104.0"
"Año 2014","Primero","Extremadura","Cáceres","51.0"
"Año 2014","Primero","Galicia","A Coruña","97.0"
"Año 2014","Primero","Galicia","Lugo","43.0"
"Año 2014","Primero","Galicia","Ourense","72.0"
"Año 2014","Primero","Galicia","Pontevedra","116.0"
"Año 2014","Primero","Comunidad de Madrid","Madrid","1295.0"
"Año 2014","Primero","Región de Murcia","Murcia","254.0"
"Año 2014","Primero","Comunidad Foral de Navarra","Navarra","65.0"
"Año 2014","Primero","País Vasco","Araba/Álava","26.0"
"Año 2014","Primero","País Vasco","Gipuzkoa","55.0"
"Año 2014","Primero","País Vasco","Bizkaia","93.0"
"Año 2014","Primero","La Rioja","La Rioja","24.0"
"Año 2014","Primero","Ceuta","Ceuta","5.0"
"Año 2014","Primero","Melilla","Melilla","0.0"
"Año 2014","Segundo","Andalucía","Almería","163.0"
"Año 2014","Segundo","Andalucía","Cádiz","231.0"
"Año 2014","Segundo","Andalucía","Córdoba","109.0"
"Año 2014","Segundo","Andalucía","Granada","110.0"
"Año 2014","Segundo","Andalucía","Huelva","138.0"
"Año 2014","Segundo","Andalucía","Jaén","83.0"
"Año 2014","Segundo","Andalucía","Málaga","273.0"
"Año 2014","Segundo","Andalucía","Sevilla","433.0"
"Año 2014","Segundo","Aragón","Huesca","26.0"
"Año 2014","Segundo","Aragón","Teruel","12.0"
"Año 2014","Segundo","Aragón","Zaragoza","138.0"
"Año 2014","Segundo","Principado de Asturias","Asturias","229.0"
"Año 2014","Segundo","Illes Balears","Illes Balears","152.0"
"Año 2014","Segundo","Canarias","Las Palmas","267.0"
"Año 2014","Segundo","Canarias","Santa Cruz de Tenerife","264.0"
"Año 2014","Segundo","Cantabria","Cantabria","107.0"
"Año 2014","Segundo","Castilla y León","Ávila","20.0"
"Año 2014","Segundo","Castilla y León","Burgos","51.0"
"Año 2014","Segundo","Castilla y León","León","53.0"
"Año 2014","Segundo","Castilla y León","Palencia","23.0"
"Año 2014","Segundo","Castilla y León","Salamanca","31.0"
"Año 2014","Segundo","Castilla y León","Segovia","20.0"
"Año 2014","Segundo","Castilla y León","Soria","21.0"
"Año 2014","Segundo","Castilla y León","Valladolid","101.0"
"Año 2014","Segundo","Castilla y León","Zamora","20.0"
"Año 2014","Segundo","Castilla-La Mancha","Albacete","90.0"
"Año 2014","Segundo","Castilla-La Mancha","Ciudad Real","105.0"
"Año 2014","Segundo","Castilla-La Mancha","Cuenca","38.0"
"Año 2014","Segundo","Castilla-La Mancha","Guadalajara","34.0"
"Año 2014","Segundo","Castilla-La Mancha","Toledo","85.0"
"Año 2014","Segundo","Cataluña","Barcelona","1029.0"
"Año 2014","Segundo","Cataluña","Girona","205.0"
"Año 2014","Segundo","Cataluña","Lleida","51.0"
"Año 2014","Segundo","Cataluña","Tarragona","202.0"
"Año 2014","Segundo","Comunitat Valenciana","Alicante/Alacant","473.0"
"Año 2014","Segundo","Comunitat Valenciana","Castellón/Castelló","123.0"
"Año 2014","Segundo","Comunitat Valenciana","Valencia/València","427.0"
"Año 2014","Segundo","Extremadura","Badajoz","117.0"
"Año 2014","Segundo","Extremadura","Cáceres","62.0"
"Año 2014","Segundo","Galicia","A Coruña","90.0"
"Año 2014","Segundo","Galicia","Lugo","61.0"
"Año 2014","Segundo","Galicia","Ourense","29.0"
"Año 2014","Segundo","Galicia","Pontevedra","133.0"
"Año 2014","Segundo","Comunidad de Madrid","Madrid","1354.0"
"Año 2014","Segundo","Región de Murcia","Murcia","313.0"
"Año 2014","Segundo","Comunidad Foral de Navarra","Navarra","81.0"
"Año 2014","Segundo","País Vasco","Araba/Álava","8.0"
"Año 2014","Segundo","País Vasco","Gipuzkoa","70.0"
"Año 2014","Segundo","País Vasco","Bizkaia","101.0"
"Año 2014","Segundo","La Rioja","La Rioja","53.0"
"Año 2014","Segundo","Ceuta","Ceuta","8.0"
"Año 2014","Segundo","Melilla","Melilla","11.0"
"Año 2014","Tercero","Andalucía","Almería","144.0"
"Año 2014","Tercero","Andalucía","Cádiz","257.0"
"Año 2014","Tercero","Andalucía","Córdoba","123.0"
"Año 2014","Tercero","Andalucía","Granada","101.0"
"Año 2014","Tercero","Andalucía","Huelva","134.0"
"Año 2014","Tercero","Andalucía","Jaén","81.0"
"Año 2014","Tercero","Andalucía","Málaga","298.0"
"Año 2014","Tercero","Andalucía","Sevilla","516.0"
"Año 2014","Tercero","Aragón","Huesca","42.0"
"Año 2014","Tercero","Aragón","Teruel","10.0"
"Año 2014","Tercero","Aragón","Zaragoza","168.0"
"Año 2014","Tercero","Principado de Asturias","Asturias","197.0"
"Año 2014","Tercero","Illes Balears","Illes Balears","170.0"
"Año 2014","Tercero","Canarias","Las Palmas","301.0"
"Año 2014","Tercero","Canarias","Santa Cruz de Tenerife","295.0"
"Año 2014","Tercero","Cantabria","Cantabria","104.0"
"Año 2014","Tercero","Castilla y León","Ávila","46.0"
"Año 2014","Tercero","Castilla y León","Burgos","47.0"
"Año 2014","Tercero","Castilla y León","León","42.0"
"Año 2014","Tercero","Castilla y León","Palencia","30.0"
"Año 2014","Tercero","Castilla y León","Salamanca","31.0"
"Año 2014","Tercero","Castilla y León","Segovia","19.0"
"Año 2014","Tercero","Castilla y León","Soria","18.0"
"Año 2014","Tercero","Castilla y León","Valladolid","128.0"
"Año 2014","Tercero","Castilla y León","Zamora","15.0"
"Año 2014","Tercero","Castilla-La Mancha","Albacete","91.0"
"Año 2014","Tercero","Castilla-La Mancha","Ciudad Real","126.0"
"Año 2014","Tercero","Castilla-La Mancha","Cuenca","41.0"
"Año 2014","Tercero","Castilla-La Mancha","Guadalajara","48.0"
"Año 2014","Tercero","Castilla-La Mancha","Toledo","111.0"
"Año 2014","Tercero","Cataluña","Barcelona","844.0"
"Año 2014","Tercero","Cataluña","Girona","215.0"
"Año 2014","Tercero","Cataluña","Lleida","77.0"
"Año 2014","Tercero","Cataluña","Tarragona","194.0"
"Año 2014","Tercero","Comunitat Valenciana","Alicante/Alacant","465.0"
"Año 2014","Tercero","Comunitat Valenciana","Castellón/Castelló","126.0"
"Año 2014","Tercero","Comunitat Valenciana","Valencia/València","521.0"
"Año 2014","Tercero","Extremadura","Badajoz","141.0"
"Año 2014","Tercero","Extremadura","Cáceres","58.0"
"Año 2014","Tercero","Galicia","A Coruña","114.0"
"Año 2014","Tercero","Galicia","Lugo","41.0"
"Año 2014","Tercero","Galicia","Ourense","30.0"
"Año 2014","Tercero","Galicia","Pontevedra","150.0"
"Año 2014","Tercero","Comunidad de Madrid","Madrid","1366.0"
"Año 2014","Tercero","Región de Murcia","Murcia","337.0"
"Año 2014","Tercero","Comunidad Foral de Navarra","Navarra","84.0"
"Año 2014","Tercero","País Vasco","Araba/Álava","28.0"
"Año 2014","Tercero","País Vasco","Gipuzkoa","89.0"
"Año 2014","Tercero","País Vasco","Bizkaia","110.0"
"Año 2014","Tercero","La Rioja","La Rioja","47.0"
"Año 2014","Tercero","Ceuta","Ceuta","17.0"
"Año 2014","Tercero","Melilla","Melilla","19.0"
"Año 2014","Cuarto","Andalucía","Almería","142.0"
"Año 2014","Cuarto","Andalucía","Cádiz","270.0"
"Año 2014","Cuarto","Andalucía","Córdoba","102.0"
"Año 2014","Cuarto","Andalucía","Granada","120.0"
"Año 2014","Cuarto","Andalucía","Huelva","96.0"
"Año 2014","Cuarto","Andalucía","Jaén","92.0"
"Año 2014","Cuarto","Andalucía","Málaga","293.0"
"Año 2014","Cuarto","Andalucía","Sevilla","464.0"
"Año 2014","Cuarto","Aragón","Huesca","27.0"
"Año 2014","Cuarto","Aragón","Teruel","13.0"
"Año 2014","Cuarto","Aragón","Zaragoza","131.0"
"Año 2014","Cuarto","Principado de Asturias","Asturias","183.0"
"Año 2014","Cuarto","Illes Balears","Illes Balears","108.0"
"Año 2014","Cuarto","Canarias","Las Palmas","244.0"
"Año 2014","Cuarto","Canarias","Santa Cruz de Tenerife","280.0"
"Año 2014","Cuarto","Cantabria","Cantabria","85.0"
"Año 2014","Cuarto","Castilla y León","Ávila","31.0"
"Año 2014","Cuarto","Castilla y León","Burgos","50.0"
"Año 2014","Cuarto","Castilla y León","León","40.0"
"Año 2014","Cuarto","Castilla y León","Palencia","22.0"
"Año 2014","Cuarto","Castilla y León","Salamanca","26.0"
"Año 2014","Cuarto","Castilla y León","Segovia","19.0"
"Año 2014","Cuarto","Castilla y León","Soria","17.0"
"Año 2014","Cuarto","Castilla y León","Valladolid","108.0"
"Año 2014","Cuarto","Castilla y León","Zamora","16.0"
"Año 2014","Cuarto","Castilla-La Mancha","Albacete","78.0"
"Año 2014","Cuarto","Castilla-La Mancha","Ciudad Real","130.0"
"Año 2014","Cuarto","Castilla-La Mancha","Cuenca","39.0"
"Año 2014","Cuarto","Castilla-La Mancha","Guadalajara","66.0"
"Año 2014","Cuarto","Castilla-La Mancha","Toledo","115.0"
"Año 2014","Cuarto","Cataluña","Barcelona","806.0"
"Año 2014","Cuarto","Cataluña","Girona","193.0"
"Año 2014","Cuarto","Cataluña","Lleida","70.0"
"Año 2014","Cuarto","Cataluña","Tarragona","148.0"
"Año 2014","Cuarto","Comunitat Valenciana","Alicante/Alacant","404.0"
"Año 2014","Cuarto","Comunitat Valenciana","Castellón/Castelló","116.0"
"Año 2014","Cuarto","Comunitat Valenciana","Valencia/València","440.0"
"Año 2014","Cuarto","Extremadura","Badajoz","120.0"
"Año 2014","Cuarto","Extremadura","Cáceres","51.0"
"Año 2014","Cuarto","Galicia","A Coruña","111.0"
"Año 2014","Cuarto","Galicia","Lugo","41.0"
"Año 2014","Cuarto","Galicia","Ourense","23.0"
"Año 2014","Cuarto","Galicia","Pontevedra","176.0"
"Año 2014","Cuarto","Comunidad de Madrid","Madrid","1297.0"
"Año 2014","Cuarto","Región de Murcia","Murcia","327.0"
"Año 2014","Cuarto","Comunidad Foral de Navarra","Navarra","58.0"
"Año 2014","Cuarto","País Vasco","Araba/Álava","18.0"
"Año 2014","Cuarto","País Vasco","Gipuzkoa","70.0"
"Año 2014","Cuarto","País Vasco","Bizkaia","110.0"
"Año 2014","Cuarto","La Rioja","La Rioja","56.0"
"Año 2014","Cuarto","Ceuta","Ceuta","4.0"
"Año 2014","Cuarto","Melilla","Melilla","19.0"
"Año 2015","Primero","Andalucía","Almería","127.0"
"Año 2015","Primero","Andalucía","Cádiz","288.0"
"Año 2015","Primero","Andalucía","Córdoba","129.0"
"Año 2015","Primero","Andalucía","Granada","171.0"
"Año 2015","Primero","Andalucía","Huelva","116.0"
"Año 2015","Primero","Andalucía","Jaén","143.0"
"Año 2015","Primero","Andalucía","Málaga","419.0"
"Año 2015","Primero","Andalucía","Sevilla","505.0"
"Año 2015","Primero","Aragón","Huesca","41.0"
"Año 2015","Primero","Aragón","Teruel","16.0"
"Año 2015","Primero","Aragón","Zaragoza","140.0"
"Año 2015","Primero","Principado de Asturias","Asturias","190.0"
"Año 2015","Primero","Illes Balears","Illes Balears","150.0"
"Año 2015","Primero","Canarias","Las Palmas","251.0"
"Año 2015","Primero","Canarias","Santa Cruz de Tenerife","234.0"
"Año 2015","Primero","Cantabria","Cantabria","85.0"
"Año 2015","Primero","Castilla y León","Ávila","19.0"
"Año 2015","Primero","Castilla y León","Burgos","34.0"
"Año 2015","Primero","Castilla y León","León","54.0"
