"Año","Trimestre","Comunidad autónoma","Provincia","Número de órdenes de protección"
"Año 2009","Segundo","Galicia","Ourense","38.0"
"Año 2009","Segundo","Galicia","Pontevedra","148.0"
"Año 2009","Segundo","Comunidad de Madrid","Madrid","1687.0"
"Año 2009","Segundo","Región de Murcia","Murcia","550.0"
"Año 2009","Segundo","Comunidad Foral de Navarra","Navarra","103.0"
"Año 2009","Segundo","País Vasco","Araba/Álava","52.0"
"Año 2009","Segundo","País Vasco","Gipuzkoa","91.0"
"Año 2009","Segundo","País Vasco","Bizkaia","153.0"
"Año 2009","Segundo","La Rioja","La Rioja","73.0"
"Año 2009","Segundo","Ceuta","Ceuta","26.0"
"Año 2009","Segundo","Melilla","Melilla","5.0"
"Año 2009","Tercero","Andalucía","Almería","102.0"
"Año 2009","Tercero","Andalucía","Cádiz","303.0"
"Año 2009","Tercero","Andalucía","Córdoba","139.0"
"Año 2009","Tercero","Andalucía","Granada","164.0"
"Año 2009","Tercero","Andalucía","Huelva","173.0"
"Año 2009","Tercero","Andalucía","Jaén","110.0"
"Año 2009","Tercero","Andalucía","Málaga","373.0"
"Año 2009","Tercero","Andalucía","Sevilla","554.0"
"Año 2009","Tercero","Aragón","Huesca","13.0"
"Año 2009","Tercero","Aragón","Teruel","11.0"
"Año 2009","Tercero","Aragón","Zaragoza","151.0"
"Año 2009","Tercero","Principado de Asturias","Asturias","224.0"
"Año 2009","Tercero","Illes Balears","Illes Balears","424.0"
"Año 2009","Tercero","Canarias","Las Palmas","398.0"
"Año 2009","Tercero","Canarias","Santa Cruz de Tenerife","314.0"
"Año 2009","Tercero","Cantabria","Cantabria","111.0"
"Año 2009","Tercero","Castilla y León","Ávila","30.0"
"Año 2009","Tercero","Castilla y León","Burgos","57.0"
"Año 2009","Tercero","Castilla y León","León","51.0"
"Año 2009","Tercero","Castilla y León","Palencia","29.0"
"Año 2009","Tercero","Castilla y León","Salamanca","48.0"
"Año 2009","Tercero","Castilla y León","Segovia","36.0"
"Año 2009","Tercero","Castilla y León","Soria","29.0"
"Año 2009","Tercero","Castilla y León","Valladolid","110.0"
"Año 2009","Tercero","Castilla y León","Zamora","13.0"
"Año 2009","Tercero","Castilla-La Mancha","Albacete","103.0"
"Año 2009","Tercero","Castilla-La Mancha","Ciudad Real","161.0"
"Año 2009","Tercero","Castilla-La Mancha","Cuenca","36.0"
"Año 2009","Tercero","Castilla-La Mancha","Guadalajara","71.0"
"Año 2009","Tercero","Castilla-La Mancha","Toledo","236.0"
"Año 2009","Tercero","Cataluña","Barcelona","1199.0"
"Año 2009","Tercero","Cataluña","Girona","235.0"
"Año 2009","Tercero","Cataluña","Lleida","71.0"
"Año 2009","Tercero","Cataluña","Tarragona","282.0"
"Año 2009","Tercero","Comunitat Valenciana","Alicante/Alacant","618.0"
"Año 2009","Tercero","Comunitat Valenciana","Castellón/Castelló","132.0"
"Año 2009","Tercero","Comunitat Valenciana","Valencia/València","512.0"
"Año 2009","Tercero","Extremadura","Badajoz","144.0"
"Año 2009","Tercero","Extremadura","Cáceres","74.0"
"Año 2009","Tercero","Galicia","A Coruña","109.0"
"Año 2009","Tercero","Galicia","Lugo","46.0"
"Año 2009","Tercero","Galicia","Ourense","38.0"
"Año 2009","Tercero","Galicia","Pontevedra","164.0"
"Año 2009","Tercero","Comunidad de Madrid","Madrid","1812.0"
"Año 2009","Tercero","Región de Murcia","Murcia","500.0"
"Año 2009","Tercero","Comunidad Foral de Navarra","Navarra","87.0"
"Año 2009","Tercero","País Vasco","Araba/Álava","30.0"
"Año 2009","Tercero","País Vasco","Gipuzkoa","89.0"
"Año 2009","Tercero","País Vasco","Bizkaia","96.0"
"Año 2009","Tercero","La Rioja","La Rioja","82.0"
"Año 2009","Tercero","Ceuta","Ceuta","13.0"
"Año 2009","Tercero","Melilla","Melilla","2.0"
"Año 2009","Cuarto","Andalucía","Almería","90.0"
"Año 2009","Cuarto","Andalucía","Cádiz","181.0"
"Año 2009","Cuarto","Andalucía","Córdoba","125.0"
"Año 2009","Cuarto","Andalucía","Granada","90.0"
"Año 2009","Cuarto","Andalucía","Huelva","145.0"
"Año 2009","Cuarto","Andalucía","Jaén","88.0"
"Año 2009","Cuarto","Andalucía","Málaga","278.0"
"Año 2009","Cuarto","Andalucía","Sevilla","463.0"
"Año 2009","Cuarto","Aragón","Huesca","25.0"
"Año 2009","Cuarto","Aragón","Teruel","9.0"
"Año 2009","Cuarto","Aragón","Zaragoza","118.0"
"Año 2009","Cuarto","Principado de Asturias","Asturias","201.0"
"Año 2009","Cuarto","Illes Balears","Illes Balears","260.0"
"Año 2009","Cuarto","Canarias","Las Palmas","453.0"
"Año 2009","Cuarto","Canarias","Santa Cruz de Tenerife","362.0"
"Año 2009","Cuarto","Cantabria","Cantabria","90.0"
"Año 2009","Cuarto","Castilla y León","Ávila","17.0"
"Año 2009","Cuarto","Castilla y León","Burgos","41.0"
"Año 2009","Cuarto","Castilla y León","León","78.0"
"Año 2009","Cuarto","Castilla y León","Palencia","18.0"
"Año 2009","Cuarto","Castilla y León","Salamanca","41.0"
"Año 2009","Cuarto","Castilla y León","Segovia","15.0"
"Año 2009","Cuarto","Castilla y León","Soria","6.0"
"Año 2009","Cuarto","Castilla y León","Valladolid","106.0"
"Año 2009","Cuarto","Castilla y León","Zamora","15.0"
"Año 2009","Cuarto","Castilla-La Mancha","Albacete","74.0"
"Año 2009","Cuarto","Castilla-La Mancha","Ciudad Real","99.0"
"Año 2009","Cuarto","Castilla-La Mancha","Cuenca","41.0"
"Año 2009","Cuarto","Castilla-La Mancha","Guadalajara","80.0"
"Año 2009","Cuarto","Castilla-La Mancha","Toledo","194.0"
"Año 2009","Cuarto","Cataluña","Barcelona","1013.0"
"Año 2009","Cuarto","Cataluña","Girona","228.0"
"Año 2009","Cuarto","Cataluña","Lleida","67.0"
"Año 2009","Cuarto","Cataluña","Tarragona","201.0"
"Año 2009","Cuarto","Comunitat Valenciana","Alicante/Alacant","528.0"
"Año 2009","Cuarto","Comunitat Valenciana","Castellón/Castelló","124.0"
"Año 2009","Cuarto","Comunitat Valenciana","Valencia/València","411.0"
"Año 2009","Cuarto","Extremadura","Badajoz","117.0"
"Año 2009","Cuarto","Extremadura","Cáceres","48.0"
"Año 2009","Cuarto","Galicia","A Coruña","103.0"
"Año 2009","Cuarto","Galicia","Lugo","40.0"
"Año 2009","Cuarto","Galicia","Ourense","40.0"
"Año 2009","Cuarto","Galicia","Pontevedra","131.0"
"Año 2009","Cuarto","Comunidad de Madrid","Madrid","1531.0"
"Año 2009","Cuarto","Región de Murcia","Murcia","462.0"
"Año 2009","Cuarto","Comunidad Foral de Navarra","Navarra","79.0"
"Año 2009","Cuarto","País Vasco","Araba/Álava","20.0"
"Año 2009","Cuarto","País Vasco","Gipuzkoa","73.0"
"Año 2009","Cuarto","País Vasco","Bizkaia","138.0"
"Año 2009","Cuarto","La Rioja","La Rioja","58.0"
"Año 2009","Cuarto","Ceuta","Ceuta","11.0"
"Año 2009","Cuarto","Melilla","Melilla","3.0"
"Año 2010","Primero","Andalucía","Almería","99.0"
"Año 2010","Primero","Andalucía","Cádiz","247.0"
"Año 2010","Primero","Andalucía","Córdoba","87.0"
"Año 2010","Primero","Andalucía","Granada","116.0"
"Año 2010","Primero","Andalucía","Huelva","131.0"
"Año 2010","Primero","Andalucía","Jaén","100.0"
"Año 2010","Primero","Andalucía","Málaga","217.0"
"Año 2010","Primero","Andalucía","Sevilla","408.0"
"Año 2010","Primero","Aragón","Huesca","20.0"
"Año 2010","Primero","Aragón","Teruel","19.0"
"Año 2010","Primero","Aragón","Zaragoza","115.0"
"Año 2010","Primero","Principado de Asturias","Asturias","199.0"
"Año 2010","Primero","Illes Balears","Illes Balears","266.0"
"Año 2010","Primero","Canarias","Las Palmas","475.0"
"Año 2010","Primero","Canarias","Santa Cruz de Tenerife","304.0"
"Año 2010","Primero","Cantabria","Cantabria","84.0"
"Año 2010","Primero","Castilla y León","Ávila","36.0"
"Año 2010","Primero","Castilla y León","Burgos","57.0"
"Año 2010","Primero","Castilla y León","León","97.0"
"Año 2010","Primero","Castilla y León","Palencia","27.0"
"Año 2010","Primero","Castilla y León","Salamanca","34.0"
"Año 2010","Primero","Castilla y León","Segovia","16.0"
"Año 2010","Primero","Castilla y León","Soria","20.0"
"Año 2010","Primero","Castilla y León","Valladolid","112.0"
"Año 2010","Primero","Castilla y León","Zamora","20.0"
"Año 2010","Primero","Castilla-La Mancha","Albacete","81.0"
"Año 2010","Primero","Castilla-La Mancha","Ciudad Real","130.0"
"Año 2010","Primero","Castilla-La Mancha","Cuenca","40.0"
"Año 2010","Primero","Castilla-La Mancha","Guadalajara","66.0"
"Año 2010","Primero","Castilla-La Mancha","Toledo","236.0"
"Año 2010","Primero","Cataluña","Barcelona","1063.0"
"Año 2010","Primero","Cataluña","Girona","188.0"
"Año 2010","Primero","Cataluña","Lleida","52.0"
"Año 2010","Primero","Cataluña","Tarragona","221.0"
"Año 2010","Primero","Comunitat Valenciana","Alicante/Alacant","499.0"
"Año 2010","Primero","Comunitat Valenciana","Castellón/Castelló","114.0"
"Año 2010","Primero","Comunitat Valenciana","Valencia/València","501.0"
"Año 2010","Primero","Extremadura","Badajoz","132.0"
"Año 2010","Primero","Extremadura","Cáceres","46.0"
"Año 2010","Primero","Galicia","A Coruña","104.0"
"Año 2010","Primero","Galicia","Lugo","47.0"
"Año 2010","Primero","Galicia","Ourense","50.0"
"Año 2010","Primero","Galicia","Pontevedra","119.0"
"Año 2010","Primero","Comunidad de Madrid","Madrid","1450.0"
"Año 2010","Primero","Región de Murcia","Murcia","427.0"
"Año 2010","Primero","Comunidad Foral de Navarra","Navarra","63.0"
"Año 2010","Primero","País Vasco","Araba/Álava","16.0"
"Año 2010","Primero","País Vasco","Gipuzkoa","69.0"
"Año 2010","Primero","País Vasco","Bizkaia","113.0"
"Año 2010","Primero","La Rioja","La Rioja","50.0"
"Año 2010","Primero","Ceuta","Ceuta","15.0"
"Año 2010","Primero","Melilla","Melilla","2.0"
"Año 2010","Segundo","Andalucía","Almería","112.0"
"Año 2010","Segundo","Andalucía","Cádiz","314.0"
"Año 2010","Segundo","Andalucía","Córdoba","101.0"
"Año 2010","Segundo","Andalucía","Granada","98.0"
"Año 2010","Segundo","Andalucía","Huelva","161.0"
"Año 2010","Segundo","Andalucía","Jaén","93.0"
"Año 2010","Segundo","Andalucía","Málaga","252.0"
"Año 2010","Segundo","Andalucía","Sevilla","481.0"
"Año 2010","Segundo","Aragón","Huesca","19.0"
"Año 2010","Segundo","Aragón","Teruel","15.0"
"Año 2010","Segundo","Aragón","Zaragoza","133.0"
"Año 2010","Segundo","Principado de Asturias","Asturias","208.0"
"Año 2010","Segundo","Illes Balears","Illes Balears","424.0"
"Año 2010","Segundo","Canarias","Las Palmas","400.0"
"Año 2010","Segundo","Canarias","Santa Cruz de Tenerife","269.0"
"Año 2010","Segundo","Cantabria","Cantabria","77.0"
"Año 2010","Segundo","Castilla y León","Ávila","28.0"
"Año 2010","Segundo","Castilla y León","Burgos","51.0"
"Año 2010","Segundo","Castilla y León","León","83.0"
"Año 2010","Segundo","Castilla y León","Palencia","22.0"
"Año 2010","Segundo","Castilla y León","Salamanca","23.0"
"Año 2010","Segundo","Castilla y León","Segovia","27.0"
"Año 2010","Segundo","Castilla y León","Soria","20.0"
"Año 2010","Segundo","Castilla y León","Valladolid","100.0"
"Año 2010","Segundo","Castilla y León","Zamora","14.0"
"Año 2010","Segundo","Castilla-La Mancha","Albacete","72.0"
"Año 2010","Segundo","Castilla-La Mancha","Ciudad Real","108.0"
"Año 2010","Segundo","Castilla-La Mancha","Cuenca","24.0"
"Año 2010","Segundo","Castilla-La Mancha","Guadalajara","93.0"
"Año 2010","Segundo","Castilla-La Mancha","Toledo","234.0"
"Año 2010","Segundo","Cataluña","Barcelona","1071.0"
"Año 2010","Segundo","Cataluña","Girona","188.0"
"Año 2010","Segundo","Cataluña","Lleida","73.0"
