"Año","Mes","Comunidad autónoma","Provincia","Instalaciones acumuladas","Desinstalaciones acumuladas","Dispositivos activos"
"Año 2009","Septiembre","Castilla-La Mancha","Albacete","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla-La Mancha","Ciudad Real","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla-La Mancha","Cuenca","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla-La Mancha","Guadalajara","0.0","0.0","0.0"
"Año 2009","Septiembre","Castilla-La Mancha","Toledo","1.0","0.0","1.0"
"Año 2009","Septiembre","Cataluña","Barcelona","0.0","0.0","0.0"
"Año 2009","Septiembre","Cataluña","Girona","0.0","0.0","0.0"
"Año 2009","Septiembre","Cataluña","Lleida","0.0","0.0","0.0"
"Año 2009","Septiembre","Cataluña","Tarragona","1.0","0.0","1.0"
"Año 2009","Septiembre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0","1.0"
"Año 2009","Septiembre","Comunitat Valenciana","Castellón/Castelló","0.0","0.0","0.0"
"Año 2009","Septiembre","Comunitat Valenciana","Valencia/València","3.0","0.0","3.0"
"Año 2009","Septiembre","Extremadura","Badajoz","1.0","0.0","1.0"
"Año 2009","Septiembre","Extremadura","Cáceres","0.0","0.0","0.0"
"Año 2009","Septiembre","Galicia","A Coruña","1.0","0.0","1.0"
"Año 2009","Septiembre","Galicia","Lugo","0.0","0.0","0.0"
"Año 2009","Septiembre","Galicia","Ourense","0.0","0.0","0.0"
"Año 2009","Septiembre","Galicia","Pontevedra","0.0","0.0","0.0"
"Año 2009","Septiembre","Comunidad de Madrid","Madrid","1.0","0.0","1.0"
"Año 2009","Septiembre","Región de Murcia","Murcia","0.0","0.0","0.0"
"Año 2009","Septiembre","Comunidad Foral de Navarra","Navarra","0.0","0.0","0.0"
"Año 2009","Septiembre","País Vasco","Araba/Álava","0.0","0.0","0.0"
"Año 2009","Septiembre","País Vasco","Bizkaia","1.0","0.0","1.0"
"Año 2009","Septiembre","País Vasco","Gipuzkoa","0.0","0.0","0.0"
"Año 2009","Septiembre","La Rioja","La Rioja","0.0","0.0","0.0"
"Año 2009","Septiembre","Ceuta","Ceuta","0.0","0.0","0.0"
"Año 2009","Septiembre","Melilla","Melilla","0.0","0.0","0.0"
"Año 2009","Octubre","Andalucía","Almería","1.0","0.0","1.0"
"Año 2009","Octubre","Andalucía","Cádiz","1.0","0.0","1.0"
"Año 2009","Octubre","Andalucía","Córdoba","1.0","0.0","1.0"
"Año 2009","Octubre","Andalucía","Granada","0.0","0.0","0.0"
"Año 2009","Octubre","Andalucía","Huelva","0.0","0.0","0.0"
"Año 2009","Octubre","Andalucía","Jaén","3.0","0.0","3.0"
"Año 2009","Octubre","Andalucía","Málaga","2.0","0.0","2.0"
"Año 2009","Octubre","Andalucía","Sevilla","2.0","0.0","2.0"
"Año 2009","Octubre","Aragón","Huesca","0.0","0.0","0.0"
"Año 2009","Octubre","Aragón","Teruel","0.0","0.0","0.0"
"Año 2009","Octubre","Aragón","Zaragoza","0.0","0.0","0.0"
"Año 2009","Octubre","Principado de Asturias","Asturias","2.0","0.0","2.0"
"Año 2009","Octubre","Illes Balears","Illes Balears","8.0","0.0","8.0"
