"Año","Trimestre","Mes","Comunidad autónoma","Provincia","Total consultas pertinentes","Llamadas pertinentes","WhatsApp pertinentes","Correos electrónicos pertinentes","Chats pertinentes"
"2012","Primero","Enero","Andalucía","Málaga","188.0","188.0","0.0","0.0","0.0"
"2012","Primero","Enero","Andalucía","Sevilla","257.0","257.0","0.0","0.0","0.0"
"2012","Primero","Enero","Aragón","Huesca","18.0","18.0","0.0","0.0","0.0"
"2012","Primero","Enero","Aragón","Teruel","8.0","8.0","0.0","0.0","0.0"
"2012","Primero","Enero","Aragón","Zaragoza","71.0","71.0","0.0","0.0","0.0"
"2012","Primero","Enero","Principado de Asturias","Asturias","127.0","127.0","0.0","0.0","0.0"
"2012","Primero","Enero","Illes Balears","Illes Balears","128.0","128.0","0.0","0.0","0.0"
"2012","Primero","Enero","Canarias","Las Palmas","166.0","166.0","0.0","0.0","0.0"
"2012","Primero","Enero","Canarias","Santa Cruz de Tenerife","140.0","140.0","0.0","0.0","0.0"
"2012","Primero","Enero","Cantabria","Cantabria","74.0","74.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla y León","Ávila","33.0","33.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla y León","Burgos","40.0","40.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla y León","León","67.0","67.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla y León","Palencia","26.0","26.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla y León","Salamanca","44.0","44.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla y León","Segovia","11.0","11.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla y León","Soria","10.0","10.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla y León","Valladolid","65.0","65.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla y León","Zamora","8.0","8.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla-La Mancha","Albacete","33.0","33.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla-La Mancha","Ciudad Real","48.0","48.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla-La Mancha","Cuenca","23.0","23.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla-La Mancha","Guadalajara","27.0","27.0","0.0","0.0","0.0"
"2012","Primero","Enero","Castilla-La Mancha","Toledo","97.0","97.0","0.0","0.0","0.0"
"2012","Primero","Enero","Cataluña","Barcelona","548.0","548.0","0.0","0.0","0.0"
"2012","Primero","Enero","Cataluña","Girona","62.0","62.0","0.0","0.0","0.0"
"2012","Primero","Enero","Cataluña","Lleida","35.0","35.0","0.0","0.0","0.0"
"2012","Primero","Enero","Cataluña","Tarragona","71.0","71.0","0.0","0.0","0.0"
"2012","Primero","Enero","Comunitat Valenciana","Alicante/Alacant","229.0","229.0","0.0","0.0","0.0"
"2012","Primero","Enero","Comunitat Valenciana","Castellón/Castelló","58.0","58.0","0.0","0.0","0.0"
"2012","Primero","Enero","Comunitat Valenciana","Valencia/València","299.0","299.0","0.0","0.0","0.0"
"2012","Primero","Enero","Extremadura","Badajoz","78.0","78.0","0.0","0.0","0.0"
"2012","Primero","Enero","Extremadura","Cáceres","49.0","49.0","0.0","0.0","0.0"
"2012","Primero","Enero","Galicia","A Coruña","131.0","131.0","0.0","0.0","0.0"
"2012","Primero","Enero","Galicia","Lugo","34.0","34.0","0.0","0.0","0.0"
"2012","Primero","Enero","Galicia","Ourense","33.0","33.0","0.0","0.0","0.0"
"2012","Primero","Enero","Galicia","Pontevedra","84.0","84.0","0.0","0.0","0.0"
"2012","Primero","Enero","Comunidad de Madrid","Madrid","1203.0","1203.0","0.0","0.0","0.0"
"2012","Primero","Enero","Región de Murcia","Murcia","127.0","127.0","0.0","0.0","0.0"
"2012","Primero","Enero","Comunidad Foral de Navarra","Navarra","80.0","80.0","0.0","0.0","0.0"
"2012","Primero","Enero","País Vasco","Araba/Álava","34.0","34.0","0.0","0.0","0.0"
"2012","Primero","Enero","País Vasco","Bizkaia","80.0","80.0","0.0","0.0","0.0"
"2012","Primero","Enero","País Vasco","Gipuzkoa","36.0","36.0","0.0","0.0","0.0"
"2012","Primero","Enero","La Rioja","La Rioja","36.0","36.0","0.0","0.0","0.0"
"2012","Primero","Enero","Ceuta","Ceuta","14.0","14.0","0.0","0.0","0.0"
"2012","Primero","Enero","Melilla","Melilla","13.0","13.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Andalucía","Almería","61.0","61.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Andalucía","Cádiz","87.0","87.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Andalucía","Córdoba","66.0","66.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Andalucía","Granada","104.0","104.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Andalucía","Huelva","38.0","38.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Andalucía","Jaén","54.0","54.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Andalucía","Málaga","143.0","143.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Andalucía","Sevilla","244.0","244.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Aragón","Huesca","9.0","9.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Aragón","Teruel","5.0","5.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Aragón","Zaragoza","78.0","78.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Principado de Asturias","Asturias","102.0","102.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Illes Balears","Illes Balears","115.0","115.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Canarias","Las Palmas","138.0","138.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Canarias","Santa Cruz de Tenerife","111.0","111.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Cantabria","Cantabria","51.0","51.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla y León","Ávila","19.0","19.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla y León","Burgos","30.0","30.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla y León","León","42.0","42.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla y León","Palencia","7.0","7.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla y León","Salamanca","35.0","35.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla y León","Segovia","14.0","14.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla y León","Soria","5.0","5.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla y León","Valladolid","51.0","51.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla y León","Zamora","25.0","25.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla-La Mancha","Albacete","22.0","22.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla-La Mancha","Ciudad Real","59.0","59.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla-La Mancha","Cuenca","13.0","13.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla-La Mancha","Guadalajara","23.0","23.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Castilla-La Mancha","Toledo","80.0","80.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Cataluña","Barcelona","465.0","465.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Cataluña","Girona","42.0","42.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Cataluña","Lleida","36.0","36.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Cataluña","Tarragona","41.0","41.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Comunitat Valenciana","Alicante/Alacant","162.0","162.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Comunitat Valenciana","Castellón/Castelló","63.0","63.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Comunitat Valenciana","Valencia/València","218.0","218.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Extremadura","Badajoz","73.0","73.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Extremadura","Cáceres","58.0","58.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Galicia","A Coruña","108.0","108.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Galicia","Lugo","20.0","20.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Galicia","Ourense","20.0","20.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Galicia","Pontevedra","78.0","78.0","0.0","0.0","0.0"
