"Año","Comunidad autónoma","Provincia","Número de ayudas para cambio de residencia"
"Año 2006","Canarias","Santa Cruz de Tenerife","43.0"
"Año 2006","Cantabria","Cantabria","9.0"
"Año 2006","Castilla y León","Ávila","2.0"
"Año 2006","Castilla y León","Burgos","1.0"
"Año 2006","Castilla y León","León","26.0"
"Año 2006","Castilla y León","Palencia","7.0"
"Año 2006","Castilla y León","Salamanca","12.0"
"Año 2006","Castilla y León","Segovia","5.0"
"Año 2006","Castilla y León","Soria","1.0"
"Año 2006","Castilla y León","Valladolid","5.0"
"Año 2006","Castilla y León","Zamora","6.0"
"Año 2006","Castilla-La Mancha","Albacete","6.0"
"Año 2006","Castilla-La Mancha","Ciudad Real","18.0"
"Año 2006","Castilla-La Mancha","Cuenca","1.0"
"Año 2006","Castilla-La Mancha","Guadalajara","3.0"
"Año 2006","Castilla-La Mancha","Toledo","10.0"
"Año 2006","Cataluña","Barcelona","37.0"
"Año 2006","Cataluña","Girona","1.0"
"Año 2006","Cataluña","Lleida","2.0"
"Año 2006","Cataluña","Tarragona","3.0"
"Año 2006","Comunitat Valenciana","Alicante/Alacant","21.0"
"Año 2006","Comunitat Valenciana","Castellón/Castelló","11.0"
"Año 2006","Comunitat Valenciana","Valencia/València","17.0"
"Año 2006","Extremadura","Badajoz","15.0"
"Año 2006","Extremadura","Cáceres","3.0"
"Año 2006","Galicia","A Coruña","12.0"
"Año 2006","Galicia","Lugo","9.0"
"Año 2006","Galicia","Ourense","4.0"
"Año 2006","Galicia","Pontevedra","13.0"
"Año 2006","Comunidad de Madrid","Madrid","68.0"
"Año 2006","Región de Murcia","Murcia","9.0"
"Año 2006","Comunidad Foral de Navarra","Navarra","17.0"
"Año 2006","País Vasco","Araba/Álava","1.0"
"Año 2006","País Vasco","Bizkaia","19.0"
"Año 2006","País Vasco","Gipuzkoa","2.0"
"Año 2006","La Rioja","La Rioja","4.0"
"Año 2006","Ceuta","Ceuta","0.0"
"Año 2006","Melilla","Melilla","0.0"
"Año 2007","Andalucía","Almería","12.0"
"Año 2007","Andalucía","Cádiz","55.0"
"Año 2007","Andalucía","Córdoba","49.0"
"Año 2007","Andalucía","Granada","84.0"
"Año 2007","Andalucía","Huelva","28.0"
"Año 2007","Andalucía","Jaén","27.0"
"Año 2007","Andalucía","Málaga","22.0"
"Año 2007","Andalucía","Sevilla","74.0"
"Año 2007","Aragón","Huesca","5.0"
"Año 2007","Aragón","Teruel","5.0"
"Año 2007","Aragón","Zaragoza","15.0"
"Año 2007","Principado de Asturias","Asturias","31.0"
"Año 2007","Illes Balears","Illes Balears","24.0"
"Año 2007","Canarias","Las Palmas","35.0"
"Año 2007","Canarias","Santa Cruz de Tenerife","86.0"
"Año 2007","Cantabria","Cantabria","5.0"
