"Año","Comunidad autónoma","Provincia","Número de perceptoras"
"Año 2008","Andalucía","Málaga","889.0"
"Año 2008","Andalucía","Sevilla","1154.0"
"Año 2008","Aragón","Huesca","22.0"
"Año 2008","Aragón","Teruel","28.0"
"Año 2008","Aragón","Zaragoza","201.0"
"Año 2008","Principado de Asturias","Asturias","364.0"
"Año 2008","Illes Balears","Illes Balears","292.0"
"Año 2008","Canarias","Las Palmas","565.0"
"Año 2008","Canarias","Santa Cruz de Tenerife","760.0"
"Año 2008","Cantabria","Cantabria","185.0"
"Año 2008","Castilla y León","Ávila","47.0"
"Año 2008","Castilla y León","Burgos","91.0"
"Año 2008","Castilla y León","León","236.0"
"Año 2008","Castilla y León","Palencia","79.0"
"Año 2008","Castilla y León","Salamanca","116.0"
"Año 2008","Castilla y León","Segovia","22.0"
"Año 2008","Castilla y León","Soria","16.0"
"Año 2008","Castilla y León","Valladolid","108.0"
"Año 2008","Castilla y León","Zamora","54.0"
"Año 2008","Castilla-La Mancha","Albacete","175.0"
"Año 2008","Castilla-La Mancha","Ciudad Real","253.0"
"Año 2008","Castilla-La Mancha","Cuenca","53.0"
"Año 2008","Castilla-La Mancha","Guadalajara","57.0"
"Año 2008","Castilla-La Mancha","Toledo","157.0"
"Año 2008","Cataluña","Barcelona","876.0"
"Año 2008","Cataluña","Girona","127.0"
"Año 2008","Cataluña","Lleida","87.0"
"Año 2008","Cataluña","Tarragona","232.0"
"Año 2008","Comunitat Valenciana","Alicante/Alacant","1106.0"
"Año 2008","Comunitat Valenciana","Castellón/Castelló","129.0"
"Año 2008","Comunitat Valenciana","Valencia/València","1046.0"
"Año 2008","Extremadura","Badajoz","415.0"
"Año 2008","Extremadura","Cáceres","171.0"
"Año 2008","Galicia","A Coruña","264.0"
"Año 2008","Galicia","Lugo","88.0"
"Año 2008","Galicia","Ourense","91.0"
"Año 2008","Galicia","Pontevedra","198.0"
"Año 2008","Comunidad de Madrid","Madrid","1186.0"
"Año 2008","Región de Murcia","Murcia","496.0"
"Año 2008","Comunidad Foral de Navarra","Navarra","110.0"
"Año 2008","País Vasco","Araba/Álava","24.0"
"Año 2008","País Vasco","Bizkaia","153.0"
"Año 2008","País Vasco","Gipuzkoa","100.0"
"Año 2008","La Rioja","La Rioja","56.0"
"Año 2008","Ceuta","Ceuta","40.0"
"Año 2008","Melilla","Melilla","52.0"
"Año 2009","Andalucía","Almería","535.0"
"Año 2009","Andalucía","Cádiz","1670.0"
"Año 2009","Andalucía","Córdoba","587.0"
"Año 2009","Andalucía","Granada","980.0"
"Año 2009","Andalucía","Huelva","396.0"
"Año 2009","Andalucía","Jaén","590.0"
"Año 2009","Andalucía","Málaga","1159.0"
"Año 2009","Andalucía","Sevilla","1304.0"
"Año 2009","Aragón","Huesca","35.0"
"Año 2009","Aragón","Teruel","34.0"
"Año 2009","Aragón","Zaragoza","313.0"
"Año 2009","Principado de Asturias","Asturias","449.0"
"Año 2009","Illes Balears","Illes Balears","369.0"
"Año 2009","Canarias","Las Palmas","753.0"
"Año 2009","Canarias","Santa Cruz de Tenerife","978.0"
"Año 2009","Cantabria","Cantabria","232.0"
"Año 2009","Castilla y León","Ávila","63.0"
"Año 2009","Castilla y León","Burgos","123.0"
"Año 2009","Castilla y León","León","248.0"
"Año 2009","Castilla y León","Palencia","87.0"
"Año 2009","Castilla y León","Salamanca","156.0"
"Año 2009","Castilla y León","Segovia","40.0"
"Año 2009","Castilla y León","Soria","32.0"
"Año 2009","Castilla y León","Valladolid","139.0"
"Año 2009","Castilla y León","Zamora","69.0"
"Año 2009","Castilla-La Mancha","Albacete","241.0"
"Año 2009","Castilla-La Mancha","Ciudad Real","305.0"
"Año 2009","Castilla-La Mancha","Cuenca","77.0"
"Año 2009","Castilla-La Mancha","Guadalajara","81.0"
"Año 2009","Castilla-La Mancha","Toledo","250.0"
"Año 2009","Cataluña","Barcelona","1140.0"
"Año 2009","Cataluña","Girona","165.0"
"Año 2009","Cataluña","Lleida","145.0"
"Año 2009","Cataluña","Tarragona","373.0"
"Año 2009","Comunitat Valenciana","Alicante/Alacant","1549.0"
"Año 2009","Comunitat Valenciana","Castellón/Castelló","246.0"
"Año 2009","Comunitat Valenciana","Valencia/València","1545.0"
"Año 2009","Extremadura","Badajoz","454.0"
"Año 2009","Extremadura","Cáceres","210.0"
"Año 2009","Galicia","A Coruña","317.0"
"Año 2009","Galicia","Lugo","100.0"
"Año 2009","Galicia","Ourense","128.0"
"Año 2009","Galicia","Pontevedra","249.0"
"Año 2009","Comunidad de Madrid","Madrid","1644.0"
"Año 2009","Región de Murcia","Murcia","795.0"
"Año 2009","Comunidad Foral de Navarra","Navarra","132.0"
"Año 2009","País Vasco","Araba/Álava","36.0"
"Año 2009","País Vasco","Bizkaia","184.0"
"Año 2009","País Vasco","Gipuzkoa","132.0"
"Año 2009","La Rioja","La Rioja","95.0"
"Año 2009","Ceuta","Ceuta","25.0"
"Año 2009","Melilla","Melilla","51.0"
"Año 2010","Andalucía","Almería","649.0"
"Año 2010","Andalucía","Cádiz","1684.0"
"Año 2010","Andalucía","Córdoba","642.0"
"Año 2010","Andalucía","Granada","1048.0"
"Año 2010","Andalucía","Huelva","448.0"
"Año 2010","Andalucía","Jaén","624.0"
"Año 2010","Andalucía","Málaga","1342.0"
"Año 2010","Andalucía","Sevilla","1413.0"
"Año 2010","Aragón","Huesca","52.0"
"Año 2010","Aragón","Teruel","51.0"
"Año 2010","Aragón","Zaragoza","378.0"
"Año 2010","Principado de Asturias","Asturias","484.0"
"Año 2010","Illes Balears","Illes Balears","511.0"
"Año 2010","Canarias","Las Palmas","895.0"
"Año 2010","Canarias","Santa Cruz de Tenerife","902.0"
"Año 2010","Cantabria","Cantabria","268.0"
"Año 2010","Castilla y León","Ávila","77.0"
"Año 2010","Castilla y León","Burgos","155.0"
"Año 2010","Castilla y León","León","247.0"
"Año 2010","Castilla y León","Palencia","94.0"
"Año 2010","Castilla y León","Salamanca","159.0"
"Año 2010","Castilla y León","Segovia","55.0"
"Año 2010","Castilla y León","Soria","36.0"
"Año 2010","Castilla y León","Valladolid","152.0"
"Año 2010","Castilla y León","Zamora","74.0"
"Año 2010","Castilla-La Mancha","Albacete","278.0"
"Año 2010","Castilla-La Mancha","Ciudad Real","383.0"
"Año 2010","Castilla-La Mancha","Cuenca","79.0"
"Año 2010","Castilla-La Mancha","Guadalajara","113.0"
"Año 2010","Castilla-La Mancha","Toledo","319.0"
"Año 2010","Cataluña","Barcelona","1392.0"
"Año 2010","Cataluña","Girona","202.0"
"Año 2010","Cataluña","Lleida","189.0"
"Año 2010","Cataluña","Tarragona","479.0"
"Año 2010","Comunitat Valenciana","Alicante/Alacant","1861.0"
"Año 2010","Comunitat Valenciana","Castellón/Castelló","381.0"
"Año 2010","Comunitat Valenciana","Valencia/València","1933.0"
"Año 2010","Extremadura","Badajoz","504.0"
"Año 2010","Extremadura","Cáceres","244.0"
"Año 2010","Galicia","A Coruña","349.0"
"Año 2010","Galicia","Lugo","119.0"
"Año 2010","Galicia","Ourense","157.0"
"Año 2010","Galicia","Pontevedra","296.0"
"Año 2010","Comunidad de Madrid","Madrid","1956.0"
"Año 2010","Región de Murcia","Murcia","1059.0"
"Año 2010","Comunidad Foral de Navarra","Navarra","162.0"
"Año 2010","País Vasco","Araba/Álava","46.0"
"Año 2010","País Vasco","Bizkaia","219.0"
"Año 2010","País Vasco","Gipuzkoa","146.0"
"Año 2010","La Rioja","La Rioja","136.0"
"Año 2010","Ceuta","Ceuta","26.0"
"Año 2010","Melilla","Melilla","44.0"
"Año 2011","Andalucía","Almería","759.0"
"Año 2011","Andalucía","Cádiz","1626.0"
"Año 2011","Andalucía","Córdoba","670.0"
"Año 2011","Andalucía","Granada","1062.0"
"Año 2011","Andalucía","Huelva","549.0"
"Año 2011","Andalucía","Jaén","705.0"
"Año 2011","Andalucía","Málaga","1607.0"
"Año 2011","Andalucía","Sevilla","1548.0"
"Año 2011","Aragón","Huesca","84.0"
"Año 2011","Aragón","Teruel","62.0"
"Año 2011","Aragón","Zaragoza","443.0"
"Año 2011","Principado de Asturias","Asturias","639.0"
"Año 2011","Illes Balears","Illes Balears","579.0"
"Año 2011","Canarias","Las Palmas","931.0"
"Año 2011","Canarias","Santa Cruz de Tenerife","909.0"
"Año 2011","Cantabria","Cantabria","270.0"
"Año 2011","Castilla y León","Ávila","88.0"
"Año 2011","Castilla y León","Burgos","197.0"
"Año 2011","Castilla y León","León","231.0"
"Año 2011","Castilla y León","Palencia","93.0"
"Año 2011","Castilla y León","Salamanca","157.0"
"Año 2011","Castilla y León","Segovia","52.0"
"Año 2011","Castilla y León","Soria","42.0"
"Año 2011","Castilla y León","Valladolid","167.0"
"Año 2011","Castilla y León","Zamora","74.0"
"Año 2011","Castilla-La Mancha","Albacete","334.0"
"Año 2011","Castilla-La Mancha","Ciudad Real","481.0"
"Año 2011","Castilla-La Mancha","Cuenca","95.0"
"Año 2011","Castilla-La Mancha","Guadalajara","164.0"
"Año 2011","Castilla-La Mancha","Toledo","426.0"
"Año 2011","Cataluña","Barcelona","1747.0"
"Año 2011","Cataluña","Girona","212.0"
"Año 2011","Cataluña","Lleida","203.0"
"Año 2011","Cataluña","Tarragona","615.0"
"Año 2011","Comunitat Valenciana","Alicante/Alacant","2141.0"
"Año 2011","Comunitat Valenciana","Castellón/Castelló","494.0"
"Año 2011","Comunitat Valenciana","Valencia/València","2379.0"
"Año 2011","Extremadura","Badajoz","583.0"
"Año 2011","Extremadura","Cáceres","284.0"
"Año 2011","Galicia","A Coruña","386.0"
"Año 2011","Galicia","Lugo","120.0"
"Año 2011","Galicia","Ourense","158.0"
"Año 2011","Galicia","Pontevedra","352.0"
