"Año","Comunidad autónoma","Provincia","Número de perceptoras"
"Año 2016","Cataluña","Girona","384.0"
"Año 2016","Cataluña","Lleida","333.0"
"Año 2016","Cataluña","Tarragona","520.0"
"Año 2016","Comunitat Valenciana","Alicante/Alacant","2089.0"
"Año 2016","Comunitat Valenciana","Castellón/Castelló","487.0"
"Año 2016","Comunitat Valenciana","Valencia/València","2512.0"
"Año 2016","Extremadura","Badajoz","527.0"
"Año 2016","Extremadura","Cáceres","376.0"
"Año 2016","Galicia","A Coruña","536.0"
"Año 2016","Galicia","Lugo","155.0"
"Año 2016","Galicia","Ourense","187.0"
"Año 2016","Galicia","Pontevedra","453.0"
"Año 2016","Comunidad de Madrid","Madrid","2525.0"
"Año 2016","Región de Murcia","Murcia","1594.0"
"Año 2016","Comunidad Foral de Navarra","Navarra","266.0"
"Año 2016","País Vasco","Araba/Álava","92.0"
"Año 2016","País Vasco","Bizkaia","386.0"
"Año 2016","País Vasco","Gipuzkoa","205.0"
"Año 2016","La Rioja","La Rioja","183.0"
"Año 2016","Ceuta","Ceuta","90.0"
"Año 2016","Melilla","Melilla","81.0"
"Año 2017","Andalucía","Almería","776.0"
"Año 2017","Andalucía","Cádiz","1469.0"
"Año 2017","Andalucía","Córdoba","583.0"
"Año 2017","Andalucía","Granada","1125.0"
"Año 2017","Andalucía","Huelva","562.0"
"Año 2017","Andalucía","Jaén","783.0"
"Año 2017","Andalucía","Málaga","1349.0"
"Año 2017","Andalucía","Sevilla","1712.0"
"Año 2017","Aragón","Huesca","79.0"
"Año 2017","Aragón","Teruel","81.0"
"Año 2017","Aragón","Zaragoza","549.0"
"Año 2017","Principado de Asturias","Asturias","711.0"
"Año 2017","Illes Balears","Illes Balears","579.0"
"Año 2017","Canarias","Las Palmas","1013.0"
"Año 2017","Canarias","Santa Cruz de Tenerife","1154.0"
"Año 2017","Cantabria","Cantabria","282.0"
"Año 2017","Castilla y León","Ávila","91.0"
"Año 2017","Castilla y León","Burgos","184.0"
"Año 2017","Castilla y León","León","251.0"
"Año 2017","Castilla y León","Palencia","90.0"
"Año 2017","Castilla y León","Salamanca","127.0"
"Año 2017","Castilla y León","Segovia","55.0"
"Año 2017","Castilla y León","Soria","32.0"
"Año 2017","Castilla y León","Valladolid","249.0"
"Año 2017","Castilla y León","Zamora","93.0"
"Año 2017","Castilla-La Mancha","Albacete","298.0"
"Año 2017","Castilla-La Mancha","Ciudad Real","484.0"
"Año 2017","Castilla-La Mancha","Cuenca","100.0"
"Año 2017","Castilla-La Mancha","Guadalajara","146.0"
"Año 2017","Castilla-La Mancha","Toledo","528.0"
"Año 2017","Cataluña","Barcelona","2684.0"
"Año 2017","Cataluña","Girona","340.0"
"Año 2017","Cataluña","Lleida","308.0"
"Año 2017","Cataluña","Tarragona","464.0"
"Año 2017","Comunitat Valenciana","Alicante/Alacant","1934.0"
"Año 2017","Comunitat Valenciana","Castellón/Castelló","411.0"
"Año 2017","Comunitat Valenciana","Valencia/València","2430.0"
"Año 2017","Extremadura","Badajoz","475.0"
"Año 2017","Extremadura","Cáceres","357.0"
"Año 2017","Galicia","A Coruña","498.0"
"Año 2017","Galicia","Lugo","145.0"
"Año 2017","Galicia","Ourense","161.0"
"Año 2017","Galicia","Pontevedra","409.0"
"Año 2017","Comunidad de Madrid","Madrid","2517.0"
"Año 2017","Región de Murcia","Murcia","1483.0"
"Año 2017","Comunidad Foral de Navarra","Navarra","281.0"
"Año 2017","País Vasco","Araba/Álava","91.0"
"Año 2017","País Vasco","Bizkaia","352.0"
"Año 2017","País Vasco","Gipuzkoa","183.0"
"Año 2017","La Rioja","La Rioja","164.0"
"Año 2017","Ceuta","Ceuta","86.0"
"Año 2017","Melilla","Melilla","90.0"
"Año 2018","Andalucía","Almería","726.0"
"Año 2018","Andalucía","Cádiz","1375.0"
"Año 2018","Andalucía","Córdoba","520.0"
"Año 2018","Andalucía","Granada","1035.0"
"Año 2018","Andalucía","Huelva","535.0"
"Año 2018","Andalucía","Jaén","693.0"
"Año 2018","Andalucía","Málaga","1203.0"
"Año 2018","Andalucía","Sevilla","1567.0"
"Año 2018","Aragón","Huesca","81.0"
"Año 2018","Aragón","Teruel","87.0"
"Año 2018","Aragón","Zaragoza","522.0"
"Año 2018","Principado de Asturias","Asturias","694.0"
"Año 2018","Illes Balears","Illes Balears","552.0"
"Año 2018","Canarias","Las Palmas","995.0"
"Año 2018","Canarias","Santa Cruz de Tenerife","1113.0"
"Año 2018","Cantabria","Cantabria","309.0"
"Año 2018","Castilla y León","Ávila","77.0"
"Año 2018","Castilla y León","Burgos","186.0"
"Año 2018","Castilla y León","León","249.0"
"Año 2018","Castilla y León","Palencia","79.0"
"Año 2018","Castilla y León","Salamanca","130.0"
"Año 2018","Castilla y León","Segovia","61.0"
"Año 2018","Castilla y León","Soria","23.0"
"Año 2018","Castilla y León","Valladolid","205.0"
"Año 2018","Castilla y León","Zamora","82.0"
"Año 2018","Castilla-La Mancha","Albacete","270.0"
"Año 2018","Castilla-La Mancha","Ciudad Real","413.0"
"Año 2018","Castilla-La Mancha","Cuenca","106.0"
"Año 2018","Castilla-La Mancha","Guadalajara","151.0"
"Año 2018","Castilla-La Mancha","Toledo","477.0"
"Año 2018","Cataluña","Barcelona","2472.0"
"Año 2018","Cataluña","Girona","319.0"
"Año 2018","Cataluña","Lleida","308.0"
"Año 2018","Cataluña","Tarragona","451.0"
"Año 2018","Comunitat Valenciana","Alicante/Alacant","1798.0"
"Año 2018","Comunitat Valenciana","Castellón/Castelló","416.0"
"Año 2018","Comunitat Valenciana","Valencia/València","2401.0"
"Año 2018","Extremadura","Badajoz","456.0"
"Año 2018","Extremadura","Cáceres","332.0"
"Año 2018","Galicia","A Coruña","487.0"
"Año 2018","Galicia","Lugo","136.0"
"Año 2018","Galicia","Ourense","138.0"
"Año 2018","Galicia","Pontevedra","348.0"
"Año 2018","Comunidad de Madrid","Madrid","2618.0"
"Año 2018","Región de Murcia","Murcia","1427.0"
"Año 2018","Comunidad Foral de Navarra","Navarra","269.0"
"Año 2018","País Vasco","Araba/Álava","85.0"
"Año 2018","País Vasco","Bizkaia","348.0"
"Año 2018","País Vasco","Gipuzkoa","188.0"
"Año 2018","La Rioja","La Rioja","136.0"
"Año 2018","Ceuta","Ceuta","71.0"
"Año 2018","Melilla","Melilla","82.0"
"Año 2019","Andalucía","Almería","776.0"
"Año 2019","Andalucía","Cádiz","1342.0"
"Año 2019","Andalucía","Córdoba","553.0"
"Año 2019","Andalucía","Granada","996.0"
"Año 2019","Andalucía","Huelva","475.0"
"Año 2019","Andalucía","Jaén","638.0"
"Año 2019","Andalucía","Málaga","1111.0"
"Año 2019","Andalucía","Sevilla","1428.0"
"Año 2019","Aragón","Huesca","100.0"
"Año 2019","Aragón","Teruel","65.0"
"Año 2019","Aragón","Zaragoza","527.0"
"Año 2019","Principado de Asturias","Asturias","730.0"
"Año 2019","Illes Balears","Illes Balears","571.0"
"Año 2019","Canarias","Las Palmas","1004.0"
"Año 2019","Canarias","Santa Cruz de Tenerife","1094.0"
"Año 2019","Cantabria","Cantabria","312.0"
"Año 2019","Castilla y León","Ávila","88.0"
"Año 2019","Castilla y León","Burgos","172.0"
"Año 2019","Castilla y León","León","249.0"
"Año 2019","Castilla y León","Palencia","74.0"
"Año 2019","Castilla y León","Salamanca","123.0"
"Año 2019","Castilla y León","Segovia","52.0"
"Año 2019","Castilla y León","Soria","27.0"
"Año 2019","Castilla y León","Valladolid","206.0"
"Año 2019","Castilla y León","Zamora","77.0"
"Año 2019","Castilla-La Mancha","Albacete","273.0"
"Año 2019","Castilla-La Mancha","Ciudad Real","379.0"
"Año 2019","Castilla-La Mancha","Cuenca","113.0"
"Año 2019","Castilla-La Mancha","Guadalajara","153.0"
"Año 2019","Castilla-La Mancha","Toledo","453.0"
"Año 2019","Cataluña","Barcelona","2336.0"
"Año 2019","Cataluña","Girona","319.0"
"Año 2019","Cataluña","Lleida","314.0"
"Año 2019","Cataluña","Tarragona","437.0"
"Año 2019","Comunitat Valenciana","Alicante/Alacant","1823.0"
"Año 2019","Comunitat Valenciana","Castellón/Castelló","446.0"
"Año 2019","Comunitat Valenciana","Valencia/València","2376.0"
"Año 2019","Extremadura","Badajoz","442.0"
"Año 2019","Extremadura","Cáceres","302.0"
"Año 2019","Galicia","A Coruña","507.0"
"Año 2019","Galicia","Lugo","129.0"
"Año 2019","Galicia","Ourense","111.0"
"Año 2019","Galicia","Pontevedra","300.0"
"Año 2019","Comunidad de Madrid","Madrid","2758.0"
"Año 2019","Región de Murcia","Murcia","1367.0"
"Año 2019","Comunidad Foral de Navarra","Navarra","287.0"
"Año 2019","País Vasco","Araba/Álava","83.0"
"Año 2019","País Vasco","Bizkaia","402.0"
"Año 2019","País Vasco","Gipuzkoa","206.0"
"Año 2019","La Rioja","La Rioja","145.0"
"Año 2019","Ceuta","Ceuta","75.0"
"Año 2019","Melilla","Melilla","70.0"
"Año 2020","Andalucía","Almería","785.0"
"Año 2020","Andalucía","Cádiz","1369.0"
"Año 2020","Andalucía","Córdoba","575.0"
"Año 2020","Andalucía","Granada","982.0"
"Año 2020","Andalucía","Huelva","482.0"
"Año 2020","Andalucía","Jaén","623.0"
"Año 2020","Andalucía","Málaga","997.0"
"Año 2020","Andalucía","Sevilla","1214.0"
"Año 2020","Aragón","Huesca","98.0"
"Año 2020","Aragón","Teruel","72.0"
"Año 2020","Aragón","Zaragoza","475.0"
"Año 2020","Principado de Asturias","Asturias","740.0"
"Año 2020","Illes Balears","Illes Balears","639.0"
"Año 2020","Canarias","Las Palmas","994.0"
"Año 2020","Canarias","Santa Cruz de Tenerife","1033.0"
"Año 2020","Cantabria","Cantabria","335.0"
"Año 2020","Castilla y León","Ávila","81.0"
"Año 2020","Castilla y León","Burgos","167.0"
"Año 2020","Castilla y León","León","227.0"
"Año 2020","Castilla y León","Palencia","83.0"
"Año 2020","Castilla y León","Salamanca","114.0"
"Año 2020","Castilla y León","Segovia","45.0"
"Año 2020","Castilla y León","Soria","35.0"
"Año 2020","Castilla y León","Valladolid","196.0"
"Año 2020","Castilla y León","Zamora","93.0"
"Año 2020","Castilla-La Mancha","Albacete","300.0"
"Año 2020","Castilla-La Mancha","Ciudad Real","383.0"
"Año 2020","Castilla-La Mancha","Cuenca","125.0"
"Año 2020","Castilla-La Mancha","Guadalajara","160.0"
"Año 2020","Castilla-La Mancha","Toledo","458.0"
"Año 2020","Cataluña","Barcelona","2020.0"
"Año 2020","Cataluña","Girona","348.0"
"Año 2020","Cataluña","Lleida","282.0"
"Año 2020","Cataluña","Tarragona","418.0"
"Año 2020","Comunitat Valenciana","Alicante/Alacant","1755.0"
"Año 2020","Comunitat Valenciana","Castellón/Castelló","451.0"
"Año 2020","Comunitat Valenciana","Valencia/València","2255.0"
"Año 2020","Extremadura","Badajoz","464.0"
"Año 2020","Extremadura","Cáceres","309.0"
"Año 2020","Galicia","A Coruña","477.0"
"Año 2020","Galicia","Lugo","128.0"
"Año 2020","Galicia","Ourense","94.0"
"Año 2020","Galicia","Pontevedra","276.0"
"Año 2020","Comunidad de Madrid","Madrid","2646.0"
"Año 2020","Región de Murcia","Murcia","1328.0"
"Año 2020","Comunidad Foral de Navarra","Navarra","281.0"
"Año 2020","País Vasco","Araba/Álava","113.0"
"Año 2020","País Vasco","Bizkaia","420.0"
"Año 2020","País Vasco","Gipuzkoa","230.0"
"Año 2020","La Rioja","La Rioja","128.0"
"Año 2020","Ceuta","Ceuta","56.0"
"Año 2020","Melilla","Melilla","76.0"
"Año 2021","Andalucía","Almería","769.0"
"Año 2021","Andalucía","Cádiz","1431.0"
"Año 2021","Andalucía","Córdoba","645.0"
"Año 2021","Andalucía","Granada","1029.0"
"Año 2021","Andalucía","Huelva","498.0"
"Año 2021","Andalucía","Jaén","624.0"
"Año 2021","Andalucía","Málaga","990.0"
"Año 2021","Andalucía","Sevilla","1165.0"
"Año 2021","Aragón","Huesca","99.0"
"Año 2021","Aragón","Teruel","64.0"
"Año 2021","Aragón","Zaragoza","506.0"
"Año 2021","Principado de Asturias","Asturias","723.0"
"Año 2021","Illes Balears","Illes Balears","796.0"
"Año 2021","Canarias","Las Palmas","1082.0"
"Año 2021","Canarias","Santa Cruz de Tenerife","1086.0"
"Año 2021","Cantabria","Cantabria","345.0"
"Año 2021","Castilla y León","Ávila","94.0"
"Año 2021","Castilla y León","Burgos","187.0"
"Año 2021","Castilla y León","León","214.0"
"Año 2021","Castilla y León","Palencia","67.0"
"Año 2021","Castilla y León","Salamanca","106.0"
"Año 2021","Castilla y León","Segovia","58.0"
"Año 2021","Castilla y León","Soria","40.0"
"Año 2021","Castilla y León","Valladolid","220.0"
"Año 2021","Castilla y León","Zamora","98.0"
"Año 2021","Castilla-La Mancha","Albacete","312.0"
"Año 2021","Castilla-La Mancha","Ciudad Real","379.0"
"Año 2021","Castilla-La Mancha","Cuenca","109.0"
"Año 2021","Castilla-La Mancha","Guadalajara","150.0"
"Año 2021","Castilla-La Mancha","Toledo","422.0"
"Año 2021","Cataluña","Barcelona","2157.0"
"Año 2021","Cataluña","Girona","371.0"
"Año 2021","Cataluña","Lleida","302.0"
"Año 2021","Cataluña","Tarragona","455.0"
"Año 2021","Comunitat Valenciana","Alicante/Alacant","1963.0"
"Año 2021","Comunitat Valenciana","Castellón/Castelló","485.0"
"Año 2021","Comunitat Valenciana","Valencia/València","2380.0"
"Año 2021","Extremadura","Badajoz","495.0"
"Año 2021","Extremadura","Cáceres","317.0"
"Año 2021","Galicia","A Coruña","462.0"
"Año 2021","Galicia","Lugo","131.0"
"Año 2021","Galicia","Ourense","96.0"
"Año 2021","Galicia","Pontevedra","278.0"
"Año 2021","Comunidad de Madrid","Madrid","2789.0"
"Año 2021","Región de Murcia","Murcia","1478.0"
"Año 2021","Comunidad Foral de Navarra","Navarra","284.0"
"Año 2021","País Vasco","Araba/Álava","117.0"
"Año 2021","País Vasco","Bizkaia","458.0"
"Año 2021","País Vasco","Gipuzkoa","260.0"
"Año 2021","La Rioja","La Rioja","136.0"
"Año 2021","Ceuta","Ceuta","51.0"
"Año 2021","Melilla","Melilla","72.0"
"Año 2022","Andalucía","Almería","749.0"
"Año 2022","Andalucía","Cádiz","1423.0"
"Año 2022","Andalucía","Córdoba","670.0"
"Año 2022","Andalucía","Granada","1069.0"
"Año 2022","Andalucía","Huelva","437.0"
"Año 2022","Andalucía","Jaén","647.0"
"Año 2022","Andalucía","Málaga","1005.0"
"Año 2022","Andalucía","Sevilla","1137.0"
"Año 2022","Aragón","Huesca","106.0"
"Año 2022","Aragón","Teruel","64.0"
"Año 2022","Aragón","Zaragoza","514.0"
"Año 2022","Principado de Asturias","Asturias","736.0"
"Año 2022","Illes Balears","Illes Balears","689.0"
"Año 2022","Canarias","Las Palmas","1155.0"
"Año 2022","Canarias","Santa Cruz de Tenerife","1025.0"
"Año 2022","Cantabria","Cantabria","343.0"
"Año 2022","Castilla y León","Ávila","103.0"
"Año 2022","Castilla y León","Burgos","197.0"
"Año 2022","Castilla y León","León","195.0"
"Año 2022","Castilla y León","Palencia","72.0"
"Año 2022","Castilla y León","Salamanca","96.0"
"Año 2022","Castilla y León","Segovia","61.0"
"Año 2022","Castilla y León","Soria","31.0"
"Año 2022","Castilla y León","Valladolid","218.0"
"Año 2022","Castilla y León","Zamora","81.0"
"Año 2022","Castilla-La Mancha","Albacete","308.0"
"Año 2022","Castilla-La Mancha","Ciudad Real","399.0"
"Año 2022","Castilla-La Mancha","Cuenca","105.0"
"Año 2022","Castilla-La Mancha","Guadalajara","131.0"
"Año 2022","Castilla-La Mancha","Toledo","457.0"
"Año 2022","Cataluña","Barcelona","2469.0"
"Año 2022","Cataluña","Girona","389.0"
"Año 2022","Cataluña","Lleida","334.0"
"Año 2022","Cataluña","Tarragona","508.0"
"Año 2022","Comunitat Valenciana","Alicante/Alacant","2066.0"
"Año 2022","Comunitat Valenciana","Castellón/Castelló","470.0"
"Año 2022","Comunitat Valenciana","Valencia/València","2312.0"
"Año 2022","Extremadura","Badajoz","487.0"
"Año 2022","Extremadura","Cáceres","317.0"
"Año 2022","Galicia","A Coruña","447.0"
"Año 2022","Galicia","Lugo","111.0"
"Año 2022","Galicia","Ourense","113.0"
"Año 2022","Galicia","Pontevedra","267.0"
"Año 2022","Comunidad de Madrid","Madrid","2670.0"
"Año 2022","Región de Murcia","Murcia","1530.0"
"Año 2022","Comunidad Foral de Navarra","Navarra","345.0"
"Año 2022","País Vasco","Araba/Álava","127.0"
"Año 2022","País Vasco","Bizkaia","488.0"
"Año 2022","País Vasco","Gipuzkoa","273.0"
"Año 2022","La Rioja","La Rioja","159.0"
"Año 2022","Ceuta","Ceuta","60.0"
"Año 2022","Melilla","Melilla","76.0"
"Año 2023","Andalucía","Almería","779.0"
"Año 2023","Andalucía","Cádiz","1472.0"
"Año 2023","Andalucía","Córdoba","738.0"
"Año 2023","Andalucía","Granada","1082.0"
"Año 2023","Andalucía","Huelva","446.0"
"Año 2023","Andalucía","Jaén","625.0"
"Año 2023","Andalucía","Málaga","1034.0"
"Año 2023","Andalucía","Sevilla","1105.0"
"Año 2023","Aragón","Huesca","112.0"
"Año 2023","Aragón","Teruel","63.0"
"Año 2023","Aragón","Zaragoza","553.0"
"Año 2023","Principado de Asturias","Asturias","725.0"
"Año 2023","Illes Balears","Illes Balears","583.0"
"Año 2023","Canarias","Las Palmas","1121.0"
"Año 2023","Canarias","Santa Cruz de Tenerife","894.0"
"Año 2023","Cantabria","Cantabria","381.0"
"Año 2023","Castilla y León","Ávila","87.0"
"Año 2023","Castilla y León","Burgos","193.0"
"Año 2023","Castilla y León","León","198.0"
"Año 2023","Castilla y León","Palencia","81.0"
"Año 2023","Castilla y León","Salamanca","99.0"
"Año 2023","Castilla y León","Segovia","65.0"
"Año 2023","Castilla y León","Soria","41.0"
"Año 2023","Castilla y León","Valladolid","220.0"
"Año 2023","Castilla y León","Zamora","71.0"
"Año 2023","Castilla-La Mancha","Albacete","324.0"
"Año 2023","Castilla-La Mancha","Ciudad Real","403.0"
"Año 2023","Castilla-La Mancha","Cuenca","116.0"
"Año 2023","Castilla-La Mancha","Guadalajara","138.0"
"Año 2023","Castilla-La Mancha","Toledo","509.0"
"Año 2023","Cataluña","Barcelona","2668.0"
"Año 2023","Cataluña","Girona","382.0"
"Año 2023","Cataluña","Lleida","380.0"
"Año 2023","Cataluña","Tarragona","631.0"
"Año 2023","Comunitat Valenciana","Alicante/Alacant","1915.0"
"Año 2023","Comunitat Valenciana","Castellón/Castelló","498.0"
"Año 2023","Comunitat Valenciana","Valencia/València","2349.0"
"Año 2023","Extremadura","Badajoz","496.0"
"Año 2023","Extremadura","Cáceres","322.0"
"Año 2023","Galicia","A Coruña","420.0"
"Año 2023","Galicia","Lugo","94.0"
"Año 2023","Galicia","Ourense","107.0"
"Año 2023","Galicia","Pontevedra","241.0"
"Año 2023","Comunidad de Madrid","Madrid","2698.0"
"Año 2023","Región de Murcia","Murcia","1547.0"
"Año 2023","Comunidad Foral de Navarra","Navarra","308.0"
"Año 2023","País Vasco","Araba/Álava","135.0"
"Año 2023","País Vasco","Bizkaia","508.0"
"Año 2023","País Vasco","Gipuzkoa","267.0"
"Año 2023","La Rioja","La Rioja","187.0"
"Año 2023","Ceuta","Ceuta","91.0"
"Año 2023","Melilla","Melilla","101.0"
"Año 2024","Andalucía","Almería","164.0"
"Año 2024","Andalucía","Cádiz","276.0"
"Año 2024","Andalucía","Córdoba","161.0"
"Año 2024","Andalucía","Granada","214.0"
"Año 2024","Andalucía","Huelva","116.0"
"Año 2024","Andalucía","Jaén","122.0"
"Año 2024","Andalucía","Málaga","253.0"
"Año 2024","Andalucía","Sevilla","231.0"
"Año 2024","Aragón","Huesca","25.0"
"Año 2024","Aragón","Teruel","19.0"
"Año 2024","Aragón","Zaragoza","106.0"
"Año 2024","Principado de Asturias","Asturias","150.0"
"Año 2024","Illes Balears","Illes Balears","178.0"
"Año 2024","Canarias","Las Palmas","215.0"
"Año 2024","Canarias","Santa Cruz de Tenerife","195.0"
"Año 2024","Cantabria","Cantabria","82.0"
"Año 2024","Castilla y León","Ávila","16.0"
"Año 2024","Castilla y León","Burgos","48.0"
"Año 2024","Castilla y León","León","54.0"
"Año 2024","Castilla y León","Palencia","20.0"
"Año 2024","Castilla y León","Salamanca","18.0"
"Año 2024","Castilla y León","Segovia","19.0"
"Año 2024","Castilla y León","Soria","9.0"
"Año 2024","Castilla y León","Valladolid","37.0"
"Año 2024","Castilla y León","Zamora","8.0"
"Año 2024","Castilla-La Mancha","Albacete","90.0"
"Año 2024","Castilla-La Mancha","Ciudad Real","108.0"
"Año 2024","Castilla-La Mancha","Cuenca","25.0"
"Año 2024","Castilla-La Mancha","Guadalajara","41.0"
"Año 2024","Castilla-La Mancha","Toledo","156.0"
"Año 2024","Cataluña","Barcelona","578.0"
"Año 2024","Cataluña","Girona","86.0"
"Año 2024","Cataluña","Lleida","96.0"
"Año 2024","Cataluña","Tarragona","155.0"
"Año 2024","Comunitat Valenciana","Alicante/Alacant","403.0"
"Año 2024","Comunitat Valenciana","Castellón/Castelló","135.0"
"Año 2024","Comunitat Valenciana","Valencia/València","491.0"
"Año 2024","Extremadura","Badajoz","107.0"
"Año 2024","Extremadura","Cáceres","71.0"
"Año 2024","Galicia","A Coruña","87.0"
"Año 2024","Galicia","Lugo","21.0"
"Año 2024","Galicia","Ourense","29.0"
"Año 2024","Galicia","Pontevedra","54.0"
"Año 2024","Comunidad de Madrid","Madrid","591.0"
"Año 2024","Región de Murcia","Murcia","352.0"
"Año 2024","Comunidad Foral de Navarra","Navarra","79.0"
"Año 2024","País Vasco","Araba/Álava","23.0"
"Año 2024","País Vasco","Bizkaia","103.0"
"Año 2024","País Vasco","Gipuzkoa","61.0"
"Año 2024","La Rioja","La Rioja","45.0"
"Año 2024","Ceuta","Ceuta","6.0"
"Año 2024","Melilla","Melilla","31.0"
