"Año","Mes","Comunidad autónoma","Provincia","Número de mujeres víctimas mortales","Número de hijos e hijas menores huérfanos"
"Año 2019","Junio","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2019","Julio","Andalucía","Almería","1.0","4.0"
"Año 2019","Julio","Andalucía","Córdoba","1.0","2.0"
"Año 2019","Julio","Andalucía","Málaga","1.0","0.0"
"Año 2019","Julio","Cantabria","Cantabria","1.0","0.0"
"Año 2019","Julio","Castilla y León","Burgos","2.0","2.0"
"Año 2019","Julio","Cataluña","Barcelona","1.0","2.0"
"Año 2019","Julio","Comunitat Valenciana","Alicante/Alacant","2.0","1.0"
"Año 2019","Julio","Galicia","Lugo","1.0","0.0"
"Año 2019","Agosto","Andalucía","Jaén","1.0","0.0"
"Año 2019","Agosto","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2019","Agosto","Cataluña","Barcelona","1.0","1.0"
"Año 2019","Agosto","Comunidad de Madrid","Madrid","1.0","1.0"
"Año 2019","Septiembre","Illes Balears","Illes Balears","1.0","0.0"
"Año 2019","Septiembre","Canarias","Las Palmas","1.0","0.0"
"Año 2019","Septiembre","Galicia","Pontevedra","1.0","2.0"
"Año 2019","Septiembre","Comunidad de Madrid","Madrid","1.0","2.0"
"Año 2019","Octubre","Andalucía","Granada","1.0","1.0"
"Año 2019","Octubre","Cataluña","Barcelona","2.0","3.0"
"Año 2019","Octubre","Comunitat Valenciana","Alicante/Alacant","1.0","1.0"
"Año 2019","Noviembre","Andalucía","Córdoba","1.0","0.0"
"Año 2019","Noviembre","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2019","Diciembre","Cataluña","Barcelona","1.0","3.0"
"Año 2020","Enero","Andalucía","Granada","1.0","0.0"
"Año 2020","Enero","Castilla-La Mancha","Ciudad Real","1.0","0.0"
"Año 2020","Enero","Castilla-La Mancha","Toledo","1.0","2.0"
"Año 2020","Enero","Cataluña","Barcelona","3.0","1.0"
"Año 2020","Enero","Galicia","Lugo","1.0","0.0"
"Año 2020","Enero","Galicia","Ourense","1.0","0.0"
"Año 2020","Febrero","Andalucía","Granada","1.0","1.0"
"Año 2020","Febrero","Andalucía","Sevilla","2.0","2.0"
"Año 2020","Febrero","Principado de Asturias","Asturias","1.0","0.0"
"Año 2020","Febrero","Comunitat Valenciana","Alicante/Alacant","1.0","1.0"
"Año 2020","Febrero","Galicia","Lugo","1.0","1.0"
"Año 2020","Febrero","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2020","Marzo","Andalucía","Córdoba","1.0","0.0"
"Año 2020","Marzo","Comunitat Valenciana","Castellón/Castelló","1.0","2.0"
"Año 2020","Marzo","Comunitat Valenciana","Valencia/València","1.0","1.0"
"Año 2020","Marzo","País Vasco","Bizkaia","1.0","0.0"
"Año 2020","Abril","Canarias","Las Palmas","1.0","0.0"
"Año 2020","Mayo","Cataluña","Barcelona","1.0","0.0"
"Año 2020","Mayo","Cataluña","Girona","1.0","0.0"
"Año 2020","Junio","Andalucía","Jaén","1.0","0.0"
"Año 2020","Junio","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2020","Julio","Illes Balears","Illes Balears","1.0","0.0"
"Año 2020","Julio","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2020","Julio","Cataluña","Barcelona","1.0","1.0"
"Año 2020","Julio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2020","Agosto","Andalucía","Cádiz","1.0","0.0"
"Año 2020","Agosto","Cantabria","Cantabria","1.0","2.0"
"Año 2020","Agosto","Castilla y León","Segovia","1.0","1.0"
"Año 2020","Agosto","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2020","Agosto","Cataluña","Barcelona","1.0","2.0"
"Año 2020","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2020","Agosto","Región de Murcia","Murcia","2.0","2.0"
"Año 2020","Septiembre","Andalucía","Cádiz","2.0","0.0"
"Año 2020","Septiembre","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2020","Septiembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2020","Octubre","Illes Balears","Illes Balears","1.0","0.0"
"Año 2020","Octubre","La Rioja","La Rioja","1.0","0.0"
"Año 2020","Noviembre","Andalucía","Sevilla","1.0","0.0"
"Año 2020","Noviembre","Illes Balears","Illes Balears","1.0","4.0"
"Año 2020","Noviembre","Cataluña","Girona","1.0","0.0"
"Año 2020","Noviembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2020","Diciembre","Canarias","Las Palmas","1.0","0.0"
"Año 2020","Diciembre","Castilla-La Mancha","Ciudad Real","1.0","1.0"
"Año 2020","Diciembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2020","Diciembre","Galicia","Pontevedra","1.0","0.0"
"Año 2020","Diciembre","Comunidad de Madrid","Madrid","1.0","2.0"
"Año 2021","Enero","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2021","Febrero","Castilla y León","Valladolid","1.0","1.0"
"Año 2021","Febrero","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2021","Febrero","País Vasco","Bizkaia","1.0","0.0"
"Año 2021","Marzo","Comunidad de Madrid","Madrid","2.0","1.0"
"Año 2021","Abril","Castilla y León","León","1.0","0.0"
"Año 2021","Abril","Cataluña","Barcelona","1.0","2.0"
"Año 2021","Abril","Cataluña","Tarragona","1.0","0.0"
"Año 2021","Abril","Comunitat Valenciana","Castellón/Castelló","1.0","0.0"
"Año 2021","Mayo","Aragón","Zaragoza","1.0","1.0"
"Año 2021","Mayo","Principado de Asturias","Asturias","1.0","0.0"
"Año 2021","Mayo","Illes Balears","Illes Balears","1.0","0.0"
"Año 2021","Mayo","Castilla-La Mancha","Guadalajara","1.0","0.0"
"Año 2021","Mayo","Cataluña","Barcelona","1.0","2.0"
"Año 2021","Mayo","Cataluña","Tarragona","1.0","0.0"
"Año 2021","Mayo","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2021","Junio","Andalucía","Almería","1.0","0.0"
"Año 2021","Junio","Andalucía","Jaén","1.0","0.0"
"Año 2021","Junio","Andalucía","Sevilla","1.0","1.0"
"Año 2021","Junio","Aragón","Huesca","1.0","3.0"
"Año 2021","Junio","Illes Balears","Illes Balears","1.0","0.0"
"Año 2021","Junio","Castilla y León","Salamanca","1.0","2.0"
"Año 2021","Junio","Castilla y León","Valladolid","1.0","1.0"
"Año 2021","Junio","Cataluña","Girona","1.0","0.0"
"Año 2021","Junio","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2021","Julio","Andalucía","Málaga","1.0","0.0"
"Año 2021","Julio","Cataluña","Barcelona","2.0","1.0"
"Año 2021","Julio","Cataluña","Tarragona","1.0","0.0"
"Año 2021","Julio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2021","Julio","Comunidad Foral de Navarra","Navarra","1.0","2.0"
"Año 2021","Agosto","Andalucía","Málaga","1.0","0.0"
"Año 2021","Agosto","Andalucía","Sevilla","1.0","0.0"
"Año 2021","Agosto","Cataluña","Barcelona","1.0","0.0"
"Año 2021","Septiembre","Comunitat Valenciana","Alicante/Alacant","1.0","3.0"
"Año 2021","Septiembre","Galicia","A Coruña","1.0","0.0"
"Año 2021","Octubre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2021","Octubre","País Vasco","Araba/Álava","1.0","2.0"
"Año 2021","Noviembre","Andalucía","Cádiz","1.0","3.0"
"Año 2021","Diciembre","Andalucía","Cádiz","1.0","0.0"
"Año 2021","Diciembre","Andalucía","Granada","1.0","2.0"
"Año 2021","Diciembre","Cantabria","Cantabria","1.0","1.0"
"Año 2021","Diciembre","Cataluña","Barcelona","1.0","1.0"
"Año 2021","Diciembre","Cataluña","Girona","1.0","0.0"
"Año 2021","Diciembre","Comunitat Valenciana","Alicante/Alacant","2.0","3.0"
"Año 2021","Diciembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2022","Enero","Andalucía","Granada","1.0","0.0"
"Año 2022","Enero","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2022","Febrero","Cataluña","Barcelona","1.0","0.0"
"Año 2022","Febrero","Región de Murcia","Murcia","1.0","0.0"
"Año 2022","Marzo","Andalucía","Málaga","1.0","2.0"
"Año 2022","Marzo","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2022","Marzo","Cataluña","Barcelona","1.0","1.0"
"Año 2022","Marzo","Comunidad de Madrid","Madrid","1.0","4.0"
"Año 2022","Marzo","Ceuta","Ceuta","1.0","2.0"
"Año 2022","Abril","Andalucía","Sevilla","1.0","0.0"
"Año 2022","Abril","Castilla-La Mancha","Cuenca","1.0","2.0"
"Año 2022","Abril","Castilla-La Mancha","Toledo","1.0","1.0"
"Año 2022","Abril","Cataluña","Barcelona","1.0","0.0"
"Año 2022","Abril","Cataluña","Girona","1.0","0.0"
"Año 2022","Mayo","Andalucía","Almería","1.0","0.0"
"Año 2022","Mayo","Andalucía","Córdoba","1.0","2.0"
"Año 2022","Mayo","Andalucía","Málaga","1.0","1.0"
"Año 2022","Mayo","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2022","Mayo","Castilla-La Mancha","Ciudad Real","1.0","1.0"
"Año 2022","Mayo","Castilla-La Mancha","Cuenca","1.0","3.0"
"Año 2022","Junio","Andalucía","Sevilla","1.0","0.0"
"Año 2022","Junio","Castilla y León","Soria","1.0","1.0"
"Año 2022","Junio","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2022","Junio","Comunidad de Madrid","Madrid","1.0","1.0"
"Año 2022","Julio","Andalucía","Granada","1.0","0.0"
"Año 2022","Julio","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2022","Julio","Cataluña","Tarragona","1.0","0.0"
"Año 2022","Julio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2022","Agosto","Andalucía","Sevilla","1.0","1.0"
"Año 2022","Agosto","Castilla y León","Valladolid","1.0","0.0"
"Año 2022","Agosto","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2022","Septiembre","Aragón","Zaragoza","1.0","0.0"
"Año 2022","Septiembre","Castilla y León","Palencia","1.0","2.0"
"Año 2022","Septiembre","Cataluña","Barcelona","1.0","0.0"
"Año 2022","Septiembre","Cataluña","Girona","1.0","0.0"
"Año 2022","Septiembre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2022","Octubre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2022","Noviembre","Andalucía","Málaga","1.0","0.0"
"Año 2022","Noviembre","Extremadura","Cáceres","1.0","2.0"
"Año 2022","Noviembre","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2022","Diciembre","Andalucía","Sevilla","1.0","3.0"
"Año 2022","Diciembre","Aragón","Zaragoza","1.0","0.0"
"Año 2022","Diciembre","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2022","Diciembre","Castilla-La Mancha","Toledo","1.0","2.0"
"Año 2022","Diciembre","Cataluña","Barcelona","1.0","0.0"
"Año 2022","Diciembre","Cataluña","Lleida","1.0","5.0"
"Año 2022","Diciembre","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2022","Diciembre","Región de Murcia","Murcia","1.0","0.0"
"Año 2022","Diciembre","País Vasco","Bizkaia","1.0","0.0"
"Año 2023","Enero","Andalucía","Cádiz","2.0","1.0"
"Año 2023","Enero","Andalucía","Málaga","1.0","0.0"
"Año 2023","Enero","Canarias","Santa Cruz de Tenerife","1.0","4.0"
"Año 2023","Enero","Castilla y León","Valladolid","1.0","0.0"
"Año 2023","Enero","Castilla-La Mancha","Ciudad Real","1.0","1.0"
"Año 2023","Enero","Cataluña","Lleida","1.0","5.0"
"Año 2023","Febrero","Andalucía","Sevilla","1.0","0.0"
"Año 2023","Febrero","Comunitat Valenciana","Castellón/Castelló","1.0","1.0"
"Año 2023","Febrero","Galicia","Pontevedra","1.0","2.0"
"Año 2023","Marzo","Aragón","Zaragoza","1.0","1.0"
"Año 2023","Marzo","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2023","Abril","Andalucía","Huelva","1.0","1.0"
"Año 2023","Abril","Canarias","Las Palmas","1.0","2.0"
"Año 2023","Abril","Castilla y León","Ávila","1.0","0.0"
"Año 2023","Mayo","Andalucía","Granada","1.0","2.0"
"Año 2023","Mayo","Andalucía","Málaga","1.0","3.0"
"Año 2023","Mayo","Cataluña","Barcelona","1.0","0.0"
"Año 2023","Mayo","Comunidad de Madrid","Madrid","1.0","1.0"
"Año 2023","Mayo","País Vasco","Araba/Álava","1.0","1.0"
"Año 2023","Mayo","País Vasco","Gipuzkoa","1.0","1.0"
"Año 2023","Junio","Cataluña","Barcelona","2.0","2.0"
"Año 2023","Junio","Cataluña","Lleida","1.0","1.0"
"Año 2023","Junio","Galicia","Pontevedra","1.0","0.0"
"Año 2023","Junio","Comunidad de Madrid","Madrid","1.0","1.0"
"Año 2023","Julio","Andalucía","Sevilla","1.0","0.0"
"Año 2023","Julio","Cataluña","Barcelona","1.0","0.0"
"Año 2023","Julio","Cataluña","Girona","1.0","0.0"
"Año 2023","Julio","Cataluña","Tarragona","1.0","1.0"
"Año 2023","Julio","Comunitat Valenciana","Valencia/València","1.0","3.0"
"Año 2023","Julio","Comunidad Foral de Navarra","Navarra","1.0","1.0"
"Año 2023","Julio","La Rioja","La Rioja","1.0","3.0"
"Año 2023","Agosto","Andalucía","Almería","1.0","3.0"
"Año 2023","Agosto","Andalucía","Cádiz","1.0","0.0"
"Año 2023","Agosto","Andalucía","Córdoba","1.0","3.0"
"Año 2023","Agosto","Andalucía","Málaga","1.0","0.0"
"Año 2023","Agosto","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2023","Agosto","Castilla y León","Salamanca","1.0","4.0"
"Año 2023","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2023","Agosto","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2023","Septiembre","Andalucía","Granada","1.0","0.0"
"Año 2023","Septiembre","Andalucía","Jaén","1.0","0.0"
"Año 2023","Septiembre","Andalucía","Sevilla","1.0","0.0"
"Año 2023","Septiembre","Castilla-La Mancha","Toledo","1.0","2.0"
"Año 2023","Septiembre","Cataluña","Girona","1.0","0.0"
"Año 2023","Septiembre","Cataluña","Tarragona","1.0","0.0"
"Año 2023","Septiembre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2023","Septiembre","Comunitat Valenciana","Castellón/Castelló","1.0","0.0"
"Año 2023","Septiembre","Comunidad de Madrid","Madrid","1.0","2.0"
"Año 2023","Septiembre","Región de Murcia","Murcia","1.0","1.0"
"Año 2023","Octubre","Andalucía","Málaga","1.0","1.0"
"Año 2023","Noviembre","Comunitat Valenciana","Valencia/València","1.0","2.0"
"Año 2023","Noviembre","Comunidad de Madrid","Madrid","3.0","2.0"
"Año 2023","Diciembre","Cataluña","Barcelona","1.0","0.0"
"Año 2023","Diciembre","Galicia","A Coruña","1.0","0.0"
"Año 2024","Enero","Andalucía","Málaga","1.0","0.0"
"Año 2024","Enero","Cataluña","Girona","1.0","0.0"
"Año 2024","Febrero","Castilla-La Mancha","Ciudad Real","1.0","1.0"
"Año 2024","Febrero","Cataluña","Girona","1.0","3.0"
"Año 2024","Febrero","Comunitat Valenciana","Alicante/Alacant","1.0","2.0"
"Año 2024","Marzo","Andalucía","Málaga","1.0","1.0"
"Año 2024","Marzo","Galicia","A Coruña","1.0","1.0"
"Año 2024","Abril","Andalucía","Málaga","1.0","0.0"
"Año 2024","Abril","Cataluña","Barcelona","2.0","2.0"
"Año 2024","Abril","Cataluña","Tarragona","1.0","2.0"
"Año 2024","Mayo","Cataluña","Barcelona","1.0","1.0"
"Año 2024","Junio","Andalucía","Granada","1.0","0.0"
"Año 2024","Junio","Andalucía","Málaga","1.0","0.0"
"Año 2024","Junio","Castilla-La Mancha","Cuenca","1.0","0.0"
"Año 2024","Junio","Cataluña","Barcelona","1.0","0.0"
"Año 2024","Junio","Cataluña","Girona","1.0","0.0"
"Año 2024","Junio","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2024","Junio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2024","Julio","Andalucía","Málaga","1.0","1.0"
"Año 2024","Julio","Aragón","Zaragoza","1.0","2.0"
"Año 2024","Julio","Cataluña","Barcelona","1.0","4.0"
"Año 2024","Julio","Cataluña","Tarragona","1.0","0.0"
"Año 2024","Julio","Comunitat Valenciana","Alicante/Alacant","2.0","0.0"
"Año 2024","Julio","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2024","Julio","Comunidad de Madrid","Madrid","1.0","1.0"
"Año 2024","Agosto","Andalucía","Sevilla","1.0","0.0"
"Año 2024","Agosto","Castilla y León","Valladolid","1.0","0.0"
"Año 2024","Agosto","Cataluña","Barcelona","2.0","0.0"
"Año 2024","Agosto","Galicia","A Coruña","1.0","0.0"
"Año 2024","Septiembre","Comunitat Valenciana","Castellón/Castelló","1.0","1.0"
"Año 2024","Septiembre","Comunidad de Madrid","Madrid","1.0","2.0"
"Año 2024","Septiembre","País Vasco","Bizkaia","1.0","0.0"
"Año 2024","Octubre","Andalucía","Almería","2.0","3.0"
"Año 2024","Octubre","Castilla y León","Segovia","1.0","1.0"
"Año 2024","Octubre","Galicia","Pontevedra","1.0","1.0"
"Año 2024","Noviembre","Andalucía","Sevilla","1.0","2.0"
"Año 2024","Noviembre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2024","Noviembre","Galicia","Pontevedra","1.0","1.0"
