"Año","Trimestre","Comunidad autónoma","Provincia","Número de denuncias por violencia de género"
"Año 2009","Primero","Andalucía","Almería","679.0"
"Año 2009","Primero","Andalucía","Cádiz","811.0"
"Año 2009","Primero","Andalucía","Córdoba","354.0"
"Año 2009","Primero","Andalucía","Granada","1029.0"
"Año 2009","Primero","Andalucía","Huelva","583.0"
"Año 2009","Primero","Andalucía","Jaén","440.0"
"Año 2009","Primero","Andalucía","Málaga","1665.0"
"Año 2009","Primero","Andalucía","Sevilla","1091.0"
"Año 2009","Primero","Aragón","Huesca","91.0"
"Año 2009","Primero","Aragón","Teruel","39.0"
"Año 2009","Primero","Aragón","Zaragoza","565.0"
"Año 2009","Primero","Principado de Asturias","Asturias","529.0"
"Año 2009","Primero","Illes Balears","Illes Balears","1142.0"
"Año 2009","Primero","Canarias","Las Palmas","1222.0"
"Año 2009","Primero","Canarias","Santa Cruz de Tenerife","873.0"
"Año 2009","Primero","Cantabria","Cantabria","280.0"
"Año 2009","Primero","Castilla y León","Ávila","118.0"
"Año 2009","Primero","Castilla y León","Burgos","234.0"
"Año 2009","Primero","Castilla y León","León","239.0"
"Año 2009","Primero","Castilla y León","Palencia","80.0"
"Año 2009","Primero","Castilla y León","Salamanca","156.0"
"Año 2009","Primero","Castilla y León","Segovia","64.0"
"Año 2009","Primero","Castilla y León","Soria","43.0"
"Año 2009","Primero","Castilla y León","Valladolid","453.0"
"Año 2009","Primero","Castilla y León","Zamora","70.0"
"Año 2009","Primero","Castilla-La Mancha","Albacete","246.0"
"Año 2009","Primero","Castilla-La Mancha","Ciudad Real","265.0"
"Año 2009","Primero","Castilla-La Mancha","Cuenca","98.0"
"Año 2009","Primero","Castilla-La Mancha","Guadalajara","319.0"
"Año 2009","Primero","Castilla-La Mancha","Toledo","350.0"
"Año 2009","Primero","Cataluña","Barcelona","2994.0"
"Año 2009","Primero","Cataluña","Girona","522.0"
"Año 2009","Primero","Cataluña","Lleida","229.0"
"Año 2009","Primero","Cataluña","Tarragona","643.0"
"Año 2009","Primero","Comunitat Valenciana","Alicante/Alacant","1895.0"
"Año 2009","Primero","Comunitat Valenciana","Castellón/Castelló","338.0"
"Año 2009","Primero","Comunitat Valenciana","Valencia/València","2532.0"
"Año 2009","Primero","Extremadura","Badajoz","253.0"
"Año 2009","Primero","Extremadura","Cáceres","216.0"
"Año 2009","Primero","Galicia","A Coruña","528.0"
"Año 2009","Primero","Galicia","Lugo","135.0"
"Año 2009","Primero","Galicia","Ourense","198.0"
"Año 2009","Primero","Galicia","Pontevedra","560.0"
"Año 2009","Primero","Comunidad de Madrid","Madrid","5429.0"
"Año 2009","Primero","Región de Murcia","Murcia","1388.0"
"Año 2009","Primero","Comunidad Foral de Navarra","Navarra","258.0"
"Año 2009","Primero","País Vasco","Araba/Álava","191.0"
"Año 2009","Primero","País Vasco","Gipuzkoa","310.0"
"Año 2009","Primero","País Vasco","Bizkaia","527.0"
"Año 2009","Primero","La Rioja","La Rioja","232.0"
"Año 2009","Primero","Ceuta","Ceuta","64.0"
"Año 2009","Primero","Melilla","Melilla","85.0"
"Año 2009","Segundo","Andalucía","Almería","715.0"
"Año 2009","Segundo","Andalucía","Cádiz","924.0"
"Año 2009","Segundo","Andalucía","Córdoba","348.0"
"Año 2009","Segundo","Andalucía","Granada","1030.0"
"Año 2009","Segundo","Andalucía","Huelva","612.0"
"Año 2009","Segundo","Andalucía","Jaén","398.0"
"Año 2009","Segundo","Andalucía","Málaga","1131.0"
"Año 2009","Segundo","Andalucía","Sevilla","1563.0"
"Año 2009","Segundo","Aragón","Huesca","94.0"
"Año 2009","Segundo","Aragón","Teruel","43.0"
"Año 2009","Segundo","Aragón","Zaragoza","605.0"
"Año 2009","Segundo","Principado de Asturias","Asturias","643.0"
"Año 2009","Segundo","Illes Balears","Illes Balears","1092.0"
"Año 2009","Segundo","Canarias","Las Palmas","1298.0"
"Año 2009","Segundo","Canarias","Santa Cruz de Tenerife","1028.0"
"Año 2009","Segundo","Cantabria","Cantabria","273.0"
"Año 2009","Segundo","Castilla y León","Ávila","111.0"
"Año 2009","Segundo","Castilla y León","Burgos","164.0"
"Año 2009","Segundo","Castilla y León","León","285.0"
"Año 2009","Segundo","Castilla y León","Palencia","73.0"
"Año 2009","Segundo","Castilla y León","Salamanca","137.0"
"Año 2009","Segundo","Castilla y León","Segovia","72.0"
"Año 2009","Segundo","Castilla y León","Soria","58.0"
"Año 2009","Segundo","Castilla y León","Valladolid","476.0"
"Año 2009","Segundo","Castilla y León","Zamora","84.0"
"Año 2009","Segundo","Castilla-La Mancha","Albacete","207.0"
"Año 2009","Segundo","Castilla-La Mancha","Ciudad Real","274.0"
"Año 2009","Segundo","Castilla-La Mancha","Cuenca","116.0"
"Año 2009","Segundo","Castilla-La Mancha","Guadalajara","409.0"
"Año 2009","Segundo","Castilla-La Mancha","Toledo","412.0"
"Año 2009","Segundo","Cataluña","Barcelona","2969.0"
"Año 2009","Segundo","Cataluña","Girona","525.0"
"Año 2009","Segundo","Cataluña","Lleida","292.0"
"Año 2009","Segundo","Cataluña","Tarragona","794.0"
"Año 2009","Segundo","Comunitat Valenciana","Alicante/Alacant","2025.0"
"Año 2009","Segundo","Comunitat Valenciana","Castellón/Castelló","461.0"
"Año 2009","Segundo","Comunitat Valenciana","Valencia/València","2448.0"
"Año 2009","Segundo","Extremadura","Badajoz","272.0"
"Año 2009","Segundo","Extremadura","Cáceres","115.0"
"Año 2009","Segundo","Galicia","A Coruña","647.0"
"Año 2009","Segundo","Galicia","Lugo","175.0"
"Año 2009","Segundo","Galicia","Ourense","169.0"
"Año 2009","Segundo","Galicia","Pontevedra","596.0"
"Año 2009","Segundo","Comunidad de Madrid","Madrid","5427.0"
"Año 2009","Segundo","Región de Murcia","Murcia","1595.0"
"Año 2009","Segundo","Comunidad Foral de Navarra","Navarra","260.0"
"Año 2009","Segundo","País Vasco","Araba/Álava","215.0"
"Año 2009","Segundo","País Vasco","Gipuzkoa","295.0"
"Año 2009","Segundo","País Vasco","Bizkaia","658.0"
"Año 2009","Segundo","La Rioja","La Rioja","189.0"
"Año 2009","Segundo","Ceuta","Ceuta","84.0"
"Año 2009","Segundo","Melilla","Melilla","97.0"
"Año 2009","Tercero","Andalucía","Almería","665.0"
"Año 2009","Tercero","Andalucía","Cádiz","1098.0"
"Año 2009","Tercero","Andalucía","Córdoba","433.0"
"Año 2009","Tercero","Andalucía","Granada","1055.0"
"Año 2009","Tercero","Andalucía","Huelva","501.0"
"Año 2009","Tercero","Andalucía","Jaén","451.0"
"Año 2009","Tercero","Andalucía","Málaga","1347.0"
"Año 2009","Tercero","Andalucía","Sevilla","1704.0"
"Año 2009","Tercero","Aragón","Huesca","101.0"
"Año 2009","Tercero","Aragón","Teruel","37.0"
"Año 2009","Tercero","Aragón","Zaragoza","682.0"
"Año 2009","Tercero","Principado de Asturias","Asturias","696.0"
"Año 2009","Tercero","Illes Balears","Illes Balears","1203.0"
"Año 2009","Tercero","Canarias","Las Palmas","1309.0"
"Año 2009","Tercero","Canarias","Santa Cruz de Tenerife","972.0"
"Año 2009","Tercero","Cantabria","Cantabria","326.0"
"Año 2009","Tercero","Castilla y León","Ávila","114.0"
"Año 2009","Tercero","Castilla y León","Burgos","202.0"
"Año 2009","Tercero","Castilla y León","León","142.0"
"Año 2009","Tercero","Castilla y León","Palencia","64.0"
"Año 2009","Tercero","Castilla y León","Salamanca","150.0"
"Año 2009","Tercero","Castilla y León","Segovia","77.0"
"Año 2009","Tercero","Castilla y León","Soria","38.0"
"Año 2009","Tercero","Castilla y León","Valladolid","268.0"
"Año 2009","Tercero","Castilla y León","Zamora","73.0"
"Año 2009","Tercero","Castilla-La Mancha","Albacete","269.0"
"Año 2009","Tercero","Castilla-La Mancha","Ciudad Real","296.0"
"Año 2009","Tercero","Castilla-La Mancha","Cuenca","99.0"
"Año 2009","Tercero","Castilla-La Mancha","Guadalajara","245.0"
"Año 2009","Tercero","Castilla-La Mancha","Toledo","441.0"
"Año 2009","Tercero","Cataluña","Barcelona","3147.0"
"Año 2009","Tercero","Cataluña","Girona","575.0"
"Año 2009","Tercero","Cataluña","Lleida","299.0"
"Año 2009","Tercero","Cataluña","Tarragona","707.0"
"Año 2009","Tercero","Comunitat Valenciana","Alicante/Alacant","2024.0"
"Año 2009","Tercero","Comunitat Valenciana","Castellón/Castelló","484.0"
"Año 2009","Tercero","Comunitat Valenciana","Valencia/València","2546.0"
"Año 2009","Tercero","Extremadura","Badajoz","301.0"
"Año 2009","Tercero","Extremadura","Cáceres","156.0"
"Año 2009","Tercero","Galicia","A Coruña","637.0"
"Año 2009","Tercero","Galicia","Lugo","170.0"
"Año 2009","Tercero","Galicia","Ourense","127.0"
"Año 2009","Tercero","Galicia","Pontevedra","659.0"
"Año 2009","Tercero","Comunidad de Madrid","Madrid","5013.0"
"Año 2009","Tercero","Región de Murcia","Murcia","1574.0"
"Año 2009","Tercero","Comunidad Foral de Navarra","Navarra","383.0"
"Año 2009","Tercero","País Vasco","Araba/Álava","140.0"
"Año 2009","Tercero","País Vasco","Gipuzkoa","263.0"
"Año 2009","Tercero","País Vasco","Bizkaia","558.0"
"Año 2009","Tercero","La Rioja","La Rioja","239.0"
"Año 2009","Tercero","Ceuta","Ceuta","112.0"
"Año 2009","Tercero","Melilla","Melilla","98.0"
"Año 2009","Cuarto","Andalucía","Almería","545.0"
"Año 2009","Cuarto","Andalucía","Cádiz","860.0"
"Año 2009","Cuarto","Andalucía","Córdoba","200.0"
"Año 2009","Cuarto","Andalucía","Granada","774.0"
"Año 2009","Cuarto","Andalucía","Huelva","407.0"
"Año 2009","Cuarto","Andalucía","Jaén","345.0"
"Año 2009","Cuarto","Andalucía","Málaga","1025.0"
"Año 2009","Cuarto","Andalucía","Sevilla","1360.0"
"Año 2009","Cuarto","Aragón","Huesca","85.0"
"Año 2009","Cuarto","Aragón","Teruel","36.0"
"Año 2009","Cuarto","Aragón","Zaragoza","470.0"
"Año 2009","Cuarto","Principado de Asturias","Asturias","505.0"
"Año 2009","Cuarto","Illes Balears","Illes Balears","1016.0"
"Año 2009","Cuarto","Canarias","Las Palmas","1334.0"
"Año 2009","Cuarto","Canarias","Santa Cruz de Tenerife","946.0"
"Año 2009","Cuarto","Cantabria","Cantabria","293.0"
"Año 2009","Cuarto","Castilla y León","Ávila","87.0"
"Año 2009","Cuarto","Castilla y León","Burgos","198.0"
"Año 2009","Cuarto","Castilla y León","León","173.0"
"Año 2009","Cuarto","Castilla y León","Palencia","67.0"
"Año 2009","Cuarto","Castilla y León","Salamanca","130.0"
"Año 2009","Cuarto","Castilla y León","Segovia","60.0"
"Año 2009","Cuarto","Castilla y León","Soria","32.0"
"Año 2009","Cuarto","Castilla y León","Valladolid","232.0"
"Año 2009","Cuarto","Castilla y León","Zamora","66.0"
"Año 2009","Cuarto","Castilla-La Mancha","Albacete","237.0"
"Año 2009","Cuarto","Castilla-La Mancha","Ciudad Real","245.0"
"Año 2009","Cuarto","Castilla-La Mancha","Cuenca","92.0"
"Año 2009","Cuarto","Castilla-La Mancha","Guadalajara","381.0"
"Año 2009","Cuarto","Castilla-La Mancha","Toledo","369.0"
"Año 2009","Cuarto","Cataluña","Barcelona","3152.0"
"Año 2009","Cuarto","Cataluña","Girona","488.0"
"Año 2009","Cuarto","Cataluña","Lleida","248.0"
"Año 2009","Cuarto","Cataluña","Tarragona","634.0"
"Año 2009","Cuarto","Comunitat Valenciana","Alicante/Alacant","1813.0"
"Año 2009","Cuarto","Comunitat Valenciana","Castellón/Castelló","380.0"
"Año 2009","Cuarto","Comunitat Valenciana","Valencia/València","2404.0"
"Año 2009","Cuarto","Extremadura","Badajoz","288.0"
"Año 2009","Cuarto","Extremadura","Cáceres","101.0"
"Año 2009","Cuarto","Galicia","A Coruña","588.0"
"Año 2009","Cuarto","Galicia","Lugo","101.0"
"Año 2009","Cuarto","Galicia","Ourense","125.0"
"Año 2009","Cuarto","Galicia","Pontevedra","652.0"
"Año 2009","Cuarto","Comunidad de Madrid","Madrid","4994.0"
"Año 2009","Cuarto","Región de Murcia","Murcia","1528.0"
"Año 2009","Cuarto","Comunidad Foral de Navarra","Navarra","335.0"
"Año 2009","Cuarto","País Vasco","Araba/Álava","194.0"
"Año 2009","Cuarto","País Vasco","Gipuzkoa","204.0"
"Año 2009","Cuarto","País Vasco","Bizkaia","503.0"
"Año 2009","Cuarto","La Rioja","La Rioja","174.0"
"Año 2009","Cuarto","Ceuta","Ceuta","74.0"
"Año 2009","Cuarto","Melilla","Melilla","81.0"
"Año 2010","Primero","Andalucía","Almería","638.0"
"Año 2010","Primero","Andalucía","Cádiz","810.0"
"Año 2010","Primero","Andalucía","Córdoba","256.0"
"Año 2010","Primero","Andalucía","Granada","908.0"
"Año 2010","Primero","Andalucía","Huelva","430.0"
"Año 2010","Primero","Andalucía","Jaén","332.0"
"Año 2010","Primero","Andalucía","Málaga","1320.0"
"Año 2010","Primero","Andalucía","Sevilla","1578.0"
"Año 2010","Primero","Aragón","Huesca","76.0"
"Año 2010","Primero","Aragón","Teruel","43.0"
"Año 2010","Primero","Aragón","Zaragoza","429.0"
"Año 2010","Primero","Principado de Asturias","Asturias","554.0"
"Año 2010","Primero","Illes Balears","Illes Balears","991.0"
"Año 2010","Primero","Canarias","Las Palmas","1299.0"
"Año 2010","Primero","Canarias","Santa Cruz de Tenerife","888.0"
"Año 2010","Primero","Cantabria","Cantabria","301.0"
"Año 2010","Primero","Castilla y León","Ávila","122.0"
"Año 2010","Primero","Castilla y León","Burgos","186.0"
"Año 2010","Primero","Castilla y León","León","241.0"
"Año 2010","Primero","Castilla y León","Palencia","73.0"
"Año 2010","Primero","Castilla y León","Salamanca","126.0"
"Año 2010","Primero","Castilla y León","Segovia","45.0"
"Año 2010","Primero","Castilla y León","Soria","31.0"
"Año 2010","Primero","Castilla y León","Valladolid","242.0"
"Año 2010","Primero","Castilla y León","Zamora","64.0"
"Año 2010","Primero","Castilla-La Mancha","Albacete","199.0"
"Año 2010","Primero","Castilla-La Mancha","Ciudad Real","274.0"
"Año 2010","Primero","Castilla-La Mancha","Cuenca","100.0"
"Año 2010","Primero","Castilla-La Mancha","Guadalajara","405.0"
"Año 2010","Primero","Castilla-La Mancha","Toledo","406.0"
"Año 2010","Primero","Cataluña","Barcelona","3140.0"
"Año 2010","Primero","Cataluña","Girona","499.0"
"Año 2010","Primero","Cataluña","Lleida","203.0"
"Año 2010","Primero","Cataluña","Tarragona","700.0"
"Año 2010","Primero","Comunitat Valenciana","Alicante/Alacant","1614.0"
"Año 2010","Primero","Comunitat Valenciana","Castellón/Castelló","422.0"
"Año 2010","Primero","Comunitat Valenciana","Valencia/València","2537.0"
"Año 2010","Primero","Extremadura","Badajoz","289.0"
"Año 2010","Primero","Extremadura","Cáceres","172.0"
"Año 2010","Primero","Galicia","A Coruña","551.0"
"Año 2010","Primero","Galicia","Lugo","121.0"
"Año 2010","Primero","Galicia","Ourense","142.0"
"Año 2010","Primero","Galicia","Pontevedra","611.0"
"Año 2010","Primero","Comunidad de Madrid","Madrid","5061.0"
"Año 2010","Primero","Región de Murcia","Murcia","1443.0"
"Año 2010","Primero","Comunidad Foral de Navarra","Navarra","357.0"
"Año 2010","Primero","País Vasco","Araba/Álava","180.0"
"Año 2010","Primero","País Vasco","Gipuzkoa","248.0"
"Año 2010","Primero","País Vasco","Bizkaia","528.0"
"Año 2010","Primero","La Rioja","La Rioja","129.0"
"Año 2010","Primero","Ceuta","Ceuta","80.0"
"Año 2010","Primero","Melilla","Melilla","102.0"
"Año 2010","Segundo","Andalucía","Almería","680.0"
"Año 2010","Segundo","Andalucía","Cádiz","960.0"
"Año 2010","Segundo","Andalucía","Córdoba","282.0"
"Año 2010","Segundo","Andalucía","Granada","944.0"
"Año 2010","Segundo","Andalucía","Huelva","465.0"
"Año 2010","Segundo","Andalucía","Jaén","398.0"
"Año 2010","Segundo","Andalucía","Málaga","1549.0"
"Año 2010","Segundo","Andalucía","Sevilla","1718.0"
"Año 2010","Segundo","Aragón","Huesca","96.0"
"Año 2010","Segundo","Aragón","Teruel","46.0"
"Año 2010","Segundo","Aragón","Zaragoza","540.0"
"Año 2010","Segundo","Principado de Asturias","Asturias","493.0"
"Año 2010","Segundo","Illes Balears","Illes Balears","1138.0"
"Año 2010","Segundo","Canarias","Las Palmas","1123.0"
"Año 2010","Segundo","Canarias","Santa Cruz de Tenerife","859.0"
"Año 2010","Segundo","Cantabria","Cantabria","321.0"
"Año 2010","Segundo","Castilla y León","Ávila","114.0"
"Año 2010","Segundo","Castilla y León","Burgos","159.0"
"Año 2010","Segundo","Castilla y León","León","158.0"
"Año 2010","Segundo","Castilla y León","Palencia","83.0"
"Año 2010","Segundo","Castilla y León","Salamanca","133.0"
"Año 2010","Segundo","Castilla y León","Segovia","57.0"
"Año 2010","Segundo","Castilla y León","Soria","28.0"
"Año 2010","Segundo","Castilla y León","Valladolid","274.0"
"Año 2010","Segundo","Castilla y León","Zamora","58.0"
"Año 2010","Segundo","Castilla-La Mancha","Albacete","267.0"
"Año 2010","Segundo","Castilla-La Mancha","Ciudad Real","307.0"
"Año 2010","Segundo","Castilla-La Mancha","Cuenca","112.0"
"Año 2010","Segundo","Castilla-La Mancha","Guadalajara","369.0"
"Año 2010","Segundo","Castilla-La Mancha","Toledo","386.0"
"Año 2010","Segundo","Cataluña","Barcelona","3231.0"
"Año 2010","Segundo","Cataluña","Girona","548.0"
"Año 2010","Segundo","Cataluña","Lleida","245.0"
"Año 2010","Segundo","Cataluña","Tarragona","771.0"
"Año 2010","Segundo","Comunitat Valenciana","Alicante/Alacant","1754.0"
"Año 2010","Segundo","Comunitat Valenciana","Castellón/Castelló","477.0"
"Año 2010","Segundo","Comunitat Valenciana","Valencia/València","2621.0"
"Año 2010","Segundo","Extremadura","Badajoz","361.0"
"Año 2010","Segundo","Extremadura","Cáceres","140.0"
"Año 2010","Segundo","Galicia","A Coruña","432.0"
"Año 2010","Segundo","Galicia","Lugo","127.0"
"Año 2010","Segundo","Galicia","Ourense","137.0"
"Año 2010","Segundo","Galicia","Pontevedra","581.0"
"Año 2010","Segundo","Comunidad de Madrid","Madrid","5661.0"
"Año 2010","Segundo","Región de Murcia","Murcia","1430.0"
"Año 2010","Segundo","Comunidad Foral de Navarra","Navarra","364.0"
"Año 2010","Segundo","País Vasco","Araba/Álava","189.0"
"Año 2010","Segundo","País Vasco","Gipuzkoa","258.0"
"Año 2010","Segundo","País Vasco","Bizkaia","482.0"
"Año 2010","Segundo","La Rioja","La Rioja","152.0"
"Año 2010","Segundo","Ceuta","Ceuta","73.0"
"Año 2010","Segundo","Melilla","Melilla","105.0"
"Año 2010","Tercero","Andalucía","Almería","780.0"
"Año 2010","Tercero","Andalucía","Cádiz","1039.0"
"Año 2010","Tercero","Andalucía","Córdoba","264.0"
"Año 2010","Tercero","Andalucía","Granada","929.0"
"Año 2010","Tercero","Andalucía","Huelva","414.0"
"Año 2010","Tercero","Andalucía","Jaén","435.0"
"Año 2010","Tercero","Andalucía","Málaga","1324.0"
"Año 2010","Tercero","Andalucía","Sevilla","1918.0"
"Año 2010","Tercero","Aragón","Huesca","93.0"
"Año 2010","Tercero","Aragón","Teruel","65.0"
"Año 2010","Tercero","Aragón","Zaragoza","583.0"
"Año 2010","Tercero","Principado de Asturias","Asturias","594.0"
"Año 2010","Tercero","Illes Balears","Illes Balears","1200.0"
"Año 2010","Tercero","Canarias","Las Palmas","1176.0"
"Año 2010","Tercero","Canarias","Santa Cruz de Tenerife","932.0"
"Año 2010","Tercero","Cantabria","Cantabria","344.0"
"Año 2010","Tercero","Castilla y León","Ávila","100.0"
"Año 2010","Tercero","Castilla y León","Burgos","161.0"
"Año 2010","Tercero","Castilla y León","León","239.0"
"Año 2010","Tercero","Castilla y León","Palencia","75.0"
"Año 2010","Tercero","Castilla y León","Salamanca","136.0"
"Año 2010","Tercero","Castilla y León","Segovia","76.0"
"Año 2010","Tercero","Castilla y León","Soria","39.0"
"Año 2010","Tercero","Castilla y León","Valladolid","272.0"
"Año 2010","Tercero","Castilla y León","Zamora","74.0"
"Año 2010","Tercero","Castilla-La Mancha","Albacete","225.0"
"Año 2010","Tercero","Castilla-La Mancha","Ciudad Real","345.0"
"Año 2010","Tercero","Castilla-La Mancha","Cuenca","117.0"
"Año 2010","Tercero","Castilla-La Mancha","Guadalajara","376.0"
"Año 2010","Tercero","Castilla-La Mancha","Toledo","407.0"
"Año 2010","Tercero","Cataluña","Barcelona","3436.0"
"Año 2010","Tercero","Cataluña","Girona","635.0"
"Año 2010","Tercero","Cataluña","Lleida","268.0"
"Año 2010","Tercero","Cataluña","Tarragona","817.0"
"Año 2010","Tercero","Comunitat Valenciana","Alicante/Alacant","2113.0"
"Año 2010","Tercero","Comunitat Valenciana","Castellón/Castelló","581.0"
"Año 2010","Tercero","Comunitat Valenciana","Valencia/València","2672.0"
"Año 2010","Tercero","Extremadura","Badajoz","265.0"
"Año 2010","Tercero","Extremadura","Cáceres","188.0"
"Año 2010","Tercero","Galicia","A Coruña","538.0"
"Año 2010","Tercero","Galicia","Lugo","146.0"
"Año 2010","Tercero","Galicia","Ourense","261.0"
"Año 2010","Tercero","Galicia","Pontevedra","493.0"
"Año 2010","Tercero","Comunidad de Madrid","Madrid","5547.0"
"Año 2010","Tercero","Región de Murcia","Murcia","1416.0"
"Año 2010","Tercero","Comunidad Foral de Navarra","Navarra","402.0"
"Año 2010","Tercero","País Vasco","Araba/Álava","205.0"
"Año 2010","Tercero","País Vasco","Gipuzkoa","285.0"
"Año 2010","Tercero","País Vasco","Bizkaia","459.0"
"Año 2010","Tercero","La Rioja","La Rioja","203.0"
"Año 2010","Tercero","Ceuta","Ceuta","67.0"
"Año 2010","Tercero","Melilla","Melilla","82.0"
"Año 2010","Cuarto","Andalucía","Almería","654.0"
"Año 2010","Cuarto","Andalucía","Cádiz","994.0"
"Año 2010","Cuarto","Andalucía","Córdoba","224.0"
"Año 2010","Cuarto","Andalucía","Granada","902.0"
"Año 2010","Cuarto","Andalucía","Huelva","403.0"
"Año 2010","Cuarto","Andalucía","Jaén","366.0"
"Año 2010","Cuarto","Andalucía","Málaga","1324.0"
"Año 2010","Cuarto","Andalucía","Sevilla","1809.0"
"Año 2010","Cuarto","Aragón","Huesca","69.0"
"Año 2010","Cuarto","Aragón","Teruel","29.0"
"Año 2010","Cuarto","Aragón","Zaragoza","504.0"
"Año 2010","Cuarto","Principado de Asturias","Asturias","506.0"
"Año 2010","Cuarto","Illes Balears","Illes Balears","902.0"
"Año 2010","Cuarto","Canarias","Las Palmas","1131.0"
"Año 2010","Cuarto","Canarias","Santa Cruz de Tenerife","918.0"
"Año 2010","Cuarto","Cantabria","Cantabria","265.0"
"Año 2010","Cuarto","Castilla y León","Ávila","109.0"
"Año 2010","Cuarto","Castilla y León","Burgos","147.0"
"Año 2010","Cuarto","Castilla y León","León","180.0"
"Año 2010","Cuarto","Castilla y León","Palencia","84.0"
"Año 2010","Cuarto","Castilla y León","Salamanca","109.0"
"Año 2010","Cuarto","Castilla y León","Segovia","53.0"
"Año 2010","Cuarto","Castilla y León","Soria","39.0"
"Año 2010","Cuarto","Castilla y León","Valladolid","267.0"
"Año 2010","Cuarto","Castilla y León","Zamora","73.0"
"Año 2010","Cuarto","Castilla-La Mancha","Albacete","251.0"
"Año 2010","Cuarto","Castilla-La Mancha","Ciudad Real","245.0"
"Año 2010","Cuarto","Castilla-La Mancha","Cuenca","118.0"
"Año 2010","Cuarto","Castilla-La Mancha","Guadalajara","402.0"
"Año 2010","Cuarto","Castilla-La Mancha","Toledo","354.0"
"Año 2010","Cuarto","Cataluña","Barcelona","2975.0"
"Año 2010","Cuarto","Cataluña","Girona","493.0"
"Año 2010","Cuarto","Cataluña","Lleida","209.0"
"Año 2010","Cuarto","Cataluña","Tarragona","696.0"
"Año 2010","Cuarto","Comunitat Valenciana","Alicante/Alacant","1665.0"
"Año 2010","Cuarto","Comunitat Valenciana","Castellón/Castelló","428.0"
"Año 2010","Cuarto","Comunitat Valenciana","Valencia/València","2485.0"
"Año 2010","Cuarto","Extremadura","Badajoz","222.0"
"Año 2010","Cuarto","Extremadura","Cáceres","141.0"
"Año 2010","Cuarto","Galicia","A Coruña","476.0"
"Año 2010","Cuarto","Galicia","Lugo","108.0"
"Año 2010","Cuarto","Galicia","Ourense","145.0"
"Año 2010","Cuarto","Galicia","Pontevedra","401.0"
"Año 2010","Cuarto","Comunidad de Madrid","Madrid","4926.0"
"Año 2010","Cuarto","Región de Murcia","Murcia","1224.0"
"Año 2010","Cuarto","Comunidad Foral de Navarra","Navarra","347.0"
"Año 2010","Cuarto","País Vasco","Araba/Álava","189.0"
"Año 2010","Cuarto","País Vasco","Gipuzkoa","234.0"
"Año 2010","Cuarto","País Vasco","Bizkaia","434.0"
"Año 2010","Cuarto","La Rioja","La Rioja","176.0"
"Año 2010","Cuarto","Ceuta","Ceuta","53.0"
"Año 2010","Cuarto","Melilla","Melilla","84.0"
"Año 2011","Primero","Andalucía","Almería","677.0"
"Año 2011","Primero","Andalucía","Cádiz","862.0"
"Año 2011","Primero","Andalucía","Córdoba","402.0"
"Año 2011","Primero","Andalucía","Granada","894.0"
"Año 2011","Primero","Andalucía","Huelva","393.0"
"Año 2011","Primero","Andalucía","Jaén","378.0"
"Año 2011","Primero","Andalucía","Málaga","1263.0"
"Año 2011","Primero","Andalucía","Sevilla","1848.0"
"Año 2011","Primero","Aragón","Huesca","103.0"
"Año 2011","Primero","Aragón","Teruel","43.0"
"Año 2011","Primero","Aragón","Zaragoza","619.0"
"Año 2011","Primero","Principado de Asturias","Asturias","610.0"
"Año 2011","Primero","Illes Balears","Illes Balears","1032.0"
"Año 2011","Primero","Canarias","Las Palmas","1088.0"
"Año 2011","Primero","Canarias","Santa Cruz de Tenerife","859.0"
"Año 2011","Primero","Cantabria","Cantabria","262.0"
"Año 2011","Primero","Castilla y León","Ávila","104.0"
"Año 2011","Primero","Castilla y León","Burgos","183.0"
"Año 2011","Primero","Castilla y León","León","216.0"
"Año 2011","Primero","Castilla y León","Palencia","88.0"
"Año 2011","Primero","Castilla y León","Salamanca","120.0"
"Año 2011","Primero","Castilla y León","Segovia","46.0"
"Año 2011","Primero","Castilla y León","Soria","38.0"
"Año 2011","Primero","Castilla y León","Valladolid","345.0"
"Año 2011","Primero","Castilla y León","Zamora","62.0"
"Año 2011","Primero","Castilla-La Mancha","Albacete","191.0"
"Año 2011","Primero","Castilla-La Mancha","Ciudad Real","288.0"
"Año 2011","Primero","Castilla-La Mancha","Cuenca","139.0"
"Año 2011","Primero","Castilla-La Mancha","Guadalajara","394.0"
"Año 2011","Primero","Castilla-La Mancha","Toledo","313.0"
"Año 2011","Primero","Cataluña","Barcelona","2939.0"
"Año 2011","Primero","Cataluña","Girona","504.0"
"Año 2011","Primero","Cataluña","Lleida","201.0"
"Año 2011","Primero","Cataluña","Tarragona","652.0"
"Año 2011","Primero","Comunitat Valenciana","Alicante/Alacant","1784.0"
"Año 2011","Primero","Comunitat Valenciana","Castellón/Castelló","395.0"
"Año 2011","Primero","Comunitat Valenciana","Valencia/València","2443.0"
"Año 2011","Primero","Extremadura","Badajoz","284.0"
"Año 2011","Primero","Extremadura","Cáceres","158.0"
"Año 2011","Primero","Galicia","A Coruña","505.0"
"Año 2011","Primero","Galicia","Lugo","158.0"
"Año 2011","Primero","Galicia","Ourense","158.0"
"Año 2011","Primero","Galicia","Pontevedra","542.0"
"Año 2011","Primero","Comunidad de Madrid","Madrid","4913.0"
"Año 2011","Primero","Región de Murcia","Murcia","1334.0"
"Año 2011","Primero","Comunidad Foral de Navarra","Navarra","344.0"
