Medidas cautelares;Comunidades y ciudades autónomas;Periodo;Total
Civiles;Galicia;2011;915
Civiles;Madrid, Comunidad de;2023;2.809
Civiles;Madrid, Comunidad de;2022;2.687
Civiles;Madrid, Comunidad de;2021;2.951
Civiles;Madrid, Comunidad de;2020;2.795
Civiles;Madrid, Comunidad de;2019;3.534
Civiles;Madrid, Comunidad de;2018;3.538
Civiles;Madrid, Comunidad de;2017;3.465
Civiles;Madrid, Comunidad de;2016;3.150
Civiles;Madrid, Comunidad de;2015;2.650
Civiles;Madrid, Comunidad de;2014;2.929
Civiles;Madrid, Comunidad de;2013;2.847
Civiles;Madrid, Comunidad de;2012;3.115
Civiles;Madrid, Comunidad de;2011;3.459
Civiles;Murcia, Región de;2023;1.985
Civiles;Murcia, Región de;2022;1.983
Civiles;Murcia, Región de;2021;1.676
Civiles;Murcia, Región de;2020;1.383
Civiles;Murcia, Región de;2019;1.588
Civiles;Murcia, Región de;2018;1.062
Civiles;Murcia, Región de;2017;1.061
Civiles;Murcia, Región de;2016;1.062
Civiles;Murcia, Región de;2015;943
Civiles;Murcia, Región de;2014;939
Civiles;Murcia, Región de;2013;837
Civiles;Murcia, Región de;2012;739
Civiles;Murcia, Región de;2011;788
Civiles;Navarra, Comunidad Foral de;2023;342
Civiles;Navarra, Comunidad Foral de;2022;292
Civiles;Navarra, Comunidad Foral de;2021;292
Civiles;Navarra, Comunidad Foral de;2020;230
Civiles;Navarra, Comunidad Foral de;2019;318
Civiles;Navarra, Comunidad Foral de;2018;275
Civiles;Navarra, Comunidad Foral de;2017;223
Civiles;Navarra, Comunidad Foral de;2016;226
Civiles;Navarra, Comunidad Foral de;2015;219
Civiles;Navarra, Comunidad Foral de;2014;190
Civiles;Navarra, Comunidad Foral de;2013;134
Civiles;Navarra, Comunidad Foral de;2012;198
Civiles;Navarra, Comunidad Foral de;2011;224
Civiles;País Vasco;2023;453
Civiles;País Vasco;2022;450
Civiles;País Vasco;2021;350
Civiles;País Vasco;2020;293
Civiles;País Vasco;2019;432
Civiles;País Vasco;2018;563
Civiles;País Vasco;2017;479
Civiles;País Vasco;2016;348
Civiles;País Vasco;2015;277
Civiles;País Vasco;2014;300
Civiles;País Vasco;2013;331
Civiles;País Vasco;2012;426
Civiles;País Vasco;2011;383
Civiles;Rioja, La;2023;222
Civiles;Rioja, La;2022;247
Civiles;Rioja, La;2021;309
Civiles;Rioja, La;2020;279
Civiles;Rioja, La;2019;323
Civiles;Rioja, La;2018;329
Civiles;Rioja, La;2017;334
Civiles;Rioja, La;2016;270
Civiles;Rioja, La;2015;235
Civiles;Rioja, La;2014;191
Civiles;Rioja, La;2013;166
Civiles;Rioja, La;2012;192
Civiles;Rioja, La;2011;177
Civiles;Ceuta;2023;41
Civiles;Ceuta;2022;47
Civiles;Ceuta;2021;65
Civiles;Ceuta;2020;17
Civiles;Ceuta;2019;37
Civiles;Ceuta;2018;26
Civiles;Ceuta;2017;49
Civiles;Ceuta;2016;64
Civiles;Ceuta;2015;46
Civiles;Ceuta;2014;59
Civiles;Ceuta;2013;36
Civiles;Ceuta;2012;0
Civiles;Ceuta;2011;3
Civiles;Melilla;2023;65
Civiles;Melilla;2022;110
Civiles;Melilla;2021;71
Civiles;Melilla;2020;123
Civiles;Melilla;2019;93
Civiles;Melilla;2018;59
Civiles;Melilla;2017;109
Civiles;Melilla;2016;35
Civiles;Melilla;2015;39
Civiles;Melilla;2014;21
Civiles;Melilla;2013;11
Civiles;Melilla;2012;2
Civiles;Melilla;2011;1
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2023;37
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2022;2.054
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2021;4.233
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2020;4.276
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2019;4.467
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2018;4.315
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2017;4.031
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2016;4.029
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2015;3.822
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2014;3.766
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2013;3.769
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2012;4.201
Atribución, uso y disfrute de la vivienda familiar;Total Nacional;2011;4.457
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2023;12
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2022;392
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2021;849
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2020;907
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2019;856
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2018;872
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2017;834
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2016;925
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2015;803
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2014;804
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2013;772
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2012;926
Atribución, uso y disfrute de la vivienda familiar;Andalucía;2011;920
Atribución, uso y disfrute de la vivienda familiar;Aragón;2023;0
Atribución, uso y disfrute de la vivienda familiar;Aragón;2022;66
Atribución, uso y disfrute de la vivienda familiar;Aragón;2021;149
Atribución, uso y disfrute de la vivienda familiar;Aragón;2020;156
Atribución, uso y disfrute de la vivienda familiar;Aragón;2019;139
Atribución, uso y disfrute de la vivienda familiar;Aragón;2018;166
Atribución, uso y disfrute de la vivienda familiar;Aragón;2017;154
Atribución, uso y disfrute de la vivienda familiar;Aragón;2016;188
Atribución, uso y disfrute de la vivienda familiar;Aragón;2015;152
Atribución, uso y disfrute de la vivienda familiar;Aragón;2014;141
Atribución, uso y disfrute de la vivienda familiar;Aragón;2013;152
Atribución, uso y disfrute de la vivienda familiar;Aragón;2012;135
Atribución, uso y disfrute de la vivienda familiar;Aragón;2011;162
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2023;0
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2022;49
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2021;71
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2020;79
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2019;98
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2018;68
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2017;69
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2016;71
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2015;67
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2014;59
Atribución, uso y disfrute de la vivienda familiar;Asturias, Principado de;2013;66
