Lugar de nacimiento;Edad de la victima;Periodo;Total
Europa;De 20 a 24 años;2017;2.476
Europa;De 20 a 24 años;2016;2.512
Europa;De 20 a 24 años;2015;2.425
Europa;De 20 a 24 años;2014;2.346
Europa;De 20 a 24 años;2013;2.454
Europa;De 20 a 24 años;2012;2.778
Europa;De 20 a 24 años;2011;3.078
Europa;De 25 a 29 años;2023;2.925
Europa;De 25 a 29 años;2022;2.642
Europa;De 25 a 29 años;2021;2.613
Europa;De 25 a 29 años;2020;2.574
Europa;De 25 a 29 años;2019;3.109
Europa;De 25 a 29 años;2018;3.136
Europa;De 25 a 29 años;2017;2.959
Europa;De 25 a 29 años;2016;2.979
Europa;De 25 a 29 años;2015;2.905
Europa;De 25 a 29 años;2014;2.919
Europa;De 25 a 29 años;2013;2.943
Europa;De 25 a 29 años;2012;3.235
Europa;De 25 a 29 años;2011;3.559
Europa;De 30 a 34 años;2023;3.661
Europa;De 30 a 34 años;2022;3.454
Europa;De 30 a 34 años;2021;3.217
Europa;De 30 a 34 años;2020;3.219
Europa;De 30 a 34 años;2019;3.597
Europa;De 30 a 34 años;2018;3.646
Europa;De 30 a 34 años;2017;3.405
Europa;De 30 a 34 años;2016;3.379
Europa;De 30 a 34 años;2015;3.431
Europa;De 30 a 34 años;2014;3.372
Europa;De 30 a 34 años;2013;3.497
Europa;De 30 a 34 años;2012;3.778
Europa;De 30 a 34 años;2011;4.042
Europa;De 35 a 39 años;2023;4.243
Europa;De 35 a 39 años;2022;3.841
Europa;De 35 a 39 años;2021;3.516
Europa;De 35 a 39 años;2020;3.535
Europa;De 35 a 39 años;2019;3.854
Europa;De 35 a 39 años;2018;4.050
Europa;De 35 a 39 años;2017;3.843
Europa;De 35 a 39 años;2016;3.862
Europa;De 35 a 39 años;2015;3.753
Europa;De 35 a 39 años;2014;3.767
Europa;De 35 a 39 años;2013;3.704
Europa;De 35 a 39 años;2012;3.853
Europa;De 35 a 39 años;2011;4.112
Europa;De 40 a 44 años;2023;4.113
Europa;De 40 a 44 años;2022;3.788
Europa;De 40 a 44 años;2021;3.398
Europa;De 40 a 44 años;2020;3.309
Europa;De 40 a 44 años;2019;3.584
Europa;De 40 a 44 años;2018;3.479
Europa;De 40 a 44 años;2017;3.222
Europa;De 40 a 44 años;2016;3.301
Europa;De 40 a 44 años;2015;3.068
Europa;De 40 a 44 años;2014;3.111
Europa;De 40 a 44 años;2013;3.026
Europa;De 40 a 44 años;2012;3.210
Europa;De 40 a 44 años;2011;3.395
Europa;De 45 a 49 años;2023;3.042
Europa;De 45 a 49 años;2022;2.714
Europa;De 45 a 49 años;2021;2.469
Europa;De 45 a 49 años;2020;2.320
Europa;De 45 a 49 años;2019;2.490
Europa;De 45 a 49 años;2018;2.513
Europa;De 45 a 49 años;2017;2.410
Europa;De 45 a 49 años;2016;2.204
Europa;De 45 a 49 años;2015;2.210
Europa;De 45 a 49 años;2014;2.121
Europa;De 45 a 49 años;2013;2.110
Europa;De 45 a 49 años;2012;1.992
Europa;De 45 a 49 años;2011;2.294
Europa;De 50 a 54 años;2023;1.753
Europa;De 50 a 54 años;2022;1.602
Europa;De 50 a 54 años;2021;1.446
Europa;De 50 a 54 años;2020;1.422
Europa;De 50 a 54 años;2019;1.401
Europa;De 50 a 54 años;2018;1.399
Europa;De 50 a 54 años;2017;1.358
Europa;De 50 a 54 años;2016;1.302
Europa;De 50 a 54 años;2015;1.313
Europa;De 50 a 54 años;2014;1.135
Europa;De 50 a 54 años;2013;1.106
Europa;De 50 a 54 años;2012;1.153
Europa;De 50 a 54 años;2011;1.283
Europa;De 55 a 59 años;2023;975
Europa;De 55 a 59 años;2022;852
Europa;De 55 a 59 años;2021;726
Europa;De 55 a 59 años;2020;725
Europa;De 55 a 59 años;2019;716
Europa;De 55 a 59 años;2018;719
Europa;De 55 a 59 años;2017;700
Europa;De 55 a 59 años;2016;656
Europa;De 55 a 59 años;2015;661
Europa;De 55 a 59 años;2014;606
Europa;De 55 a 59 años;2013;552
Europa;De 55 a 59 años;2012;549
Europa;De 55 a 59 años;2011;638
Europa;De 60 a 64 años;2023;463
Europa;De 60 a 64 años;2022;406
Europa;De 60 a 64 años;2021;391
Europa;De 60 a 64 años;2020;393
Europa;De 60 a 64 años;2019;393
Europa;De 60 a 64 años;2018;410
Europa;De 60 a 64 años;2017;353
Europa;De 60 a 64 años;2016;374
Europa;De 60 a 64 años;2015;357
Europa;De 60 a 64 años;2014;359
Europa;De 60 a 64 años;2013;382
Europa;De 60 a 64 años;2012;344
Europa;De 60 a 64 años;2011;361
Europa;De 65 a 69 años;2023;299
Europa;De 65 a 69 años;2022;294
Europa;De 65 a 69 años;2021;226
Europa;De 65 a 69 años;2020;220
Europa;De 65 a 69 años;2019;235
Europa;De 65 a 69 años;2018;253
Europa;De 65 a 69 años;2017;232
Europa;De 65 a 69 años;2016;236
Europa;De 65 a 69 años;2015;255
Europa;De 65 a 69 años;2014;261
Europa;De 65 a 69 años;2013;211
Europa;De 65 a 69 años;2012;226
Europa;De 65 a 69 años;2011;257
Europa;De 70 a 74 años  ;2023;187
Europa;De 70 a 74 años  ;2022;179
Europa;De 70 a 74 años  ;2021;154
Europa;De 70 a 74 años  ;2020;165
Europa;De 70 a 74 años  ;2019;171
Europa;De 70 a 74 años  ;2018;148
Europa;De 70 a 74 años  ;2017;155
Europa;De 70 a 74 años  ;2016;140
Europa;De 70 a 74 años  ;2015;140
Europa;De 70 a 74 años  ;2014;139
Europa;De 70 a 74 años  ;2013;110
Europa;De 70 a 74 años  ;2012;132
Europa;De 70 a 74 años  ;2011;142
Europa;75 y más años;2023;200
Europa;75 y más años;2022;196
Europa;75 y más años;2021;150
Europa;75 y más años;2020;170
Europa;75 y más años;2019;187
Europa;75 y más años;2018;148
Europa;75 y más años;2017;173
Europa;75 y más años;2016;180
Europa;75 y más años;2015;158
Europa;75 y más años;2014;148
Europa;75 y más años;2013;145
Europa;75 y más años;2012;152
Europa;75 y más años;2011;161
España;Todas las edades;2023;22.532
España;Todas las edades;2022;20.511
España;Todas las edades;2021;19.086
España;Todas las edades;2020;18.379
España;Todas las edades;2019;20.126
España;Todas las edades;2018;20.317
España;Todas las edades;2017;19.384
España;Todas las edades;2016;19.051
España;Todas las edades;2015;18.609
España;Todas las edades;2014;18.412
España;Todas las edades;2013;18.175
España;Todas las edades;2012;19.097
España;Todas las edades;2011;20.713
España;Menos de 18 años;2023;583
España;Menos de 18 años;2022;528
España;Menos de 18 años;2021;575
España;Menos de 18 años;2020;436
España;Menos de 18 años;2019;600
España;Menos de 18 años;2018;544
España;Menos de 18 años;2017;522
España;Menos de 18 años;2016;444
España;Menos de 18 años;2015;508
España;Menos de 18 años;2014;460
España;Menos de 18 años;2013;381
España;Menos de 18 años;2012;419
España;Menos de 18 años;2011;431
España;De 18 a 19 años;2023;841
España;De 18 a 19 años;2022;737
España;De 18 a 19 años;2021;745
España;De 18 a 19 años;2020;676
España;De 18 a 19 años;2019;750
España;De 18 a 19 años;2018;761
España;De 18 a 19 años;2017;706
España;De 18 a 19 años;2016;682
España;De 18 a 19 años;2015;659
España;De 18 a 19 años;2014;669
España;De 18 a 19 años;2013;613
España;De 18 a 19 años;2012;632
España;De 18 a 19 años;2011;753
España;De 20 a 24 años;2023;2.486
España;De 20 a 24 años;2022;2.215
España;De 20 a 24 años;2021;2.106
España;De 20 a 24 años;2020;1.925
España;De 20 a 24 años;2019;2.140
España;De 20 a 24 años;2018;2.278
España;De 20 a 24 años;2017;2.177
España;De 20 a 24 años;2016;2.206
España;De 20 a 24 años;2015;2.082
España;De 20 a 24 años;2014;2.062
España;De 20 a 24 años;2013;2.116
España;De 20 a 24 años;2012;2.343
España;De 20 a 24 años;2011;2.539
España;De 25 a 29 años;2023;2.517
España;De 25 a 29 años;2022;2.287
España;De 25 a 29 años;2021;2.287
España;De 25 a 29 años;2020;2.244
España;De 25 a 29 años;2019;2.693
España;De 25 a 29 años;2018;2.646
España;De 25 a 29 años;2017;2.499
España;De 25 a 29 años;2016;2.497
España;De 25 a 29 años;2015;2.408
España;De 25 a 29 años;2014;2.389
España;De 25 a 29 años;2013;2.382
España;De 25 a 29 años;2012;2.642
España;De 25 a 29 años;2011;2.844
España;De 30 a 34 años;2023;3.145
España;De 30 a 34 años;2022;2.961
España;De 30 a 34 años;2021;2.730
España;De 30 a 34 años;2020;2.716
España;De 30 a 34 años;2019;2.950
España;De 30 a 34 años;2018;2.996
España;De 30 a 34 años;2017;2.855
España;De 30 a 34 años;2016;2.780
España;De 30 a 34 años;2015;2.824
España;De 30 a 34 años;2014;2.773
España;De 30 a 34 años;2013;2.915
España;De 30 a 34 años;2012;3.118
España;De 30 a 34 años;2011;3.302
España;De 35 a 39 años;2023;3.534
España;De 35 a 39 años;2022;3.237
España;De 35 a 39 años;2021;2.957
España;De 35 a 39 años;2020;2.957
España;De 35 a 39 años;2019;3.204
España;De 35 a 39 años;2018;3.309
España;De 35 a 39 años;2017;3.190
España;De 35 a 39 años;2016;3.222
España;De 35 a 39 años;2015;3.117
España;De 35 a 39 años;2014;3.161
España;De 35 a 39 años;2013;3.122
España;De 35 a 39 años;2012;3.187
España;De 35 a 39 años;2011;3.441
España;De 40 a 44 años;2023;3.471
España;De 40 a 44 años;2022;3.234
España;De 40 a 44 años;2021;2.880
España;De 40 a 44 años;2020;2.755
España;De 40 a 44 años;2019;2.967
España;De 40 a 44 años;2018;2.959
España;De 40 a 44 años;2017;2.750
España;De 40 a 44 años;2016;2.762
España;De 40 a 44 años;2015;2.608
España;De 40 a 44 años;2014;2.662
España;De 40 a 44 años;2013;2.568
España;De 40 a 44 años;2012;2.684
España;De 40 a 44 años;2011;2.859
España;De 45 a 49 años;2023;2.610
España;De 45 a 49 años;2022;2.296
España;De 45 a 49 años;2021;2.116
España;De 45 a 49 años;2020;1.983
España;De 45 a 49 años;2019;2.105
España;De 45 a 49 años;2018;2.128
España;De 45 a 49 años;2017;2.073
España;De 45 a 49 años;2016;1.890
España;De 45 a 49 años;2015;1.846
España;De 45 a 49 años;2014;1.833
España;De 45 a 49 años;2013;1.828
España;De 45 a 49 años;2012;1.736
España;De 45 a 49 años;2011;1.957
España;De 50 a 54 años;2023;1.500
España;De 50 a 54 años;2022;1.348
España;De 50 a 54 años;2021;1.226
España;De 50 a 54 años;2020;1.211
España;De 50 a 54 años;2019;1.193
España;De 50 a 54 años;2018;1.176
España;De 50 a 54 años;2017;1.164
España;De 50 a 54 años;2016;1.121
España;De 50 a 54 años;2015;1.144
España;De 50 a 54 años;2014;1.012
España;De 50 a 54 años;2013;954
España;De 50 a 54 años;2012;1.031
España;De 50 a 54 años;2011;1.140
España;De 55 a 59 años;2023;818
España;De 55 a 59 años;2022;716
España;De 55 a 59 años;2021;621
España;De 55 a 59 años;2020;616
España;De 55 a 59 años;2019;621
España;De 55 a 59 años;2018;637
España;De 55 a 59 años;2017;614
España;De 55 a 59 años;2016;588
España;De 55 a 59 años;2015;587
España;De 55 a 59 años;2014;545
España;De 55 a 59 años;2013;501
España;De 55 a 59 años;2012;500
España;De 55 a 59 años;2011;585
España;De 60 a 64 años;2023;395
España;De 60 a 64 años;2022;345
España;De 60 a 64 años;2021;343
España;De 60 a 64 años;2020;348
España;De 60 a 64 años;2019;351
España;De 60 a 64 años;2018;366
España;De 60 a 64 años;2017;315
España;De 60 a 64 años;2016;335
España;De 60 a 64 años;2015;315
España;De 60 a 64 años;2014;328
España;De 60 a 64 años;2013;353
España;De 60 a 64 años;2012;319
España;De 60 a 64 años;2011;336
España;De 65 a 69 años;2023;273
España;De 65 a 69 años;2022;259
España;De 65 a 69 años;2021;209
España;De 65 a 69 años;2020;205
España;De 65 a 69 años;2019;214
España;De 65 a 69 años;2018;239
España;De 65 a 69 años;2017;208
España;De 65 a 69 años;2016;217
España;De 65 a 69 años;2015;236
España;De 65 a 69 años;2014;240
España;De 65 a 69 años;2013;199
España;De 65 a 69 años;2012;215
España;De 65 a 69 años;2011;239
España;De 70 a 74 años  ;2023;170
España;De 70 a 74 años  ;2022;164
España;De 70 a 74 años  ;2021;146
España;De 70 a 74 años  ;2020;150
España;De 70 a 74 años  ;2019;162
España;De 70 a 74 años  ;2018;138
España;De 70 a 74 años  ;2017;149
España;De 70 a 74 años  ;2016;132
España;De 70 a 74 años  ;2015;126
España;De 70 a 74 años  ;2014;134
España;De 70 a 74 años  ;2013;105
España;De 70 a 74 años  ;2012;122
España;De 70 a 74 años  ;2011;134
España;75 y más años;2023;189
España;75 y más años;2022;184
España;75 y más años;2021;145
España;75 y más años;2020;157
España;75 y más años;2019;176
España;75 y más años;2018;140
España;75 y más años;2017;162
España;75 y más años;2016;175
España;75 y más años;2015;149
España;75 y más años;2014;144
España;75 y más años;2013;138
España;75 y más años;2012;149
España;75 y más años;2011;153
UE28 sin España;Todas las edades;2023;""
UE28 sin España;Todas las edades;2022;""
UE28 sin España;Todas las edades;2021;""
UE28 sin España;Todas las edades;2020;""
UE28 sin España;Todas las edades;2019;2.941
UE28 sin España;Todas las edades;2018;3.059
UE28 sin España;Todas las edades;2017;2.702
UE28 sin España;Todas las edades;2016;2.820
UE28 sin España;Todas las edades;2015;2.853
UE28 sin España;Todas las edades;2014;2.675
UE28 sin España;Todas las edades;2013;2.685
UE28 sin España;Todas las edades;2012;2.958
UE28 sin España;Todas las edades;2011;3.356
UE28 sin España;Menos de 18 años;2023;""
UE28 sin España;Menos de 18 años;2022;""
UE28 sin España;Menos de 18 años;2021;""
UE28 sin España;Menos de 18 años;2020;""
UE28 sin España;Menos de 18 años;2019;38
UE28 sin España;Menos de 18 años;2018;43
UE28 sin España;Menos de 18 años;2017;47
UE28 sin España;Menos de 18 años;2016;46
UE28 sin España;Menos de 18 años;2015;47
UE28 sin España;Menos de 18 años;2014;38
UE28 sin España;Menos de 18 años;2013;45
UE28 sin España;Menos de 18 años;2012;43
UE28 sin España;Menos de 18 años;2011;38
UE28 sin España;De 18 a 19 años;2023;""
UE28 sin España;De 18 a 19 años;2022;""
UE28 sin España;De 18 a 19 años;2021;""
UE28 sin España;De 18 a 19 años;2020;""
UE28 sin España;De 18 a 19 años;2019;78
UE28 sin España;De 18 a 19 años;2018;76
UE28 sin España;De 18 a 19 años;2017;70
UE28 sin España;De 18 a 19 años;2016;71
UE28 sin España;De 18 a 19 años;2015;78
UE28 sin España;De 18 a 19 años;2014;68
UE28 sin España;De 18 a 19 años;2013;63
UE28 sin España;De 18 a 19 años;2012;80
UE28 sin España;De 18 a 19 años;2011;89
UE28 sin España;De 20 a 24 años;2023;""
UE28 sin España;De 20 a 24 años;2022;""
UE28 sin España;De 20 a 24 años;2021;""
UE28 sin España;De 20 a 24 años;2020;""
UE28 sin España;De 20 a 24 años;2019;312
UE28 sin España;De 20 a 24 años;2018;285
UE28 sin España;De 20 a 24 años;2017;250
UE28 sin España;De 20 a 24 años;2016;264
UE28 sin España;De 20 a 24 años;2015;312
UE28 sin España;De 20 a 24 años;2014;256
UE28 sin España;De 20 a 24 años;2013;305
UE28 sin España;De 20 a 24 años;2012;401
UE28 sin España;De 20 a 24 años;2011;491
UE28 sin España;De 25 a 29 años;2023;""
UE28 sin España;De 25 a 29 años;2022;""
UE28 sin España;De 25 a 29 años;2021;""
UE28 sin España;De 25 a 29 años;2020;""
UE28 sin España;De 25 a 29 años;2019;351
UE28 sin España;De 25 a 29 años;2018;428
UE28 sin España;De 25 a 29 años;2017;393
UE28 sin España;De 25 a 29 años;2016;429
UE28 sin España;De 25 a 29 años;2015;436
UE28 sin España;De 25 a 29 años;2014;475
UE28 sin España;De 25 a 29 años;2013;494
UE28 sin España;De 25 a 29 años;2012;516
UE28 sin España;De 25 a 29 años;2011;611
UE28 sin España;De 30 a 34 años;2023;""
UE28 sin España;De 30 a 34 años;2022;""
UE28 sin España;De 30 a 34 años;2021;""
UE28 sin España;De 30 a 34 años;2020;""
UE28 sin España;De 30 a 34 años;2019;518
UE28 sin España;De 30 a 34 años;2018;555
UE28 sin España;De 30 a 34 años;2017;458
UE28 sin España;De 30 a 34 años;2016;501
UE28 sin España;De 30 a 34 años;2015;496
UE28 sin España;De 30 a 34 años;2014;503
UE28 sin España;De 30 a 34 años;2013;467
UE28 sin España;De 30 a 34 años;2012;526
UE28 sin España;De 30 a 34 años;2011;602
UE28 sin España;De 35 a 39 años;2023;""
UE28 sin España;De 35 a 39 años;2022;""
UE28 sin España;De 35 a 39 años;2021;""
UE28 sin España;De 35 a 39 años;2020;""
UE28 sin España;De 35 a 39 años;2019;505
UE28 sin España;De 35 a 39 años;2018;598
UE28 sin España;De 35 a 39 años;2017;516
UE28 sin España;De 35 a 39 años;2016;518
UE28 sin España;De 35 a 39 años;2015;503
UE28 sin España;De 35 a 39 años;2014;497
UE28 sin España;De 35 a 39 años;2013;471
UE28 sin España;De 35 a 39 años;2012;536
UE28 sin España;De 35 a 39 años;2011;552
UE28 sin España;De 40 a 44 años;2023;""
UE28 sin España;De 40 a 44 años;2022;""
UE28 sin España;De 40 a 44 años;2021;""
UE28 sin España;De 40 a 44 años;2020;""
UE28 sin España;De 40 a 44 años;2019;483
UE28 sin España;De 40 a 44 años;2018;423
UE28 sin España;De 40 a 44 años;2017;387
UE28 sin España;De 40 a 44 años;2016;443
UE28 sin España;De 40 a 44 años;2015;383
UE28 sin España;De 40 a 44 años;2014;370
UE28 sin España;De 40 a 44 años;2013;386
UE28 sin España;De 40 a 44 años;2012;451
UE28 sin España;De 40 a 44 años;2011;463
UE28 sin España;De 45 a 49 años;2023;""
UE28 sin España;De 45 a 49 años;2022;""
UE28 sin España;De 45 a 49 años;2021;""
UE28 sin España;De 45 a 49 años;2020;""
UE28 sin España;De 45 a 49 años;2019;321
UE28 sin España;De 45 a 49 años;2018;318
UE28 sin España;De 45 a 49 años;2017;277
UE28 sin España;De 45 a 49 años;2016;272
UE28 sin España;De 45 a 49 años;2015;316
UE28 sin España;De 45 a 49 años;2014;261
UE28 sin España;De 45 a 49 años;2013;242
UE28 sin España;De 45 a 49 años;2012;211
UE28 sin España;De 45 a 49 años;2011;286
UE28 sin España;De 50 a 54 años;2023;""
UE28 sin España;De 50 a 54 años;2022;""
UE28 sin España;De 50 a 54 años;2021;""
UE28 sin España;De 50 a 54 años;2020;""
UE28 sin España;De 50 a 54 años;2019;178
UE28 sin España;De 50 a 54 años;2018;195
UE28 sin España;De 50 a 54 años;2017;164
UE28 sin España;De 50 a 54 años;2016;158
UE28 sin España;De 50 a 54 años;2015;149
UE28 sin España;De 50 a 54 años;2014;100
UE28 sin España;De 50 a 54 años;2013;121
UE28 sin España;De 50 a 54 años;2012;104
UE28 sin España;De 50 a 54 años;2011;125
