Comunidades y ciudades autónomas;Lugar de nacimiento de la victima;Periodo;Total
Canarias;UE28 sin España;2019;231
Canarias;UE28 sin España;2018;260
Canarias;UE28 sin España;2017;164
Canarias;UE28 sin España;2016;169
Canarias;UE28 sin España;2015;159
Canarias;UE28 sin España;2014;116
Canarias;UE28 sin España;2013;160
Canarias;UE28 sin España;2012;144
Canarias;UE28 sin España;2011;136
Canarias;UE27_2020 sin España;2023;211
Canarias;UE27_2020 sin España;2022;157
Canarias;UE27_2020 sin España;2021;123
Canarias;UE27_2020 sin España;2020;116
Canarias;UE27_2020 sin España;2019;""
Canarias;UE27_2020 sin España;2018;""
Canarias;UE27_2020 sin España;2017;""
Canarias;UE27_2020 sin España;2016;""
Canarias;UE27_2020 sin España;2015;""
Canarias;UE27_2020 sin España;2014;""
Canarias;UE27_2020 sin España;2013;""
Canarias;UE27_2020 sin España;2012;""
Canarias;UE27_2020 sin España;2011;""
Canarias;Europa menos UE28;2023;""
Canarias;Europa menos UE28;2022;""
Canarias;Europa menos UE28;2021;""
Canarias;Europa menos UE28;2020;""
Canarias;Europa menos UE28;2019;21
Canarias;Europa menos UE28;2018;17
Canarias;Europa menos UE28;2017;10
Canarias;Europa menos UE28;2016;14
Canarias;Europa menos UE28;2015;18
Canarias;Europa menos UE28;2014;16
Canarias;Europa menos UE28;2013;17
Canarias;Europa menos UE28;2012;23
Canarias;Europa menos UE28;2011;8
Canarias;Europa menos UE27_2020;2023;249
Canarias;Europa menos UE27_2020;2022;181
Canarias;Europa menos UE27_2020;2021;89
Canarias;Europa menos UE27_2020;2020;77
Canarias;Europa menos UE27_2020;2019;""
Canarias;Europa menos UE27_2020;2018;""
Canarias;Europa menos UE27_2020;2017;""
Canarias;Europa menos UE27_2020;2016;""
Canarias;Europa menos UE27_2020;2015;""
Canarias;Europa menos UE27_2020;2014;""
Canarias;Europa menos UE27_2020;2013;""
Canarias;Europa menos UE27_2020;2012;""
Canarias;Europa menos UE27_2020;2011;""
Canarias;África;2023;115
Canarias;África;2022;110
Canarias;África;2021;97
Canarias;África;2020;104
Canarias;África;2019;78
Canarias;África;2018;71
Canarias;África;2017;68
Canarias;África;2016;65
Canarias;África;2015;55
Canarias;África;2014;72
Canarias;África;2013;70
Canarias;África;2012;85
Canarias;África;2011;91
Canarias;América;2023;419
Canarias;América;2022;277
Canarias;América;2021;278
Canarias;América;2020;263
Canarias;América;2019;232
Canarias;América;2018;244
Canarias;América;2017;151
Canarias;América;2016;154
Canarias;América;2015;111
Canarias;América;2014;115
Canarias;América;2013;133
Canarias;América;2012;159
Canarias;América;2011;185
Canarias;Asia;2023;18
Canarias;Asia;2022;11
Canarias;Asia;2021;12
Canarias;Asia;2020;12
Canarias;Asia;2019;9
Canarias;Asia;2018;13
Canarias;Asia;2017;10
Canarias;Asia;2016;10
Canarias;Asia;2015;6
Canarias;Asia;2014;5
Canarias;Asia;2013;9
Canarias;Asia;2012;13
Canarias;Asia;2011;4
Canarias;Oceanía ;2023;2
Canarias;Oceanía ;2022;2
Canarias;Oceanía ;2021;0
Canarias;Oceanía ;2020;2
Canarias;Oceanía ;2019;0
Canarias;Oceanía ;2018;0
Canarias;Oceanía ;2017;0
Canarias;Oceanía ;2016;0
Canarias;Oceanía ;2015;0
Canarias;Oceanía ;2014;0
Canarias;Oceanía ;2013;1
Canarias;Oceanía ;2012;0
Canarias;Oceanía ;2011;0
Cantabria;Total;2023;727
Cantabria;Total;2022;600
Cantabria;Total;2021;485
Cantabria;Total;2020;406
Cantabria;Total;2019;460
Cantabria;Total;2018;495
Cantabria;Total;2017;452
Cantabria;Total;2016;471
Cantabria;Total;2015;382
Cantabria;Total;2014;375
Cantabria;Total;2013;350
Cantabria;Total;2012;327
Cantabria;Total;2011;402
Cantabria;Europa;2023;555
Cantabria;Europa;2022;458
Cantabria;Europa;2021;372
Cantabria;Europa;2020;307
Cantabria;Europa;2019;366
Cantabria;Europa;2018;394
Cantabria;Europa;2017;372
Cantabria;Europa;2016;394
Cantabria;Europa;2015;322
Cantabria;Europa;2014;302
Cantabria;Europa;2013;292
Cantabria;Europa;2012;280
Cantabria;Europa;2011;338
Cantabria;España;2023;502
Cantabria;España;2022;411
Cantabria;España;2021;326
Cantabria;España;2020;282
Cantabria;España;2019;328
Cantabria;España;2018;353
Cantabria;España;2017;332
Cantabria;España;2016;353
Cantabria;España;2015;288
Cantabria;España;2014;279
Cantabria;España;2013;261
Cantabria;España;2012;245
Cantabria;España;2011;305
Cantabria;UE28 sin España;2023;""
Cantabria;UE28 sin España;2022;""
Cantabria;UE28 sin España;2021;""
Cantabria;UE28 sin España;2020;""
Cantabria;UE28 sin España;2019;25
Cantabria;UE28 sin España;2018;34
Cantabria;UE28 sin España;2017;34
Cantabria;UE28 sin España;2016;28
Cantabria;UE28 sin España;2015;28
Cantabria;UE28 sin España;2014;17
Cantabria;UE28 sin España;2013;27
Cantabria;UE28 sin España;2012;21
Cantabria;UE28 sin España;2011;27
Cantabria;UE27_2020 sin España;2023;32
Cantabria;UE27_2020 sin España;2022;30
Cantabria;UE27_2020 sin España;2021;29
Cantabria;UE27_2020 sin España;2020;13
Cantabria;UE27_2020 sin España;2019;""
Cantabria;UE27_2020 sin España;2018;""
Cantabria;UE27_2020 sin España;2017;""
Cantabria;UE27_2020 sin España;2016;""
Cantabria;UE27_2020 sin España;2015;""
Cantabria;UE27_2020 sin España;2014;""
Cantabria;UE27_2020 sin España;2013;""
Cantabria;UE27_2020 sin España;2012;""
Cantabria;UE27_2020 sin España;2011;""
Cantabria;Europa menos UE28;2023;""
Cantabria;Europa menos UE28;2022;""
Cantabria;Europa menos UE28;2021;""
Cantabria;Europa menos UE28;2020;""
Cantabria;Europa menos UE28;2019;13
Cantabria;Europa menos UE28;2018;7
Cantabria;Europa menos UE28;2017;6
Cantabria;Europa menos UE28;2016;13
Cantabria;Europa menos UE28;2015;6
Cantabria;Europa menos UE28;2014;6
Cantabria;Europa menos UE28;2013;4
Cantabria;Europa menos UE28;2012;14
Cantabria;Europa menos UE28;2011;6
Cantabria;Europa menos UE27_2020;2023;21
Cantabria;Europa menos UE27_2020;2022;17
Cantabria;Europa menos UE27_2020;2021;17
Cantabria;Europa menos UE27_2020;2020;12
Cantabria;Europa menos UE27_2020;2019;""
Cantabria;Europa menos UE27_2020;2018;""
Cantabria;Europa menos UE27_2020;2017;""
Cantabria;Europa menos UE27_2020;2016;""
Cantabria;Europa menos UE27_2020;2015;""
Cantabria;Europa menos UE27_2020;2014;""
Cantabria;Europa menos UE27_2020;2013;""
Cantabria;Europa menos UE27_2020;2012;""
Cantabria;Europa menos UE27_2020;2011;""
Cantabria;África;2023;29
Cantabria;África;2022;24
Cantabria;África;2021;27
Cantabria;África;2020;15
Cantabria;África;2019;19
Cantabria;África;2018;16
Cantabria;África;2017;11
Cantabria;África;2016;13
Cantabria;África;2015;14
Cantabria;África;2014;21
Cantabria;África;2013;15
Cantabria;África;2012;9
Cantabria;África;2011;12
Cantabria;América;2023;135
Cantabria;América;2022;116
Cantabria;América;2021;80
Cantabria;América;2020;80
Cantabria;América;2019;71
Cantabria;América;2018;81
Cantabria;América;2017;69
Cantabria;América;2016;62
Cantabria;América;2015;46
Cantabria;América;2014;51
Cantabria;América;2013;42
Cantabria;América;2012;35
Cantabria;América;2011;52
Cantabria;Asia;2023;8
Cantabria;Asia;2022;1
Cantabria;Asia;2021;6
Cantabria;Asia;2020;4
Cantabria;Asia;2019;4
Cantabria;Asia;2018;4
Cantabria;Asia;2017;0
Cantabria;Asia;2016;2
Cantabria;Asia;2015;0
Cantabria;Asia;2014;1
Cantabria;Asia;2013;1
Cantabria;Asia;2012;3
Cantabria;Asia;2011;0
Cantabria;Oceanía ;2023;0
Cantabria;Oceanía ;2022;1
Cantabria;Oceanía ;2021;0
Cantabria;Oceanía ;2020;0
Cantabria;Oceanía ;2019;0
Cantabria;Oceanía ;2018;0
Cantabria;Oceanía ;2017;0
Cantabria;Oceanía ;2016;0
Cantabria;Oceanía ;2015;0
Cantabria;Oceanía ;2014;0
Cantabria;Oceanía ;2013;0
Cantabria;Oceanía ;2012;0
Cantabria;Oceanía ;2011;0
Castilla y León;Total;2023;1.923
Castilla y León;Total;2022;1.701
Castilla y León;Total;2021;1.557
Castilla y León;Total;2020;1.496
Castilla y León;Total;2019;1.520
Castilla y León;Total;2018;1.450
Castilla y León;Total;2017;1.434
Castilla y León;Total;2016;1.389
Castilla y León;Total;2015;1.475
Castilla y León;Total;2014;1.531
Castilla y León;Total;2013;1.421
Castilla y León;Total;2012;1.511
Castilla y León;Total;2011;1.629
Castilla y León;Europa;2023;1.465
Castilla y León;Europa;2022;1.347
Castilla y León;Europa;2021;1.223
Castilla y León;Europa;2020;1.206
Castilla y León;Europa;2019;1.227
Castilla y León;Europa;2018;1.214
Castilla y León;Europa;2017;1.199
Castilla y León;Europa;2016;1.179
Castilla y León;Europa;2015;1.240
Castilla y León;Europa;2014;1.282
Castilla y León;Europa;2013;1.202
Castilla y León;Europa;2012;1.256
Castilla y León;Europa;2011;1.339
Castilla y León;España;2023;1.270
Castilla y León;España;2022;1.156
Castilla y León;España;2021;1.060
Castilla y León;España;2020;1.031
Castilla y León;España;2019;1.015
Castilla y León;España;2018;1.039
Castilla y León;España;2017;1.007
Castilla y León;España;2016;1.017
Castilla y León;España;2015;1.035
Castilla y León;España;2014;1.078
Castilla y León;España;2013;1.009
Castilla y León;España;2012;1.057
Castilla y León;España;2011;1.086
Castilla y León;UE28 sin España;2023;""
Castilla y León;UE28 sin España;2022;""
Castilla y León;UE28 sin España;2021;""
Castilla y León;UE28 sin España;2020;""
Castilla y León;UE28 sin España;2019;208
Castilla y León;UE28 sin España;2018;164
Castilla y León;UE28 sin España;2017;181
Castilla y León;UE28 sin España;2016;156
Castilla y León;UE28 sin España;2015;194
Castilla y León;UE28 sin España;2014;190
Castilla y León;UE28 sin España;2013;186
Castilla y León;UE28 sin España;2012;194
Castilla y León;UE28 sin España;2011;245
Castilla y León;UE27_2020 sin España;2023;180
Castilla y León;UE27_2020 sin España;2022;175
Castilla y León;UE27_2020 sin España;2021;158
Castilla y León;UE27_2020 sin España;2020;157
Castilla y León;UE27_2020 sin España;2019;""
Castilla y León;UE27_2020 sin España;2018;""
Castilla y León;UE27_2020 sin España;2017;""
Castilla y León;UE27_2020 sin España;2016;""
Castilla y León;UE27_2020 sin España;2015;""
Castilla y León;UE27_2020 sin España;2014;""
Castilla y León;UE27_2020 sin España;2013;""
Castilla y León;UE27_2020 sin España;2012;""
Castilla y León;UE27_2020 sin España;2011;""
Castilla y León;Europa menos UE28;2023;""
Castilla y León;Europa menos UE28;2022;""
Castilla y León;Europa menos UE28;2021;""
Castilla y León;Europa menos UE28;2020;""
Castilla y León;Europa menos UE28;2019;4
Castilla y León;Europa menos UE28;2018;11
Castilla y León;Europa menos UE28;2017;11
Castilla y León;Europa menos UE28;2016;6
Castilla y León;Europa menos UE28;2015;11
Castilla y León;Europa menos UE28;2014;14
Castilla y León;Europa menos UE28;2013;7
Castilla y León;Europa menos UE28;2012;5
Castilla y León;Europa menos UE28;2011;8
Castilla y León;Europa menos UE27_2020;2023;15
Castilla y León;Europa menos UE27_2020;2022;16
Castilla y León;Europa menos UE27_2020;2021;5
Castilla y León;Europa menos UE27_2020;2020;18
Castilla y León;Europa menos UE27_2020;2019;""
Castilla y León;Europa menos UE27_2020;2018;""
Castilla y León;Europa menos UE27_2020;2017;""
Castilla y León;Europa menos UE27_2020;2016;""
Castilla y León;Europa menos UE27_2020;2015;""
Castilla y León;Europa menos UE27_2020;2014;""
Castilla y León;Europa menos UE27_2020;2013;""
Castilla y León;Europa menos UE27_2020;2012;""
Castilla y León;Europa menos UE27_2020;2011;""
Castilla y León;África;2023;116
Castilla y León;África;2022;95
Castilla y León;África;2021;114
Castilla y León;África;2020;79
Castilla y León;África;2019;98
Castilla y León;África;2018;59
Castilla y León;África;2017;79
Castilla y León;África;2016;77
Castilla y León;África;2015;82
Castilla y León;África;2014;87
Castilla y León;África;2013;68
Castilla y León;África;2012;86
Castilla y León;África;2011;92
Castilla y León;América;2023;333
Castilla y León;América;2022;249
Castilla y León;América;2021;212
Castilla y León;América;2020;198
Castilla y León;América;2019;194
Castilla y León;América;2018;168
Castilla y León;América;2017;149
Castilla y León;América;2016;127
Castilla y León;América;2015;148
Castilla y León;América;2014;159
Castilla y León;América;2013;146
Castilla y León;América;2012;159
Castilla y León;América;2011;194
Castilla y León;Asia;2023;9
Castilla y León;Asia;2022;10
Castilla y León;Asia;2021;8
Castilla y León;Asia;2020;13
Castilla y León;Asia;2019;1
Castilla y León;Asia;2018;9
Castilla y León;Asia;2017;7
Castilla y León;Asia;2016;6
Castilla y León;Asia;2015;5
Castilla y León;Asia;2014;3
Castilla y León;Asia;2013;5
Castilla y León;Asia;2012;10
Castilla y León;Asia;2011;4
Castilla y León;Oceanía ;2023;0
Castilla y León;Oceanía ;2022;0
Castilla y León;Oceanía ;2021;0
Castilla y León;Oceanía ;2020;0
Castilla y León;Oceanía ;2019;0
Castilla y León;Oceanía ;2018;0
Castilla y León;Oceanía ;2017;0
Castilla y León;Oceanía ;2016;0
Castilla y León;Oceanía ;2015;0
Castilla y León;Oceanía ;2014;0
Castilla y León;Oceanía ;2013;0
Castilla y León;Oceanía ;2012;0
Castilla y León;Oceanía ;2011;0
Castilla - La Mancha;Total;2023;1.873
Castilla - La Mancha;Total;2022;1.858
Castilla - La Mancha;Total;2021;1.743
Castilla - La Mancha;Total;2020;1.502
Castilla - La Mancha;Total;2019;1.674
Castilla - La Mancha;Total;2018;1.664
Castilla - La Mancha;Total;2017;1.497
Castilla - La Mancha;Total;2016;1.527
Castilla - La Mancha;Total;2015;1.577
Castilla - La Mancha;Total;2014;1.515
Castilla - La Mancha;Total;2013;1.496
Castilla - La Mancha;Total;2012;1.619
Castilla - La Mancha;Total;2011;1.764
Castilla - La Mancha;Europa;2023;1.443
Castilla - La Mancha;Europa;2022;1.424
Castilla - La Mancha;Europa;2021;1.365
Castilla - La Mancha;Europa;2020;1.163
Castilla - La Mancha;Europa;2019;1.343
Castilla - La Mancha;Europa;2018;1.377
Castilla - La Mancha;Europa;2017;1.252
Castilla - La Mancha;Europa;2016;1.317
Castilla - La Mancha;Europa;2015;1.364
Castilla - La Mancha;Europa;2014;1.271
Castilla - La Mancha;Europa;2013;1.258
Castilla - La Mancha;Europa;2012;1.312
Castilla - La Mancha;Europa;2011;1.395
Castilla - La Mancha;España;2023;1.249
Castilla - La Mancha;España;2022;1.217
Castilla - La Mancha;España;2021;1.169
Castilla - La Mancha;España;2020;963
Castilla - La Mancha;España;2019;1.121
Castilla - La Mancha;España;2018;1.157
Castilla - La Mancha;España;2017;1.060
Castilla - La Mancha;España;2016;1.118
Castilla - La Mancha;España;2015;1.174
Castilla - La Mancha;España;2014;1.071
Castilla - La Mancha;España;2013;1.041
Castilla - La Mancha;España;2012;1.101
Castilla - La Mancha;España;2011;1.148
Castilla - La Mancha;UE28 sin España;2023;""
Castilla - La Mancha;UE28 sin España;2022;""
Castilla - La Mancha;UE28 sin España;2021;""
Castilla - La Mancha;UE28 sin España;2020;""
Castilla - La Mancha;UE28 sin España;2019;205
Castilla - La Mancha;UE28 sin España;2018;208
Castilla - La Mancha;UE28 sin España;2017;179
Castilla - La Mancha;UE28 sin España;2016;186
Castilla - La Mancha;UE28 sin España;2015;183
Castilla - La Mancha;UE28 sin España;2014;189
Castilla - La Mancha;UE28 sin España;2013;213
Castilla - La Mancha;UE28 sin España;2012;200
Castilla - La Mancha;UE28 sin España;2011;236
Castilla - La Mancha;UE27_2020 sin España;2023;176
Castilla - La Mancha;UE27_2020 sin España;2022;197
Castilla - La Mancha;UE27_2020 sin España;2021;179
Castilla - La Mancha;UE27_2020 sin España;2020;188
Castilla - La Mancha;UE27_2020 sin España;2019;""
Castilla - La Mancha;UE27_2020 sin España;2018;""
Castilla - La Mancha;UE27_2020 sin España;2017;""
Castilla - La Mancha;UE27_2020 sin España;2016;""
Castilla - La Mancha;UE27_2020 sin España;2015;""
Castilla - La Mancha;UE27_2020 sin España;2014;""
Castilla - La Mancha;UE27_2020 sin España;2013;""
Castilla - La Mancha;UE27_2020 sin España;2012;""
Castilla - La Mancha;UE27_2020 sin España;2011;""
Castilla - La Mancha;Europa menos UE28;2023;""
Castilla - La Mancha;Europa menos UE28;2022;""
Castilla - La Mancha;Europa menos UE28;2021;""
Castilla - La Mancha;Europa menos UE28;2020;""
Castilla - La Mancha;Europa menos UE28;2019;17
Castilla - La Mancha;Europa menos UE28;2018;12
Castilla - La Mancha;Europa menos UE28;2017;13
Castilla - La Mancha;Europa menos UE28;2016;13
Castilla - La Mancha;Europa menos UE28;2015;7
Castilla - La Mancha;Europa menos UE28;2014;11
Castilla - La Mancha;Europa menos UE28;2013;4
Castilla - La Mancha;Europa menos UE28;2012;11
Castilla - La Mancha;Europa menos UE28;2011;11
Castilla - La Mancha;Europa menos UE27_2020;2023;18
Castilla - La Mancha;Europa menos UE27_2020;2022;10
Castilla - La Mancha;Europa menos UE27_2020;2021;17
Castilla - La Mancha;Europa menos UE27_2020;2020;12
Castilla - La Mancha;Europa menos UE27_2020;2019;""
Castilla - La Mancha;Europa menos UE27_2020;2018;""
Castilla - La Mancha;Europa menos UE27_2020;2017;""
Castilla - La Mancha;Europa menos UE27_2020;2016;""
Castilla - La Mancha;Europa menos UE27_2020;2015;""
Castilla - La Mancha;Europa menos UE27_2020;2014;""
Castilla - La Mancha;Europa menos UE27_2020;2013;""
Castilla - La Mancha;Europa menos UE27_2020;2012;""
Castilla - La Mancha;Europa menos UE27_2020;2011;""
Castilla - La Mancha;África;2023;130
Castilla - La Mancha;África;2022;180
Castilla - La Mancha;África;2021;152
Castilla - La Mancha;África;2020;149
Castilla - La Mancha;África;2019;134
Castilla - La Mancha;África;2018;120
Castilla - La Mancha;África;2017;120
Castilla - La Mancha;África;2016;95
Castilla - La Mancha;África;2015;102
Castilla - La Mancha;África;2014;106
Castilla - La Mancha;África;2013;95
Castilla - La Mancha;África;2012;116
Castilla - La Mancha;África;2011;125
Castilla - La Mancha;América;2023;292
Castilla - La Mancha;América;2022;245
Castilla - La Mancha;América;2021;222
Castilla - La Mancha;América;2020;183
Castilla - La Mancha;América;2019;187
Castilla - La Mancha;América;2018;162
Castilla - La Mancha;América;2017;117
Castilla - La Mancha;América;2016;110
Castilla - La Mancha;América;2015;103
Castilla - La Mancha;América;2014;130
Castilla - La Mancha;América;2013;138
Castilla - La Mancha;América;2012;186
Castilla - La Mancha;América;2011;231
Castilla - La Mancha;Asia;2023;8
Castilla - La Mancha;Asia;2022;9
Castilla - La Mancha;Asia;2021;4
Castilla - La Mancha;Asia;2020;7
Castilla - La Mancha;Asia;2019;10
Castilla - La Mancha;Asia;2018;5
Castilla - La Mancha;Asia;2017;8
Castilla - La Mancha;Asia;2016;5
Castilla - La Mancha;Asia;2015;8
Castilla - La Mancha;Asia;2014;8
Castilla - La Mancha;Asia;2013;4
Castilla - La Mancha;Asia;2012;4
Castilla - La Mancha;Asia;2011;12
Castilla - La Mancha;Oceanía ;2023;0
Castilla - La Mancha;Oceanía ;2022;0
Castilla - La Mancha;Oceanía ;2021;0
Castilla - La Mancha;Oceanía ;2020;0
Castilla - La Mancha;Oceanía ;2019;0
Castilla - La Mancha;Oceanía ;2018;0
Castilla - La Mancha;Oceanía ;2017;0
Castilla - La Mancha;Oceanía ;2016;0
Castilla - La Mancha;Oceanía ;2015;0
Castilla - La Mancha;Oceanía ;2014;0
Castilla - La Mancha;Oceanía ;2013;1
Castilla - La Mancha;Oceanía ;2012;1
Castilla - La Mancha;Oceanía ;2011;1
Cataluña;Total;2023;3.030
Cataluña;Total;2022;2.939
Cataluña;Total;2021;2.765
Cataluña;Total;2020;2.835
Cataluña;Total;2019;3.248
Cataluña;Total;2018;3.160
Cataluña;Total;2017;2.766
Cataluña;Total;2016;2.518
Cataluña;Total;2015;2.580
Cataluña;Total;2014;2.289
Cataluña;Total;2013;2.446
Cataluña;Total;2012;3.017
Cataluña;Total;2011;3.549
Cataluña;Europa;2023;1.675
Cataluña;Europa;2022;1.657
Cataluña;Europa;2021;1.642
Cataluña;Europa;2020;1.713
Cataluña;Europa;2019;1.925
Cataluña;Europa;2018;1.986
Cataluña;Europa;2017;1.784
Cataluña;Europa;2016;1.645
Cataluña;Europa;2015;1.753
Cataluña;Europa;2014;1.507
Cataluña;Europa;2013;1.641
Cataluña;Europa;2012;2.004
Cataluña;Europa;2011;2.287
Cataluña;España;2023;1.415
Cataluña;España;2022;1.409
Cataluña;España;2021;1.392
Cataluña;España;2020;1.440
Cataluña;España;2019;1.603
Cataluña;España;2018;1.695
Cataluña;España;2017;1.531
Cataluña;España;2016;1.384
Cataluña;España;2015;1.514
Cataluña;España;2014;1.294
Cataluña;España;2013;1.426
Cataluña;España;2012;1.736
Cataluña;España;2011;1.957
Cataluña;UE28 sin España;2023;""
Cataluña;UE28 sin España;2022;""
Cataluña;UE28 sin España;2021;""
Cataluña;UE28 sin España;2020;""
Cataluña;UE28 sin España;2019;246
Cataluña;UE28 sin España;2018;238
Cataluña;UE28 sin España;2017;208
Cataluña;UE28 sin España;2016;230
Cataluña;UE28 sin España;2015;204
Cataluña;UE28 sin España;2014;175
Cataluña;UE28 sin España;2013;187
Cataluña;UE28 sin España;2012;216
Cataluña;UE28 sin España;2011;277
Cataluña;UE27_2020 sin España;2023;185
Cataluña;UE27_2020 sin España;2022;181
Cataluña;UE27_2020 sin España;2021;180
Cataluña;UE27_2020 sin España;2020;208
Cataluña;UE27_2020 sin España;2019;""
Cataluña;UE27_2020 sin España;2018;""
Cataluña;UE27_2020 sin España;2017;""
Cataluña;UE27_2020 sin España;2016;""
Cataluña;UE27_2020 sin España;2015;""
Cataluña;UE27_2020 sin España;2014;""
Cataluña;UE27_2020 sin España;2013;""
Cataluña;UE27_2020 sin España;2012;""
Cataluña;UE27_2020 sin España;2011;""
Cataluña;Europa menos UE28;2023;""
Cataluña;Europa menos UE28;2022;""
Cataluña;Europa menos UE28;2021;""
Cataluña;Europa menos UE28;2020;""
Cataluña;Europa menos UE28;2019;76
Cataluña;Europa menos UE28;2018;53
Cataluña;Europa menos UE28;2017;45
Cataluña;Europa menos UE28;2016;31
Cataluña;Europa menos UE28;2015;35
Cataluña;Europa menos UE28;2014;38
Cataluña;Europa menos UE28;2013;28
Cataluña;Europa menos UE28;2012;52
Cataluña;Europa menos UE28;2011;53
Cataluña;Europa menos UE27_2020;2023;75
Cataluña;Europa menos UE27_2020;2022;67
Cataluña;Europa menos UE27_2020;2021;70
Cataluña;Europa menos UE27_2020;2020;65
Cataluña;Europa menos UE27_2020;2019;""
Cataluña;Europa menos UE27_2020;2018;""
Cataluña;Europa menos UE27_2020;2017;""
Cataluña;Europa menos UE27_2020;2016;""
Cataluña;Europa menos UE27_2020;2015;""
Cataluña;Europa menos UE27_2020;2014;""
Cataluña;Europa menos UE27_2020;2013;""
Cataluña;Europa menos UE27_2020;2012;""
Cataluña;Europa menos UE27_2020;2011;""
Cataluña;África;2023;556
Cataluña;África;2022;537
Cataluña;África;2021;488
Cataluña;África;2020;471
Cataluña;África;2019;566
Cataluña;África;2018;527
Cataluña;África;2017;435
Cataluña;África;2016;413
Cataluña;África;2015;376
Cataluña;África;2014;358
Cataluña;África;2013;367
Cataluña;África;2012;436
Cataluña;África;2011;516
Cataluña;América;2023;716
Cataluña;América;2022;669
Cataluña;América;2021;571
Cataluña;América;2020;577
Cataluña;América;2019;665
Cataluña;América;2018;574
Cataluña;América;2017;480
Cataluña;América;2016;395
Cataluña;América;2015;394
Cataluña;América;2014;377
Cataluña;América;2013;375
Cataluña;América;2012;513
Cataluña;América;2011;673
Cataluña;Asia;2023;83
Cataluña;Asia;2022;76
Cataluña;Asia;2021;64
Cataluña;Asia;2020;74
Cataluña;Asia;2019;92
Cataluña;Asia;2018;73
Cataluña;Asia;2017;67
Cataluña;Asia;2016;65
Cataluña;Asia;2015;57
Cataluña;Asia;2014;47
Cataluña;Asia;2013;61
Cataluña;Asia;2012;58
Cataluña;Asia;2011;70
Cataluña;Oceanía ;2023;0
Cataluña;Oceanía ;2022;0
Cataluña;Oceanía ;2021;0
Cataluña;Oceanía ;2020;0
Cataluña;Oceanía ;2019;0
Cataluña;Oceanía ;2018;0
Cataluña;Oceanía ;2017;0
Cataluña;Oceanía ;2016;0
Cataluña;Oceanía ;2015;0
Cataluña;Oceanía ;2014;0
Cataluña;Oceanía ;2013;2
Cataluña;Oceanía ;2012;6
Cataluña;Oceanía ;2011;3
Comunitat Valenciana;Total;2023;5.228
Comunitat Valenciana;Total;2022;5.103
Comunitat Valenciana;Total;2021;4.523
Comunitat Valenciana;Total;2020;4.466
Comunitat Valenciana;Total;2019;4.884
Comunitat Valenciana;Total;2018;4.794
Comunitat Valenciana;Total;2017;4.196
Comunitat Valenciana;Total;2016;4.042
Comunitat Valenciana;Total;2015;4.147
Comunitat Valenciana;Total;2014;3.934
Comunitat Valenciana;Total;2013;3.850
Comunitat Valenciana;Total;2012;4.186
Comunitat Valenciana;Total;2011;4.433
Comunitat Valenciana;Europa;2023;3.781
Comunitat Valenciana;Europa;2022;3.743
Comunitat Valenciana;Europa;2021;3.321
Comunitat Valenciana;Europa;2020;3.369
Comunitat Valenciana;Europa;2019;3.740
Comunitat Valenciana;Europa;2018;3.793
Comunitat Valenciana;Europa;2017;3.329
Comunitat Valenciana;Europa;2016;3.234
Comunitat Valenciana;Europa;2015;3.360
Comunitat Valenciana;Europa;2014;3.163
Comunitat Valenciana;Europa;2013;3.058
Comunitat Valenciana;Europa;2012;3.274
Comunitat Valenciana;Europa;2011;3.414
Comunitat Valenciana;España;2023;3.023
Comunitat Valenciana;España;2022;3.015
Comunitat Valenciana;España;2021;2.709
Comunitat Valenciana;España;2020;2.669
Comunitat Valenciana;España;2019;3.048
Comunitat Valenciana;España;2018;3.076
Comunitat Valenciana;España;2017;2.689
Comunitat Valenciana;España;2016;2.657
Comunitat Valenciana;España;2015;2.725
Comunitat Valenciana;España;2014;2.582
Comunitat Valenciana;España;2013;2.484
Comunitat Valenciana;España;2012;2.672
Comunitat Valenciana;España;2011;2.749
Comunitat Valenciana;UE28 sin España;2023;""
Comunitat Valenciana;UE28 sin España;2022;""
Comunitat Valenciana;UE28 sin España;2021;""
Comunitat Valenciana;UE28 sin España;2020;""
Comunitat Valenciana;UE28 sin España;2019;579
Comunitat Valenciana;UE28 sin España;2018;616
Comunitat Valenciana;UE28 sin España;2017;553
Comunitat Valenciana;UE28 sin España;2016;509
Comunitat Valenciana;UE28 sin España;2015;568
Comunitat Valenciana;UE28 sin España;2014;521
Comunitat Valenciana;UE28 sin España;2013;511
Comunitat Valenciana;UE28 sin España;2012;541
Comunitat Valenciana;UE28 sin España;2011;602
Comunitat Valenciana;UE27_2020 sin España;2023;534
Comunitat Valenciana;UE27_2020 sin España;2022;523
Comunitat Valenciana;UE27_2020 sin España;2021;457
Comunitat Valenciana;UE27_2020 sin España;2020;519
Comunitat Valenciana;UE27_2020 sin España;2019;""
Comunitat Valenciana;UE27_2020 sin España;2018;""
Comunitat Valenciana;UE27_2020 sin España;2017;""
Comunitat Valenciana;UE27_2020 sin España;2016;""
Comunitat Valenciana;UE27_2020 sin España;2015;""
Comunitat Valenciana;UE27_2020 sin España;2014;""
Comunitat Valenciana;UE27_2020 sin España;2013;""
Comunitat Valenciana;UE27_2020 sin España;2012;""
Comunitat Valenciana;UE27_2020 sin España;2011;""
Comunitat Valenciana;Europa menos UE28;2023;""
Comunitat Valenciana;Europa menos UE28;2022;""
Comunitat Valenciana;Europa menos UE28;2021;""
