Comunidades y ciudades autónomas;Lugar de nacimiento de la victima;Periodo;Total
Andalucía;Total;2020;6.790
Andalucía;Total;2019;7.098
Andalucía;Total;2018;7.038
Andalucía;Total;2017;6.975
Andalucía;Total;2016;6.912
Andalucía;Total;2015;6.984
Andalucía;Total;2014;6.983
Andalucía;Total;2013;6.761
Andalucía;Total;2012;7.111
Andalucía;Total;2011;7.724
Andalucía;Europa;2023;6.944
Andalucía;Europa;2022;6.300
Andalucía;Europa;2021;5.615
Andalucía;Europa;2020;5.737
Andalucía;Europa;2019;6.016
Andalucía;Europa;2018;6.016
Andalucía;Europa;2017;6.060
Andalucía;Europa;2016;5.970
Andalucía;Europa;2015;6.070
Andalucía;Europa;2014;6.089
Andalucía;Europa;2013;5.884
Andalucía;Europa;2012;6.153
Andalucía;Europa;2011;6.648
Andalucía;España;2023;6.293
Andalucía;España;2022;5.729
Andalucía;España;2021;5.090
Andalucía;España;2020;5.149
Andalucía;España;2019;5.369
Andalucía;España;2018;5.401
Andalucía;España;2017;5.463
Andalucía;España;2016;5.342
Andalucía;España;2015;5.434
Andalucía;España;2014;5.497
Andalucía;España;2013;5.315
Andalucía;España;2012;5.497
Andalucía;España;2011;5.910
Andalucía;UE28 sin España;2023;""
Andalucía;UE28 sin España;2022;""
Andalucía;UE28 sin España;2021;""
Andalucía;UE28 sin España;2020;""
Andalucía;UE28 sin España;2019;582
Andalucía;UE28 sin España;2018;550
Andalucía;UE28 sin España;2017;535
Andalucía;UE28 sin España;2016;554
Andalucía;UE28 sin España;2015;577
Andalucía;UE28 sin España;2014;539
Andalucía;UE28 sin España;2013;514
Andalucía;UE28 sin España;2012;596
Andalucía;UE28 sin España;2011;660
Andalucía;UE27_2020 sin España;2023;468
Andalucía;UE27_2020 sin España;2022;396
Andalucía;UE27_2020 sin España;2021;369
Andalucía;UE27_2020 sin España;2020;443
Andalucía;UE27_2020 sin España;2019;""
Andalucía;UE27_2020 sin España;2018;""
Andalucía;UE27_2020 sin España;2017;""
Andalucía;UE27_2020 sin España;2016;""
Andalucía;UE27_2020 sin España;2015;""
Andalucía;UE27_2020 sin España;2014;""
Andalucía;UE27_2020 sin España;2013;""
Andalucía;UE27_2020 sin España;2012;""
Andalucía;UE27_2020 sin España;2011;""
Andalucía;Europa menos UE28;2023;""
Andalucía;Europa menos UE28;2022;""
Andalucía;Europa menos UE28;2021;""
Andalucía;Europa menos UE28;2020;""
Andalucía;Europa menos UE28;2019;65
Andalucía;Europa menos UE28;2018;65
Andalucía;Europa menos UE28;2017;62
Andalucía;Europa menos UE28;2016;74
Andalucía;Europa menos UE28;2015;59
Andalucía;Europa menos UE28;2014;53
Andalucía;Europa menos UE28;2013;55
Andalucía;Europa menos UE28;2012;60
Andalucía;Europa menos UE28;2011;78
Andalucía;Europa menos UE27_2020;2023;183
Andalucía;Europa menos UE27_2020;2022;175
Andalucía;Europa menos UE27_2020;2021;156
Andalucía;Europa menos UE27_2020;2020;145
Andalucía;Europa menos UE27_2020;2019;""
Andalucía;Europa menos UE27_2020;2018;""
Andalucía;Europa menos UE27_2020;2017;""
Andalucía;Europa menos UE27_2020;2016;""
Andalucía;Europa menos UE27_2020;2015;""
Andalucía;Europa menos UE27_2020;2014;""
Andalucía;Europa menos UE27_2020;2013;""
Andalucía;Europa menos UE27_2020;2012;""
Andalucía;Europa menos UE27_2020;2011;""
Andalucía;África;2023;768
Andalucía;África;2022;725
Andalucía;África;2021;639
Andalucía;África;2020;620
Andalucía;África;2019;654
Andalucía;África;2018;612
Andalucía;África;2017;534
Andalucía;África;2016;577
Andalucía;África;2015;521
Andalucía;África;2014;523
Andalucía;África;2013;497
Andalucía;África;2012;554
Andalucía;África;2011;570
Andalucía;América;2023;612
Andalucía;América;2022;528
Andalucía;América;2021;407
Andalucía;América;2020;393
Andalucía;América;2019;387
Andalucía;América;2018;378
Andalucía;América;2017;337
Andalucía;América;2016;325
Andalucía;América;2015;346
Andalucía;América;2014;334
Andalucía;América;2013;333
Andalucía;América;2012;354
Andalucía;América;2011;462
Andalucía;Asia;2023;42
Andalucía;Asia;2022;36
Andalucía;Asia;2021;28
Andalucía;Asia;2020;39
Andalucía;Asia;2019;40
Andalucía;Asia;2018;31
Andalucía;Asia;2017;44
Andalucía;Asia;2016;40
Andalucía;Asia;2015;44
Andalucía;Asia;2014;36
Andalucía;Asia;2013;42
Andalucía;Asia;2012;49
Andalucía;Asia;2011;43
Andalucía;Oceanía ;2023;0
Andalucía;Oceanía ;2022;1
Andalucía;Oceanía ;2021;2
Andalucía;Oceanía ;2020;1
Andalucía;Oceanía ;2019;1
Andalucía;Oceanía ;2018;1
Andalucía;Oceanía ;2017;0
Andalucía;Oceanía ;2016;0
Andalucía;Oceanía ;2015;3
Andalucía;Oceanía ;2014;1
Andalucía;Oceanía ;2013;5
Andalucía;Oceanía ;2012;1
Andalucía;Oceanía ;2011;1
Aragón;Total;2023;1.081
Aragón;Total;2022;929
Aragón;Total;2021;811
Aragón;Total;2020;717
Aragón;Total;2019;872
Aragón;Total;2018;847
Aragón;Total;2017;820
Aragón;Total;2016;874
Aragón;Total;2015;711
Aragón;Total;2014;770
Aragón;Total;2013;712
Aragón;Total;2012;726
Aragón;Total;2011;847
Aragón;Europa;2023;711
Aragón;Europa;2022;647
Aragón;Europa;2021;625
Aragón;Europa;2020;509
Aragón;Europa;2019;625
Aragón;Europa;2018;640
Aragón;Europa;2017;632
Aragón;Europa;2016;650
Aragón;Europa;2015;549
Aragón;Europa;2014;556
Aragón;Europa;2013;555
Aragón;Europa;2012;547
Aragón;Europa;2011;633
Aragón;España;2023;540
Aragón;España;2022;511
Aragón;España;2021;479
Aragón;España;2020;363
Aragón;España;2019;471
Aragón;España;2018;471
Aragón;España;2017;485
Aragón;España;2016;511
Aragón;España;2015;409
Aragón;España;2014;421
