Penas y medidas;Comunidades y ciudades autónomas;Periodo;Total
Penas;Comunitat Valenciana;2020;19.558
Penas;Comunitat Valenciana;2019;23.125
Penas;Comunitat Valenciana;2018;20.995
Penas;Comunitat Valenciana;2017;20.291
Penas;Comunitat Valenciana;2016;18.728
Penas;Comunitat Valenciana;2015;18.341
Penas;Extremadura;2023;6.198
Penas;Extremadura;2022;4.784
Penas;Extremadura;2021;4.371
Penas;Extremadura;2020;3.318
Penas;Extremadura;2019;3.618
Penas;Extremadura;2018;3.115
Penas;Extremadura;2017;3.218
Penas;Extremadura;2016;3.259
Penas;Extremadura;2015;3.437
Penas;Galicia;2023;9.808
Penas;Galicia;2022;9.083
Penas;Galicia;2021;8.419
Penas;Galicia;2020;6.141
Penas;Galicia;2019;7.366
Penas;Galicia;2018;6.858
Penas;Galicia;2017;6.433
Penas;Galicia;2016;5.756
Penas;Galicia;2015;5.496
Penas;Madrid, Comunidad de;2023;18.024
Penas;Madrid, Comunidad de;2022;17.892
Penas;Madrid, Comunidad de;2021;15.505
Penas;Madrid, Comunidad de;2020;10.973
Penas;Madrid, Comunidad de;2019;14.786
Penas;Madrid, Comunidad de;2018;12.646
Penas;Madrid, Comunidad de;2017;12.841
Penas;Madrid, Comunidad de;2016;11.909
Penas;Madrid, Comunidad de;2015;12.188
Penas;Murcia, Región de;2023;10.794
Penas;Murcia, Región de;2022;9.318
Penas;Murcia, Región de;2021;8.412
Penas;Murcia, Región de;2020;5.607
Penas;Murcia, Región de;2019;6.752
Penas;Murcia, Región de;2018;6.669
Penas;Murcia, Región de;2017;6.163
Penas;Murcia, Región de;2016;6.041
Penas;Murcia, Región de;2015;5.622
Penas;Navarra, Comunidad Foral de;2023;2.347
Penas;Navarra, Comunidad Foral de;2022;3.202
Penas;Navarra, Comunidad Foral de;2021;2.345
Penas;Navarra, Comunidad Foral de;2020;1.573
Penas;Navarra, Comunidad Foral de;2019;2.207
Penas;Navarra, Comunidad Foral de;2018;1.798
Penas;Navarra, Comunidad Foral de;2017;1.677
Penas;Navarra, Comunidad Foral de;2016;1.484
Penas;Navarra, Comunidad Foral de;2015;1.386
Penas;País Vasco;2023;11.265
Penas;País Vasco;2022;10.349
Penas;País Vasco;2021;9.413
Penas;País Vasco;2020;6.502
Penas;País Vasco;2019;8.502
Penas;País Vasco;2018;6.390
Penas;País Vasco;2017;5.867
Penas;País Vasco;2016;5.729
Penas;País Vasco;2015;5.648
Penas;Rioja, La;2023;1.777
Penas;Rioja, La;2022;1.780
Penas;Rioja, La;2021;1.284
Penas;Rioja, La;2020;910
Penas;Rioja, La;2019;1.167
Penas;Rioja, La;2018;1.222
Penas;Rioja, La;2017;1.077
Penas;Rioja, La;2016;981
Penas;Rioja, La;2015;922
Penas;Ceuta;2023;610
Penas;Ceuta;2022;451
Penas;Ceuta;2021;374
Penas;Ceuta;2020;309
Penas;Ceuta;2019;257
Penas;Ceuta;2018;308
Penas;Ceuta;2017;288
Penas;Ceuta;2016;256
Penas;Ceuta;2015;187
Penas;Melilla;2023;457
Penas;Melilla;2022;448
Penas;Melilla;2021;322
Penas;Melilla;2020;248
Penas;Melilla;2019;326
Penas;Melilla;2018;290
Penas;Melilla;2017;339
Penas;Melilla;2016;337
Penas;Melilla;2015;326
Penas privativas de libertad;Total Nacional;2023;25.385
Penas privativas de libertad;Total Nacional;2022;24.124
Penas privativas de libertad;Total Nacional;2021;22.656
Penas privativas de libertad;Total Nacional;2020;17.526
Penas privativas de libertad;Total Nacional;2019;21.278
Penas privativas de libertad;Total Nacional;2018;19.361
Penas privativas de libertad;Total Nacional;2017;18.314
Penas privativas de libertad;Total Nacional;2016;17.121
Penas privativas de libertad;Total Nacional;2015;16.517
Penas privativas de libertad;Andalucía;2023;5.303
Penas privativas de libertad;Andalucía;2022;5.261
Penas privativas de libertad;Andalucía;2021;5.150
Penas privativas de libertad;Andalucía;2020;4.102
Penas privativas de libertad;Andalucía;2019;4.958
Penas privativas de libertad;Andalucía;2018;4.637
Penas privativas de libertad;Andalucía;2017;4.472
Penas privativas de libertad;Andalucía;2016;4.025
Penas privativas de libertad;Andalucía;2015;3.941
Penas privativas de libertad;Aragón;2023;594
Penas privativas de libertad;Aragón;2022;578
Penas privativas de libertad;Aragón;2021;535
Penas privativas de libertad;Aragón;2020;360
Penas privativas de libertad;Aragón;2019;427
Penas privativas de libertad;Aragón;2018;450
Penas privativas de libertad;Aragón;2017;413
Penas privativas de libertad;Aragón;2016;377
Penas privativas de libertad;Aragón;2015;285
Penas privativas de libertad;Asturias, Principado de;2023;486
Penas privativas de libertad;Asturias, Principado de;2022;643
Penas privativas de libertad;Asturias, Principado de;2021;523
Penas privativas de libertad;Asturias, Principado de;2020;388
Penas privativas de libertad;Asturias, Principado de;2019;549
Penas privativas de libertad;Asturias, Principado de;2018;505
Penas privativas de libertad;Asturias, Principado de;2017;487
Penas privativas de libertad;Asturias, Principado de;2016;414
Penas privativas de libertad;Asturias, Principado de;2015;388
Penas privativas de libertad;Balears, Illes;2023;691
Penas privativas de libertad;Balears, Illes;2022;661
Penas privativas de libertad;Balears, Illes;2021;601
Penas privativas de libertad;Balears, Illes;2020;481
Penas privativas de libertad;Balears, Illes;2019;615
Penas privativas de libertad;Balears, Illes;2018;491
Penas privativas de libertad;Balears, Illes;2017;502
Penas privativas de libertad;Balears, Illes;2016;522
Penas privativas de libertad;Balears, Illes;2015;342
Penas privativas de libertad;Canarias;2023;1.941
Penas privativas de libertad;Canarias;2022;1.671
Penas privativas de libertad;Canarias;2021;1.562
Penas privativas de libertad;Canarias;2020;1.311
Penas privativas de libertad;Canarias;2019;1.491
Penas privativas de libertad;Canarias;2018;1.327
Penas privativas de libertad;Canarias;2017;1.308
Penas privativas de libertad;Canarias;2016;1.231
Penas privativas de libertad;Canarias;2015;1.143
Penas privativas de libertad;Cantabria;2023;347
Penas privativas de libertad;Cantabria;2022;314
Penas privativas de libertad;Cantabria;2021;263
Penas privativas de libertad;Cantabria;2020;237
Penas privativas de libertad;Cantabria;2019;292
Penas privativas de libertad;Cantabria;2018;297
Penas privativas de libertad;Cantabria;2017;247
Penas privativas de libertad;Cantabria;2016;198
Penas privativas de libertad;Cantabria;2015;185
Penas privativas de libertad;Castilla y León;2023;1.050
Penas privativas de libertad;Castilla y León;2022;951
Penas privativas de libertad;Castilla y León;2021;900
Penas privativas de libertad;Castilla y León;2020;597
Penas privativas de libertad;Castilla y León;2019;806
Penas privativas de libertad;Castilla y León;2018;732
Penas privativas de libertad;Castilla y León;2017;703
Penas privativas de libertad;Castilla y León;2016;677
Penas privativas de libertad;Castilla y León;2015;748
Penas privativas de libertad;Castilla - La Mancha;2023;810
Penas privativas de libertad;Castilla - La Mancha;2022;899
Penas privativas de libertad;Castilla - La Mancha;2021;789
Penas privativas de libertad;Castilla - La Mancha;2020;624
Penas privativas de libertad;Castilla - La Mancha;2019;784
Penas privativas de libertad;Castilla - La Mancha;2018;740
Penas privativas de libertad;Castilla - La Mancha;2017;649
Penas privativas de libertad;Castilla - La Mancha;2016;626
Penas privativas de libertad;Castilla - La Mancha;2015;616
Penas privativas de libertad;Cataluña;2023;3.381
Penas privativas de libertad;Cataluña;2022;3.137
Penas privativas de libertad;Cataluña;2021;3.139
Penas privativas de libertad;Cataluña;2020;2.345
Penas privativas de libertad;Cataluña;2019;2.593
Penas privativas de libertad;Cataluña;2018;2.368
Penas privativas de libertad;Cataluña;2017;2.285
Penas privativas de libertad;Cataluña;2016;2.378
Penas privativas de libertad;Cataluña;2015;2.221
Penas privativas de libertad;Comunitat Valenciana;2023;3.315
Penas privativas de libertad;Comunitat Valenciana;2022;2.980
Penas privativas de libertad;Comunitat Valenciana;2021;2.819
Penas privativas de libertad;Comunitat Valenciana;2020;2.294
Penas privativas de libertad;Comunitat Valenciana;2019;2.686
Penas privativas de libertad;Comunitat Valenciana;2018;2.520
Penas privativas de libertad;Comunitat Valenciana;2017;2.444
Penas privativas de libertad;Comunitat Valenciana;2016;2.151
Penas privativas de libertad;Comunitat Valenciana;2015;2.055
Penas privativas de libertad;Extremadura;2023;741
Penas privativas de libertad;Extremadura;2022;512
Penas privativas de libertad;Extremadura;2021;455
Penas privativas de libertad;Extremadura;2020;451
Penas privativas de libertad;Extremadura;2019;391
Penas privativas de libertad;Extremadura;2018;360
Penas privativas de libertad;Extremadura;2017;324
Penas privativas de libertad;Extremadura;2016;358
Penas privativas de libertad;Extremadura;2015;413
Penas privativas de libertad;Galicia;2023;1.074
Penas privativas de libertad;Galicia;2022;1.070
Penas privativas de libertad;Galicia;2021;1.019
Penas privativas de libertad;Galicia;2020;783
Penas privativas de libertad;Galicia;2019;961
Penas privativas de libertad;Galicia;2018;801
Penas privativas de libertad;Galicia;2017;730
Penas privativas de libertad;Galicia;2016;642
Penas privativas de libertad;Galicia;2015;591
Penas privativas de libertad;Madrid, Comunidad de;2023;2.487
Penas privativas de libertad;Madrid, Comunidad de;2022;2.444
Penas privativas de libertad;Madrid, Comunidad de;2021;2.173
Penas privativas de libertad;Madrid, Comunidad de;2020;1.647
Penas privativas de libertad;Madrid, Comunidad de;2019;2.246
Penas privativas de libertad;Madrid, Comunidad de;2018;2.023
Penas privativas de libertad;Madrid, Comunidad de;2017;1.904
Penas privativas de libertad;Madrid, Comunidad de;2016;1.713
Penas privativas de libertad;Madrid, Comunidad de;2015;1.987
Penas privativas de libertad;Murcia, Región de;2023;1.116
Penas privativas de libertad;Murcia, Región de;2022;894
Penas privativas de libertad;Murcia, Región de;2021;832
Penas privativas de libertad;Murcia, Región de;2020;602
Penas privativas de libertad;Murcia, Región de;2019;654
Penas privativas de libertad;Murcia, Región de;2018;705
Penas privativas de libertad;Murcia, Región de;2017;554
Penas privativas de libertad;Murcia, Región de;2016;590
Penas privativas de libertad;Murcia, Región de;2015;517
Penas privativas de libertad;Navarra, Comunidad Foral de;2023;348
Penas privativas de libertad;Navarra, Comunidad Foral de;2022;494
Penas privativas de libertad;Navarra, Comunidad Foral de;2021;396
Penas privativas de libertad;Navarra, Comunidad Foral de;2020;276
Penas privativas de libertad;Navarra, Comunidad Foral de;2019;372
Penas privativas de libertad;Navarra, Comunidad Foral de;2018;327
Penas privativas de libertad;Navarra, Comunidad Foral de;2017;273
Penas privativas de libertad;Navarra, Comunidad Foral de;2016;231
Penas privativas de libertad;Navarra, Comunidad Foral de;2015;200
Penas privativas de libertad;País Vasco;2023;1.244
Penas privativas de libertad;País Vasco;2022;1.210
Penas privativas de libertad;País Vasco;2021;1.181
Penas privativas de libertad;País Vasco;2020;810
Penas privativas de libertad;País Vasco;2019;1.174
Penas privativas de libertad;País Vasco;2018;794
Penas privativas de libertad;País Vasco;2017;760
Penas privativas de libertad;País Vasco;2016;768
Penas privativas de libertad;País Vasco;2015;703
Penas privativas de libertad;Rioja, La;2023;294
Penas privativas de libertad;Rioja, La;2022;268
Penas privativas de libertad;Rioja, La;2021;189
Penas privativas de libertad;Rioja, La;2020;120
Penas privativas de libertad;Rioja, La;2019;177
Penas privativas de libertad;Rioja, La;2018;156
Penas privativas de libertad;Rioja, La;2017;134
Penas privativas de libertad;Rioja, La;2016;110
Penas privativas de libertad;Rioja, La;2015;103
Penas privativas de libertad;Ceuta;2023;119
Penas privativas de libertad;Ceuta;2022;89
Penas privativas de libertad;Ceuta;2021;79
Penas privativas de libertad;Ceuta;2020;63
Penas privativas de libertad;Ceuta;2019;54
Penas privativas de libertad;Ceuta;2018;74
Penas privativas de libertad;Ceuta;2017;63
Penas privativas de libertad;Ceuta;2016;53
Penas privativas de libertad;Ceuta;2015;21
Penas privativas de libertad;Melilla;2023;44
Penas privativas de libertad;Melilla;2022;48
Penas privativas de libertad;Melilla;2021;51
Penas privativas de libertad;Melilla;2020;35
Penas privativas de libertad;Melilla;2019;48
Penas privativas de libertad;Melilla;2018;54
Penas privativas de libertad;Melilla;2017;62
Penas privativas de libertad;Melilla;2016;57
Penas privativas de libertad;Melilla;2015;58
Prisión;Total Nacional;2023;21.830
Prisión;Total Nacional;2022;20.788
Prisión;Total Nacional;2021;19.347
Prisión;Total Nacional;2020;14.964
Prisión;Total Nacional;2019;18.310
Prisión;Total Nacional;2018;16.426
Prisión;Total Nacional;2017;15.351
Prisión;Total Nacional;2016;14.248
Prisión;Total Nacional;2015;12.976
Prisión;Andalucía;2023;4.357
Prisión;Andalucía;2022;4.296
Prisión;Andalucía;2021;4.256
Prisión;Andalucía;2020;3.373
Prisión;Andalucía;2019;4.101
Prisión;Andalucía;2018;3.719
Prisión;Andalucía;2017;3.582
Prisión;Andalucía;2016;3.217
Prisión;Andalucía;2015;2.959
Prisión;Aragón;2023;505
Prisión;Aragón;2022;495
Prisión;Aragón;2021;436
Prisión;Aragón;2020;296
Prisión;Aragón;2019;344
Prisión;Aragón;2018;337
Prisión;Aragón;2017;345
Prisión;Aragón;2016;319
Prisión;Aragón;2015;208
Prisión;Asturias, Principado de;2023;443
Prisión;Asturias, Principado de;2022;576
Prisión;Asturias, Principado de;2021;476
Prisión;Asturias, Principado de;2020;342
Prisión;Asturias, Principado de;2019;488
Prisión;Asturias, Principado de;2018;447
Prisión;Asturias, Principado de;2017;443
Prisión;Asturias, Principado de;2016;373
Prisión;Asturias, Principado de;2015;332
Prisión;Balears, Illes;2023;656
Prisión;Balears, Illes;2022;616
Prisión;Balears, Illes;2021;560
Prisión;Balears, Illes;2020;443
Prisión;Balears, Illes;2019;570
Prisión;Balears, Illes;2018;446
Prisión;Balears, Illes;2017;452
Prisión;Balears, Illes;2016;460
Prisión;Balears, Illes;2015;280
Prisión;Canarias;2023;1.480
Prisión;Canarias;2022;1.296
Prisión;Canarias;2021;1.157
Prisión;Canarias;2020;984
Prisión;Canarias;2019;1.167
Prisión;Canarias;2018;1.034
Prisión;Canarias;2017;992
Prisión;Canarias;2016;946
Prisión;Canarias;2015;825
Prisión;Cantabria;2023;298
Prisión;Cantabria;2022;271
Prisión;Cantabria;2021;219
Prisión;Cantabria;2020;199
Prisión;Cantabria;2019;251
Prisión;Cantabria;2018;268
Prisión;Cantabria;2017;212
Prisión;Cantabria;2016;171
Prisión;Cantabria;2015;154
Prisión;Castilla y León;2023;903
Prisión;Castilla y León;2022;801
Prisión;Castilla y León;2021;746
Prisión;Castilla y León;2020;498
Prisión;Castilla y León;2019;692
Prisión;Castilla y León;2018;628
Prisión;Castilla y León;2017;606
Prisión;Castilla y León;2016;560
Prisión;Castilla y León;2015;578
Prisión;Castilla - La Mancha;2023;741
Prisión;Castilla - La Mancha;2022;808
Prisión;Castilla - La Mancha;2021;726
Prisión;Castilla - La Mancha;2020;574
Prisión;Castilla - La Mancha;2019;725
Prisión;Castilla - La Mancha;2018;664
Prisión;Castilla - La Mancha;2017;590
Prisión;Castilla - La Mancha;2016;564
Prisión;Castilla - La Mancha;2015;521
Prisión;Cataluña;2023;3.059
Prisión;Cataluña;2022;2.846
Prisión;Cataluña;2021;2.840
Prisión;Cataluña;2020;2.127
Prisión;Cataluña;2019;2.369
Prisión;Cataluña;2018;2.149
Prisión;Cataluña;2017;2.042
Prisión;Cataluña;2016;2.089
Prisión;Cataluña;2015;1.862
Prisión;Comunitat Valenciana;2023;2.787
Prisión;Comunitat Valenciana;2022;2.517
Prisión;Comunitat Valenciana;2021;2.344
Prisión;Comunitat Valenciana;2020;1.921
Prisión;Comunitat Valenciana;2019;2.217
Prisión;Comunitat Valenciana;2018;2.063
Prisión;Comunitat Valenciana;2017;1.922
Prisión;Comunitat Valenciana;2016;1.671
Prisión;Comunitat Valenciana;2015;1.493
Prisión;Extremadura;2023;565
Prisión;Extremadura;2022;425
Prisión;Extremadura;2021;364
Prisión;Extremadura;2020;370
Prisión;Extremadura;2019;331
Prisión;Extremadura;2018;302
Prisión;Extremadura;2017;265
Prisión;Extremadura;2016;291
Prisión;Extremadura;2015;303
